epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,535.76,0.64009,0.57967,0.97293,0.93953,0.91051,0.96081,0.80243,0.68273,0.48647,0.99088,0.00023764,0.00023764,0.00023764
43,549.018,0.63575,0.56033,0.96768,0.94651,0.91403,0.95042,0.79786,0.67443,0.49588,0.99189,0.00023368,0.00023368,0.00023368
44,562.276,0.6278,0.55138,0.96933,0.95016,0.91782,0.95176,0.79916,0.68541,0.49886,0.99231,0.00022972,0.00022972,0.00022972
45,575.509,0.6259,0.56408,0.97292,0.93169,0.90867,0.94634,0.79011,0.67863,0.51716,0.98962,0.00022576,0.00022576,0.00022576
46,588.767,0.61954,0.53716,0.96521,0.92607,0.9273,0.95047,0.79833,0.68741,0.4899,0.99875,0.0002218,0.0002218,0.0002218
47,601.9,0.61322,0.5354,0.96228,0.94064,0.90822,0.95002,0.79544,0.68749,0.49761,0.99909,0.00021784,0.00021784,0.00021784
48,615.136,0.61118,0.54023,0.95882,0.92969,0.90851,0.95182,0.79724,0.67344,0.50375,0.99794,0.00021388,0.00021388,0.00021388
49,628.274,0.62393,0.52421,0.96512,0.93018,0.91672,0.95661,0.80024,0.68293,0.48186,0.9918,0.00020992,0.00020992,0.00020992
50,641.495,0.59121,0.51025,0.95235,0.94443,0.91079,0.94575,0.80071,0.65143,0.49579,0.96509,0.00020596,0.00020596,0.00020596
51,654.624,0.60634,0.50594,0.95597,0.94382,0.91693,0.95356,0.80024,0.6662,0.47386,0.97747,0.000202,0.000202,0.000202
52,667.698,0.58819,0.49224,0.95078,0.94853,0.93566,0.96334,0.79997,0.69153,0.46023,1.00149,0.00019804,0.00019804,0.00019804
53,680.836,0.59396,0.50139,0.95201,0.92271,0.92789,0.94539,0.79764,0.66958,0.48065,0.99574,0.00019408,0.00019408,0.00019408
54,693.853,0.58731,0.48434,0.95101,0.9487,0.91338,0.9569,0.80315,0.66973,0.45715,0.98821,0.00019012,0.00019012,0.00019012
55,707.189,0.59867,0.5012,0.9628,0.93246,0.90597,0.95668,0.8052,0.66211,0.46903,0.98534,0.00018616,0.00018616,0.00018616
56,720.381,0.57036,0.48091,0.93985,0.93063,0.91362,0.95759,0.80826,0.65847,0.4764,0.97936,0.0001822,0.0001822,0.0001822
57,733.524,0.58058,0.49515,0.94978,0.94582,0.91053,0.95273,0.80746,0.66663,0.46995,0.98503,0.00017824,0.00017824,0.00017824
58,746.645,0.57914,0.48958,0.95238,0.95385,0.91948,0.95952,0.81006,0.66091,0.44958,0.97787,0.00017428,0.00017428,0.00017428
59,759.85,0.57944,0.4747,0.9439,0.93315,0.92086,0.94984,0.80204,0.66581,0.46724,0.98896,0.00017032,0.00017032,0.00017032
60,773.033,0.57719,0.4746,0.94763,0.92842,0.92412,0.94854,0.79412,0.68244,0.49131,0.99174,0.00016636,0.00016636,0.00016636
61,786.025,0.57656,0.46139,0.94949,0.93674,0.92445,0.95486,0.80592,0.67274,0.47879,0.99497,0.0001624,0.0001624,0.0001624
62,799.248,0.56655,0.46724,0.94661,0.94004,0.92735,0.95967,0.80649,0.66924,0.45548,0.98719,0.00015844,0.00015844,0.00015844
63,812.536,0.56569,0.45856,0.94001,0.93421,0.91978,0.95452,0.80656,0.66771,0.47042,0.98935,0.00015448,0.00015448,0.00015448
64,825.6,0.55829,0.45177,0.93889,0.92745,0.93565,0.95517,0.80429,0.66715,0.47301,0.99148,0.00015052,0.00015052,0.00015052
65,838.843,0.55659,0.44398,0.94046,0.93711,0.91269,0.9515,0.79978,0.66792,0.463,0.98473,0.00014656,0.00014656,0.00014656
66,852.125,0.54991,0.4438,0.93879,0.93996,0.93121,0.9534,0.8029,0.65941,0.47295,0.9794,0.0001426,0.0001426,0.0001426
