Time (ms),Raw ADC Value,Filtered ADC Value,Steering Angle (%)
18600.0,871.0,870.29,140.6
18700.0,864.0,870.11,140.6
18800.0,871.0,869.82,140.4
18900.0,869.0,869.56,140.3
19000.0,880.0,869.56,140.3
19100.0,875.0,869.99,140.5
19200.0,874.0,870.68,140.8
19300.0,869.0,871.3,141.0
19400.0,871.0,871.68,141.2
19500.0,872.0,871.87,141.2
19600.0,876.0,872.05,141.3
19700.0,869.0,872.26,141.4
19800.0,881.0,872.5,141.5
19900.0,872.0,872.87,141.6
20000.0,871.0,873.2,141.8
20100.0,869.0,873.25,141.8
20200.0,875.0,873.14,141.7
20300.0,869.0,872.99,141.7
20400.0,880.0,872.9,141.6
20500.0,876.0,873.07,141.7
20600.0,880.0,873.51,141.9
20700.0,869.0,873.99,142.1
20800.0,875.0,874.26,142.2
20900.0,870.0,874.31,142.2
21000.0,872.0,874.17,142.1
21100.0,872.0,873.89,142.0
21200.0,870.0,873.55,141.9
21300.0,872.0,873.15,141.7
21400.0,870.0,872.74,141.6
21500.0,870.0,872.31,141.4
21600.0,880.0,872.04,141.3
21700.0,876.0,872.16,141.4
21800.0,868.0,872.43,141.5
21900.0,872.0,872.51,141.5
22000.0,875.0,872.51,141.5
22100.0,879.0,872.7,141.6
22200.0,872.0,873.06,141.7
22300.0,878.0,873.45,141.9
22400.0,874.0,873.85,142.0
22500.0,868.0,874.09,142.1
