Time (ms),Raw ADC Value,Filtered ADC Value,Steering Angle (%)
,506.0,506.1,-1.9
,507.0,505.81,-2.0
,506.0,506.47,-1.8
,507.0,505.01,-2.3
,504.0,504.29,-2.6
,506.0,508.14,-1.1
,507.0,511.2,0.1
,509.0,509.44,-0.6
,506.0,508.34,-1.0
,506.0,509.62,-0.5
,509.0,508.51,-1.0
