Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.036,10.00,7.26,22.77,0.00
0.056,10.00,7.33,22.88,0.00
0.076,10.00,7.33,23.09,0.00
0.095,10.00,7.33,23.31,0.00
0.135,10.00,7.26,23.63,0.00
0.154,10.00,7.33,23.74,0.00
0.174,10.00,7.33,23.95,0.00
0.194,10.00,7.33,24.17,0.00
0.233,10.00,7.33,24.38,0.00
0.253,10.00,7.33,24.59,0.00
0.273,10.00,7.33,24.81,0.00
0.311,10.00,7.39,24.93,0.00
0.331,10.00,7.39,25.14,0.00
0.351,10.00,7.39,25.35,0.00
0.390,10.00,9.69,0.00,0.00
0.409,10.00,9.76,0.00,0.00
0.429,10.00,9.63,0.00,0.00
0.468,10.00,9.63,0.00,0.00
0.488,10.00,9.76,0.00,0.00
0.508,10.00,9.69,0.00,0.00
0.527,10.00,9.63,0.00,0.00
0.567,10.00,9.63,0.00,0.00
0.586,10.00,9.69,0.00,0.00
0.606,10.00,9.76,0.00,0.00
0.645,10.00,9.69,0.00,0.00
0.664,10.00,9.63,0.00,0.00
0.684,10.00,9.69,0.00,0.00
0.704,10.00,9.76,0.00,0.00
0.743,10.00,9.63,0.00,0.00
0.763,10.00,9.69,0.00,0.00
0.782,10.00,9.76,0.00,0.00
0.802,10.00,9.76,0.00,0.00
0.841,10.00,9.69,0.00,0.00
0.861,10.00,9.69,0.00,0.00
0.881,10.00,9.76,0.00,0.00
0.900,10.00,9.76,0.00,0.00
0.939,10.00,9.76,0.00,0.00
0.959,10.00,9.69,0.00,0.00
0.978,10.00,9.69,0.00,0.00
0.998,10.00,9.76,0.00,0.00
1.018,10.00,9.76,0.00,0.00
1.057,10.00,9.63,0.00,0.00
1.077,10.00,9.63,0.00,0.00
1.096,10.00,9.69,0.00,0.00
1.116,10.00,9.69,0.00,0.00
1.155,10.00,9.63,0.00,0.00
1.175,10.00,9.69,0.00,0.00
1.194,10.00,9.49,0.74,0.00
1.214,10.00,9.49,0.78,0.00
1.253,10.00,9.69,0.00,0.00
1.273,10.00,9.63,0.00,0.00
1.293,10.00,9.55,0.00,0.00
1.312,10.00,9.55,0.00,0.00
1.351,10.00,9.55,0.00,0.00
1.371,10.00,9.63,0.00,0.00
1.391,10.00,9.63,0.00,0.00
1.410,10.00,9.55,0.00,0.00
1.450,10.00,9.63,0.00,0.00
1.469,10.00,9.63,0.00,0.00
1.508,10.00,9.55,0.00,0.00
1.528,10.00,9.63,0.00,0.00
1.548,10.00,9.55,0.00,0.00
1.567,10.00,9.55,0.00,0.00
1.606,10.00,9.55,0.00,0.00
1.626,10.00,9.49,0.74,0.00
1.646,10.00,9.42,0.89,0.00
1.665,10.00,9.42,0.93,0.00
1.705,10.00,9.42,0.98,0.00
1.724,10.00,9.55,0.00,0.00
1.744,10.00,9.42,0.85,0.00
1.763,10.00,9.49,0.79,0.00
1.803,10.00,9.42,0.93,0.00
1.822,10.00,9.35,1.09,0.00
1.842,10.00,9.42,1.03,0.00
1.862,10.00,9.35,1.18,0.00
1.901,10.00,9.35,1.24,0.00
1.921,10.00,9.35,1.29,0.00
1.940,10.00,9.35,1.34,0.00
1.979,10.00,9.29,1.48,0.00
1.999,10.00,9.35,1.45,0.00
2.019,10.00,9.35,1.50,0.00
2.038,10.00,9.22,1.74,0.00
2.058,10.00,9.35,1.61,0.00
2.097,10.00,9.35,1.67,0.00
2.117,10.00,9.22,1.91,0.00
2.137,10.00,9.22,1.97,0.00
2.156,10.00,9.29,1.93,0.00
2.177,10.00,9.29,1.99,0.00
2.215,10.00,9.29,2.04,0.00
2.235,10.00,9.22,2.20,0.00
2.254,10.00,9.22,2.27,0.00
2.274,10.00,9.29,2.22,0.00
2.313,10.00,9.29,2.28,0.00
2.333,10.00,9.22,2.44,0.00
2.353,10.00,9.22,2.50,0.00
2.373,10.00,9.22,2.57,0.00
2.412,10.00,9.15,2.73,0.00
2.431,10.00,9.22,2.70,0.00
2.452,10.00,9.09,2.95,0.00
2.470,10.00,9.15,2.94,0.00
2.511,10.00,9.15,3.01,0.00
2.529,10.00,9.09,3.16,0.00
2.549,10.00,9.15,3.15,0.00
2.589,10.00,9.09,3.30,0.00
2.609,10.00,9.09,3.38,0.00
2.627,10.00,9.09,3.45,0.00
2.668,10.00,9.09,3.52,0.00
2.686,10.00,9.02,3.70,0.00
2.726,10.00,9.09,3.67,0.00
