Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.024,10.00,14.14,0.00,12.53
0.043,10.00,14.08,0.00,12.27
0.063,10.00,14.34,0.00,13.67
0.083,10.00,14.39,0.00,14.04
0.122,10.00,14.21,0.00,13.21
0.142,10.00,14.34,0.00,13.92
0.161,10.00,14.65,0.00,15.61
0.181,10.00,14.65,0.00,15.70
0.220,10.00,14.53,0.00,15.17
0.241,10.00,14.65,0.00,15.88
0.259,10.00,14.85,0.00,16.94
0.298,10.00,14.97,0.00,17.67
0.318,10.00,14.72,0.00,16.52
0.338,10.00,14.72,0.00,16.61
0.357,10.00,15.16,0.00,18.92
0.396,10.00,15.10,0.00,18.68
0.416,10.00,14.90,0.00,17.82
0.436,10.00,16.24,0.00,24.63
0.455,10.00,16.42,0.00,25.65
0.494,10.00,16.55,0.00,26.45
0.514,10.00,16.42,0.00,25.91
0.534,10.00,16.49,0.00,26.37
0.553,10.00,16.36,0.00,25.88
0.592,10.00,16.42,0.00,26.29
0.612,10.00,16.55,0.00,27.09
0.632,10.00,16.36,0.00,26.27
0.651,10.00,16.30,0.00,26.06
0.689,10.00,16.42,0.00,26.80
0.710,10.00,16.24,0.00,26.04
0.730,10.00,16.30,0.00,26.44
0.749,10.00,16.42,0.00,27.18
0.788,10.00,16.36,0.00,27.03
0.808,10.00,16.36,0.00,27.16
0.828,10.00,16.55,0.00,28.24
0.847,10.00,16.55,0.00,28.37
0.886,10.00,16.49,0.00,28.16
0.906,10.00,16.55,0.00,28.63
0.926,10.00,16.67,0.00,29.37
0.945,10.00,16.55,0.00,28.89
0.965,10.00,16.55,0.00,29.02
1.004,10.00,16.55,0.00,29.16
1.024,10.00,16.49,0.00,28.95
1.043,10.00,16.42,0.00,28.75
1.083,10.00,16.42,0.00,28.87
1.102,10.00,16.42,0.00,29.00
1.122,10.00,16.42,0.00,29.13
1.161,10.00,16.49,0.00,29.59
1.181,10.00,16.55,0.00,30.06
1.199,10.00,16.42,0.00,29.52
1.220,10.00,16.55,0.00,30.32
1.259,10.00,16.67,0.00,31.06
1.279,10.00,16.49,0.00,30.25
1.298,10.00,16.49,0.00,30.38
1.318,10.00,16.61,0.00,31.12
1.357,10.00,16.55,0.00,30.98
1.377,10.00,16.42,0.00,30.44
1.396,10.00,16.61,0.00,31.51
1.416,10.00,16.61,0.00,31.65
1.455,10.00,16.49,0.00,31.16
1.475,10.00,16.55,0.00,31.63
1.494,10.00,16.55,0.00,31.76
1.514,10.00,16.61,0.00,32.17
1.534,10.00,16.55,0.00,32.02
1.573,10.00,16.42,0.00,31.48
1.591,10.00,16.49,0.00,31.95
1.611,10.00,16.55,0.00,32.41
1.632,10.00,16.49,0.00,32.21
1.670,10.00,16.49,0.00,32.34
