time,voltage_out1,voltage_out2,speed_kph
338.244,1.5,0.75,49.445864580000006
338.284,1.5,0.75,49.445864580000006
338.331,1.5,0.75,49.47726208
338.371,1.5,0.75,49.445864580000006
338.415,1.5,0.75,49.552485520000005
338.441,1.5,0.75,49.514896840000006
338.474,1.5,0.75,49.514896840000006
338.517,1.5,0.75,49.58377422
338.553,1.5,0.75,49.58377422
338.578,1.5,0.75,49.552485520000005
338.617,1.5,0.75,49.689916440000005
338.659,1.5,0.75,49.65249672
338.7,1.5,0.75,49.58377422
338.739,1.5,0.75,49.72729008
338.774,1.5,0.75,49.72729008
338.812,1.5,0.75,49.65249672
338.849,1.5,0.75,49.72729008
338.873,1.5,0.75,49.689916440000005
338.907,1.5,0.75,49.79568874
338.945,1.5,0.75,49.863932520000006
338.98,1.5,0.75,49.863932520000006
339.003,1.5,0.75,49.65249672
339.036,1.5,0.75,49.832931820000006
339.074,1.5,0.75,49.72729008
339.111,1.5,0.75,49.58377422
339.148,1.5,0.75,49.832931820000006
339.185,1.5,0.75,49.832931820000006
339.224,1.5,0.75,49.90109112
339.261,1.5,0.75,49.863932520000006
339.296,1.5,0.75,50.07388864000001
339.333,1.5,0.75,49.96909554000001
339.374,1.5,0.75,50.00612358000001
339.414,1.5,0.75,49.96909554000001
339.455,1.5,0.75,50.00612358000001
339.499,1.5,0.75,50.11078612
339.536,1.5,0.75,50.14149882000001
339.575,1.5,0.75,50.14149882000001
339.613,1.5,0.75,50.03694508000001
339.652,1.5,0.75,50.11078612
339.691,1.5,0.75,50.11078612
339.716,1.5,0.75,50.07388864000001
339.753,1.5,0.75,50.17831182
339.793,1.5,0.75,50.24568264
339.837,1.5,0.75,50.20895412000001
339.882,1.5,0.75,50.34949654
339.926,1.5,0.75,50.24568264
339.968,1.5,0.75,50.28236508
340.008,1.5,0.75,50.38604842
340.048,1.5,0.75,50.31289858
340.089,1.5,0.75,50.31289858
340.13,1.5,0.75,50.34949654
340.171,1.5,0.75,50.45294052
340.21,1.5,0.75,50.34949654
340.238,1.5,0.75,50.45294052
340.271,1.5,0.75,50.45294052
340.313,1.5,0.75,50.45294052
340.357,1.5,0.75,50.58626008
340.398,1.5,0.75,50.48329482
340.437,1.5,0.75,50.45294052
340.473,1.5,0.75,50.51967774
340.511,1.5,0.75,50.48329482
340.544,1.5,0.75,50.51967774
340.57,1.5,0.75,50.51967774
340.604,1.5,0.75,50.55601458
340.628,1.5,0.75,50.58626008
340.662,1.5,0.75,50.55601458
340.687,1.5,0.75,50.62251244
340.721,1.5,0.75,50.58626008
340.747,1.5,0.75,50.58626008
340.783,1.5,0.75,50.58626008
340.808,1.5,0.75,50.51967774
340.842,1.5,0.75,50.55601458
340.868,1.5,0.75,50.58626008
340.902,1.5,0.75,50.55601458
340.941,1.5,0.75,50.58626008
340.981,1.5,0.75,50.58626008
341.018,1.5,0.75,50.58626008
341.056,1.5,0.75,50.62251244
341.091,1.5,0.75,50.75504352
341.13,1.5,0.75,50.65871872
341.17,1.5,0.75,50.82707208000001
341.213,1.5,0.75,50.72497722
341.256,1.5,0.75,50.72497722
341.281,1.5,0.75,50.72497722
341.317,1.5,0.75,50.58626008
341.341,1.5,0.75,50.65871872
341.38,1.5,0.75,50.72497722
341.416,1.5,0.75,50.72497722
341.44,1.5,0.75,50.68885542
341.476,1.5,0.75,50.791080840000006
341.5,1.5,0.75,50.892936340000006
341.537,1.5,0.75,50.928797020000005
341.577,1.5,0.75,50.928797020000005
341.618,1.5,0.75,50.99442192000001
341.659,1.5,0.75,50.95864572000001
341.699,1.5,0.75,50.928797020000005
341.739,1.5,0.75,50.928797020000005
341.779,1.5,0.75,50.85702958
341.823,1.5,0.75,50.95864572000001
341.848,1.5,0.75,50.95864572000001
341.883,1.5,0.75,50.928797020000005
341.921,1.5,0.75,51.02420022
341.96,1.5,0.75,51.02420022
342.0,1.5,0.75,51.02420022
342.041,1.5,0.75,51.02420022
342.08,1.5,0.75,50.99442192000001
342.123,1.5,0.75,51.02420022
342.164,1.5,0.75,50.99442192000001
342.202,1.5,0.75,51.02420022
342.242,1.5,0.75,50.99442192000001
342.282,1.5,0.75,51.05989194000001
342.321,1.5,0.75,51.09553758000001
342.362,1.5,0.75,51.09553758000001
342.401,1.5,0.75,51.196283320000006
342.442,1.5,0.75,51.12520708000001
342.482,1.5,0.75,51.16076824000001
342.524,1.5,0.75,51.09553758000001
342.564,1.5,0.75,51.05989194000001
342.605,1.5,0.75,51.12520708000001
342.646,1.5,0.75,51.09553758000001
342.682,1.5,0.75,51.12520708000001
342.716,1.5,0.75,51.09553758000001
342.74,1.5,0.75,51.16076824000001
342.782,1.5,0.75,51.12520708000001
342.823,1.5,0.75,51.22584402000001
342.862,1.5,0.75,51.196283320000006
342.902,1.5,0.75,51.09553758000001
342.943,1.5,0.75,51.16076824000001
342.981,1.5,0.75,51.09553758000001
343.026,1.5,0.75,51.12520708000001
343.069,1.5,0.75,51.22584402000001
343.11,1.5,0.75,51.16076824000001
343.148,1.5,0.75,51.196283320000006
343.19,1.5,0.75,51.26127462
343.224,1.5,0.75,51.196283320000006
343.249,1.5,0.75,51.22584402000001
343.288,1.5,0.75,51.22584402000001
343.327,1.5,0.75,51.196283320000006
343.366,1.5,0.75,51.16076824000001
343.406,1.5,0.75,51.22584402000001
343.445,1.5,0.75,51.26127462
343.485,1.5,0.75,51.196283320000006
343.52,1.5,0.75,51.196283320000006
343.547,1.5,0.75,51.32611104
343.586,1.5,0.75,51.26127462
343.622,1.5,0.75,51.22584402000001
343.657,1.5,0.75,51.29076492000001
343.682,1.5,0.75,51.32611104
343.717,1.5,0.75,51.22584402000001
343.757,1.5,0.75,51.32611104
343.797,1.5,0.75,51.32611104
343.842,1.5,0.75,51.39079258
343.888,1.5,0.75,51.46117762
343.928,1.5,0.75,51.42600813999999
343.966,1.5,0.75,51.36141108
344.006,1.5,0.75,51.42600813999999
344.045,1.5,0.75,51.36141108
344.079,1.5,0.75,51.42600813999999
344.104,1.5,0.75,51.29076492000001
344.146,1.5,0.75,51.32611104
344.187,1.5,0.75,51.46117762
344.229,1.5,0.75,51.52553532
344.268,1.5,0.75,51.49045032
344.307,1.5,0.75,51.52553532
344.347,1.5,0.75,51.55473762
344.387,1.5,0.75,51.49045032
344.424,1.5,0.75,51.46117762
344.458,1.5,0.75,51.55473762
344.504,1.5,0.75,51.46117762
344.543,1.5,0.75,51.49045032
344.583,1.5,0.75,51.46117762
344.622,1.5,0.75,51.52553532
344.664,1.5,0.75,51.52553532
344.699,1.5,0.75,51.58973814
344.725,1.5,0.75,51.62469258
344.798,1.5,0.75,51.62469258
344.824,1.5,0.75,51.68865604
344.864,1.5,0.75,51.52553532
344.899,1.5,0.75,51.55473762
344.926,1.5,0.75,51.49045032
344.97,1.5,0.75,51.58973814
345.01,1.5,0.75,51.62469258
345.054,1.5,0.75,51.62469258
345.097,1.5,0.75,51.65378608
345.139,1.5,0.75,51.65378608
345.18,1.5,0.75,51.58973814
345.22,1.5,0.75,51.62469258
345.262,1.5,0.75,51.55473762
345.307,1.5,0.75,51.62469258
345.346,1.5,0.75,51.65378608
345.381,1.5,0.75,51.72347992
345.428,1.5,0.75,51.68865604
345.468,1.5,0.75,51.72347992
345.511,1.5,0.75,51.75246462
345.565,1.5,0.75,51.65378608
345.587,1.5,0.75,51.75246462
345.622,1.5,0.75,51.68865604
345.662,1.5,0.75,51.75246462
345.704,1.5,0.75,51.75246462
345.748,1.5,0.75,51.75246462
345.789,1.5,0.75,51.75246462
345.829,1.5,0.75,51.72347992
345.868,1.5,0.75,51.72347992
345.904,1.5,0.75,51.75246462
345.939,1.5,0.75,51.75246462
