Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.035,0.00,4.77,0.00,4.77
0.054,0.00,4.63,0.00,4.63
0.075,0.00,4.49,0.00,4.49
0.094,0.00,4.28,0.00,4.28
0.133,0.00,4.14,0.00,4.14
0.152,0.00,4.07,0.00,4.07
0.172,0.00,4.01,0.00,4.01
0.211,0.00,3.93,0.00,3.93
0.231,0.00,3.80,0.00,3.80
0.251,0.00,3.65,0.00,3.65
0.270,0.00,3.58,0.00,3.58
0.309,0.00,3.44,0.00,3.44
0.329,0.00,3.29,0.00,3.29
0.349,0.00,3.16,0.00,3.16
0.368,0.00,3.08,0.00,3.08
0.388,0.00,2.94,0.00,2.94
0.427,0.00,2.88,0.00,2.88
0.447,0.00,17.74,0.00,17.74
0.466,0.00,17.67,0.00,17.67
0.486,0.00,17.74,0.00,17.74
0.506,0.00,17.74,0.00,17.74
0.545,0.00,17.74,0.00,17.74
0.564,0.00,17.74,0.00,17.74
0.584,0.00,17.42,0.00,17.42
0.623,0.00,17.42,0.00,17.42
0.643,0.00,17.42,0.00,17.42
0.662,0.00,17.36,0.00,17.36
0.682,0.00,17.05,0.00,17.05
0.702,0.00,16.99,0.00,16.99
0.741,0.00,17.11,0.00,17.11
0.761,0.00,16.80,0.00,16.80
0.780,0.00,16.67,0.00,16.67
0.800,0.00,16.24,0.00,16.24
0.839,0.00,16.11,0.00,16.11
0.859,0.00,15.79,0.00,15.79
0.878,0.00,15.60,0.00,15.60
0.898,0.00,15.55,0.00,15.55
0.937,0.00,15.41,0.00,15.41
0.957,0.00,15.16,0.00,15.16
0.976,0.00,14.85,0.00,14.85
1.015,0.00,14.59,0.00,14.59
1.035,0.00,14.39,0.00,14.39
1.055,0.00,13.76,0.00,13.76
1.074,0.00,12.66,0.00,12.66
1.114,0.00,12.20,0.00,12.20
1.133,0.00,12.00,0.00,12.00
1.153,0.00,11.75,0.00,11.75
1.172,0.00,11.55,0.00,11.55
1.212,0.00,11.35,0.00,11.35
1.231,0.00,11.09,0.00,11.09
1.251,0.00,10.69,0.00,10.69
1.270,0.00,10.42,0.00,10.42
1.310,0.00,10.22,0.00,10.22
1.329,0.00,10.03,0.00,10.03
1.349,0.00,9.83,0.00,9.83
