Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.034,15.00,15.41,0.00,0.00
0.053,15.00,15.36,0.00,0.00
0.074,15.00,15.41,0.00,0.00
0.112,15.00,15.41,0.00,0.00
0.132,15.00,15.41,0.00,0.00
0.152,15.00,15.41,0.00,0.00
0.171,15.00,15.41,0.00,0.00
0.191,15.00,15.41,0.00,0.00
0.230,15.00,15.36,0.00,0.00
0.250,15.00,15.36,0.00,0.00
0.269,15.00,15.41,0.00,0.00
0.289,15.00,15.36,0.00,0.00
0.328,15.00,15.36,0.00,0.00
0.349,15.00,15.29,0.00,0.00
0.367,15.00,6.50,12.51,0.00
0.407,15.00,6.43,13.29,0.00
0.426,15.00,6.50,13.87,0.00
0.447,15.00,6.50,14.55,0.00
0.485,15.00,6.50,15.23,0.00
0.506,15.00,6.43,16.02,0.00
0.525,15.00,6.43,16.70,0.00
0.563,15.00,6.43,17.39,0.00
0.583,15.00,6.43,18.07,0.00
0.603,15.00,6.43,18.76,0.00
0.622,15.00,6.43,19.44,0.00
0.642,15.00,6.43,20.13,0.00
0.681,15.00,6.37,20.90,0.00
0.701,15.00,6.37,21.59,0.00
0.720,15.00,6.37,22.28,0.00
0.740,15.00,6.37,22.97,0.00
0.779,15.00,6.37,23.66,0.00
0.799,15.00,6.37,24.35,0.00
0.819,15.00,6.37,25.04,0.00
0.839,15.00,6.37,25.73,0.00
0.877,15.00,6.37,26.42,0.00
0.898,15.00,6.37,27.11,0.00
0.917,15.00,6.37,27.80,0.00
0.936,15.00,6.37,28.49,0.00
0.976,15.00,6.29,29.29,0.00
0.996,15.00,6.29,29.98,0.00
1.015,15.00,6.37,30.57,0.00
1.054,15.00,6.37,31.26,0.00
1.074,15.00,6.37,31.95,0.00
1.093,15.00,6.37,32.64,0.00
1.113,15.00,6.37,33.33,0.00
1.152,15.00,6.37,34.02,0.00
1.172,15.00,6.37,34.71,0.00
1.191,15.00,6.43,35.31,0.00
1.231,15.00,6.43,36.00,0.00
1.250,15.00,6.43,36.68,0.00
1.270,15.00,6.50,37.26,0.00
1.289,15.00,6.50,37.94,0.00
1.329,15.00,6.50,38.62,0.00
1.348,15.00,6.50,39.30,0.00
1.368,15.00,6.58,39.87,0.00
1.407,15.00,6.58,40.54,0.00
1.427,15.00,6.58,41.21,0.00
1.446,15.00,6.50,42.00,0.00
1.466,15.00,6.58,42.57,0.00
1.505,15.00,6.58,43.24,0.00
1.525,15.00,6.64,43.82,0.00
1.544,15.00,6.64,44.49,0.00
1.584,15.00,6.64,45.16,0.00
1.603,15.00,6.64,45.83,0.00
1.623,15.00,6.64,46.50,0.00
