Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.019,20.00,16.30,45.48,0.00
0.039,20.00,16.86,44.94,0.00
0.078,20.00,16.55,45.65,0.00
0.097,20.00,16.61,45.84,0.00
0.117,20.00,16.99,45.56,0.00
0.156,20.00,16.61,46.36,0.00
0.176,20.00,16.67,46.53,0.00
0.196,20.00,16.74,46.70,0.00
0.215,20.00,16.80,46.88,0.00
0.254,20.00,17.17,46.58,0.00
0.274,20.00,16.99,47.08,0.00
0.294,20.00,17.91,45.96,0.00
0.313,20.00,17.86,46.21,0.00
0.353,20.00,17.98,46.20,0.00
0.372,20.00,18.04,46.27,0.00
0.392,20.00,17.98,46.52,0.00
0.413,20.00,17.98,46.68,0.00
0.451,20.00,18.10,46.66,0.00
0.470,20.00,18.16,46.72,0.00
0.490,20.00,18.16,46.87,0.00
0.510,20.00,18.10,47.11,0.00
0.549,20.00,18.23,47.07,0.00
0.569,20.00,18.16,47.31,0.00
0.588,20.00,18.23,47.36,0.00
0.608,20.00,18.28,47.42,0.00
0.647,20.00,18.23,47.64,0.00
0.667,20.00,18.28,47.70,0.00
0.686,20.00,18.28,47.84,0.00
0.706,20.00,18.28,47.97,0.00
0.745,20.00,18.35,48.01,0.00
0.765,20.00,18.53,47.87,0.00
0.785,20.00,18.35,48.26,0.00
0.825,20.00,18.35,48.39,0.00
0.843,20.00,18.47,48.35,0.00
0.863,20.00,18.47,48.47,0.00
0.903,20.00,18.40,48.69,0.00
0.922,20.00,18.47,48.72,0.00
0.943,20.00,18.59,48.67,0.00
0.961,20.00,18.53,48.86,0.00
1.001,20.00,18.59,48.90,0.00
1.020,20.00,18.65,48.92,0.00
1.040,20.00,18.72,48.93,0.00
1.059,20.00,18.65,49.13,0.00
1.099,20.00,18.59,49.33,0.00
1.118,20.00,18.65,49.35,0.00
1.138,20.00,18.72,49.36,0.00
1.158,20.00,18.72,49.46,0.00
1.197,20.00,18.77,49.48,0.00
1.217,20.00,18.77,49.58,0.00
1.236,20.00,18.84,49.58,0.00
1.275,20.00,18.84,49.68,0.00
1.295,20.00,18.96,49.59,0.00
1.315,20.00,19.02,49.58,0.00
1.334,20.00,18.96,49.75,0.00
1.374,20.00,19.08,49.66,0.00
1.393,20.00,18.96,49.91,0.00
1.413,20.00,19.08,49.82,0.00
1.432,20.00,19.08,49.89,0.00
1.472,20.00,19.02,50.05,0.00
1.491,20.00,19.14,49.95,0.00
1.511,20.00,19.33,49.75,0.00
1.550,20.00,19.33,49.80,0.00
1.570,20.00,19.33,49.86,0.00
1.590,20.00,19.44,49.74,0.00
1.609,20.00,19.33,49.95,0.00
1.629,20.00,19.51,0.00,0.00
1.668,20.00,19.44,0.82,0.00
1.687,20.00,19.38,0.96,0.00
1.707,20.00,19.51,0.00,0.00
1.727,20.00,19.51,0.00,0.00
1.766,20.00,19.56,0.00,0.00
1.786,20.00,19.63,0.00,0.00
1.805,20.00,19.56,0.00,0.00
1.825,20.00,19.63,0.00,0.00
1.864,20.00,19.69,0.00,0.00
1.884,20.00,19.69,0.00,0.00
1.903,20.00,19.63,0.00,0.00
1.923,20.00,19.75,0.00,0.00
1.943,20.00,19.86,0.00,0.00
1.982,20.00,19.81,0.00,0.00
2.002,20.00,19.81,0.00,0.00
2.021,20.00,19.86,0.00,0.00
2.041,20.00,19.99,0.00,0.00
2.080,20.00,19.86,0.00,0.00
2.100,20.00,19.75,0.00,0.00
2.119,20.00,19.93,0.00,0.00
2.139,20.00,19.99,0.00,0.00
2.159,20.00,20.11,0.00,0.00
2.198,20.00,20.11,0.00,0.00
2.217,20.00,20.17,0.00,0.00
2.237,20.00,20.11,0.00,0.00
2.257,20.00,20.23,0.00,0.00
2.296,20.00,20.23,0.00,0.00
2.316,20.00,20.35,0.00,0.00
