Time,Voltage_Out1,Voltage_Out2,Speed_KPH
0.0,1.0,0.5,0.0
0.031,1.0,0.5,0.0
0.072,1.0,0.5,0.0
0.11,1.0,0.5,0.0
0.151,1.0,0.5,0.0
0.191,1.0,0.5,0.0
0.23,1.0,0.5,0.0
0.271,1.0,0.5,0.0
0.309,1.0,0.5,0.0
0.346,1.0,0.5,0.0
0.384,1.0,0.5,0.0
0.421,1.0,0.5,0.0
0.46,1.0,0.5,0.0
0.502,1.0,0.5,0.0
0.541,1.0,0.5,0.0
0.576,1.0,0.5,0.0
0.611,1.0,0.5,0.0
0.654,1.0,0.5,0.0
0.693,1.0,0.5,0.0
0.73,1.0,0.5,0.0
0.767,1.0,0.5,0.0
0.804,1.0,0.5,0.0
0.846,1.0,0.5,0.0
0.884,1.0,0.5,0.0
0.922,1.0,0.5,0.0
0.958,1.0,0.5,0.0
0.999,1.0,0.5,0.0
1.042,1.0,0.5,0.0
1.078,1.0,0.5,0.0
1.114,1.0,0.5,0.0
1.148,1.0,0.5,0.0
1.184,1.0,0.5,0.0
1.223,1.0,0.5,0.0
1.258,1.0,0.5,0.0
1.297,1.0,0.5,0.0
1.333,1.0,0.5,0.0
1.361,1.0,0.5,0.0
1.403,1.0,0.5,0.0
1.446,1.0,0.5,0.0
1.488,1.0,0.5,0.0
1.527,1.0,0.5,0.0
1.567,1.0,0.5,0.0
1.605,1.0,0.5,0.0
1.63,1.0,0.5,0.0
1.66,1.0,0.5,0.0
1.685,1.0,0.5,0.0
1.717,1.0,0.5,0.0
1.755,1.0,0.5,0.0
1.782,1.0,0.5,0.0
1.817,1.0,0.5,0.0
1.839,1.0,0.5,0.0
1.881,1.0,0.5,0.0
1.923,1.0,0.5,0.0
1.964,1.0,0.5,0.0
1.991,1.0,0.5,0.0
2.025,1.0,0.5,0.0
2.048,1.0,0.5,0.0
2.083,1.0,0.5,0.0
2.123,1.0,0.5,0.0
2.16,1.0,0.5,0.0
2.192,1.0,0.5,0.0
2.23,1.0,0.5,0.0
2.269,1.0,0.5,0.0
2.309,1.0,0.5,0.0
2.351,1.0,0.5,0.0
2.395,1.0,0.5,0.0
2.419,1.0,0.5,0.0
2.455,1.0,0.5,0.0
2.476,1.0,0.5,0.0
2.513,1.0,0.5,0.0
2.539,1.0,0.5,0.0
2.56,1.0,0.5,0.0
2.591,1.0,0.5,0.0
2.628,1.0,0.5,0.0
2.667,1.0,0.5,0.0
2.708,1.0,0.5,0.0
2.751,1.0,0.5,0.0
2.791,1.0,0.5,0.0
2.836,1.0,0.5,0.0
2.862,1.0,0.5,0.0
2.895,1.0,0.5,0.0
2.936,1.0,0.5,0.0
2.976,1.0,0.5,0.0
3.016,1.0,0.5,0.0
3.053,1.0,0.5,0.0
3.075,1.0,0.5,0.0
3.11,1.0,0.5,0.0
3.133,1.0,0.5,0.0
3.155,1.0,0.5,0.0
3.188,1.0,0.5,0.0
3.211,1.0,0.5,0.0
3.233,1.0,0.5,0.0
3.27,1.0,0.5,0.0
