Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.030,20.00,12.33,41.11,0.00
0.049,20.00,12.47,41.52,0.00
0.069,20.00,12.33,42.33,0.00
0.108,20.00,12.40,42.84,0.00
0.128,20.00,12.40,43.45,0.00
0.147,20.00,12.33,44.16,0.00
0.168,20.00,12.40,44.67,0.00
0.206,20.00,12.40,45.28,0.00
0.226,20.00,12.47,45.78,0.00
0.246,20.00,12.52,46.30,0.00
0.265,20.00,12.47,46.98,0.00
0.304,20.00,12.52,47.50,0.00
0.324,20.00,12.52,48.10,0.00
0.344,20.00,12.59,48.59,0.00
0.364,20.00,12.52,49.29,0.00
0.403,20.00,12.59,49.78,0.00
0.422,20.00,12.59,50.37,0.00
0.442,20.00,18.84,41.78,0.00
0.481,20.00,18.84,41.87,0.00
0.502,20.00,18.84,41.96,0.00
0.540,20.00,18.84,42.05,0.00
0.559,20.00,18.89,42.07,0.00
0.579,20.00,18.89,42.16,0.00
0.599,20.00,18.89,42.24,0.00
0.638,20.00,18.89,42.33,0.00
0.658,20.00,18.96,42.33,0.00
0.677,20.00,19.02,42.31,0.00
0.697,20.00,19.02,42.39,0.00
0.717,20.00,18.96,42.57,0.00
0.756,20.00,19.02,42.55,0.00
0.775,20.00,19.02,42.63,0.00
0.795,20.00,19.08,42.63,0.00
0.834,20.00,19.08,42.70,0.00
0.854,20.00,19.14,42.68,0.00
0.874,20.00,19.14,42.75,0.00
0.893,20.00,19.21,42.72,0.00
0.932,20.00,19.26,42.71,0.00
0.952,20.00,19.26,42.77,0.00
0.972,20.00,19.33,42.73,0.00
0.991,20.00,19.33,42.78,0.00
1.011,20.00,19.33,42.84,0.00
1.050,20.00,19.38,42.81,0.00
1.070,20.00,19.44,42.77,0.00
1.089,20.00,19.51,0.00,0.00
1.109,20.00,19.51,0.00,0.00
1.148,20.00,19.51,0.00,0.00
1.168,20.00,19.56,0.00,0.00
1.188,20.00,19.56,0.00,0.00
1.207,20.00,19.56,0.00,0.00
1.246,20.00,19.69,0.00,0.00
1.266,20.00,19.75,0.00,0.00
1.286,20.00,19.75,0.00,0.00
1.305,20.00,19.75,0.00,0.00
1.345,20.00,19.75,0.00,0.00
1.364,20.00,19.81,0.00,0.00
1.384,20.00,19.81,0.00,0.00
1.404,20.00,19.81,0.00,0.00
1.443,20.00,19.93,0.00,0.00
1.462,20.00,19.93,0.00,0.00
1.482,20.00,19.99,0.00,0.00
1.502,20.00,19.93,0.00,0.00
1.541,20.00,19.99,0.00,0.00
1.561,20.00,19.99,0.00,0.00
1.580,20.00,20.05,0.00,0.00
1.619,20.00,20.05,0.00,0.00
1.639,20.00,20.11,0.00,0.00
1.659,20.00,20.11,0.00,0.00
1.698,20.00,20.11,0.00,0.00
1.717,20.00,20.11,0.00,0.00
1.737,20.00,20.11,0.00,0.00
1.757,20.00,20.11,0.00,0.00
1.796,20.00,20.17,0.00,0.00
1.816,20.00,20.11,0.00,0.00
1.835,20.00,20.17,0.00,0.00
1.874,20.00,20.11,0.00,0.00
1.894,20.00,20.17,0.00,0.00
1.914,20.00,20.11,0.00,0.00
1.933,20.00,20.11,0.00,0.00
1.973,20.00,20.11,0.00,0.00
1.992,20.00,20.11,0.00,0.00
2.012,20.00,20.05,0.00,0.00
2.031,20.00,20.11,0.00,0.00
2.072,20.00,20.11,0.00,0.00
2.090,20.00,20.05,0.00,0.00
2.130,20.00,20.05,0.00,0.00
2.149,20.00,19.93,0.00,0.00
2.170,20.00,19.99,0.00,0.00
2.190,20.00,19.86,0.00,0.00
2.228,20.00,19.81,0.00,0.00
2.247,20.00,19.86,0.00,0.00
2.268,20.00,19.81,0.00,0.00
2.287,20.00,19.69,0.00,0.00
2.326,20.00,19.75,0.00,0.00
2.347,20.00,19.75,0.00,0.00
2.365,20.00,19.69,0.00,0.00
2.404,20.00,19.69,0.00,0.00
2.424,20.00,19.56,0.00,0.00
2.444,20.00,19.44,0.82,0.00
2.463,20.00,19.56,0.00,0.00
2.483,20.00,19.44,0.82,0.00
2.522,20.00,19.44,0.86,0.00
2.542,20.00,19.56,0.00,0.00
2.561,20.00,19.38,0.91,0.00
2.581,20.00,19.26,1.14,0.00
2.621,20.00,19.26,1.20,0.00
2.641,20.00,19.21,1.34,0.00
2.659,20.00,19.08,1.59,0.00
2.699,20.00,19.21,1.47,0.00
2.718,20.00,19.14,1.63,0.00
2.738,20.00,19.02,1.88,0.00
2.759,20.00,19.08,1.87,0.00
2.797,20.00,18.89,2.22,0.00
2.817,20.00,18.77,2.48,0.00
2.836,20.00,18.77,2.58,0.00
2.857,20.00,18.72,2.76,0.00
2.895,20.00,18.72,2.86,0.00
2.915,20.00,18.72,2.96,0.00
2.934,20.00,18.72,3.07,0.00
2.954,20.00,18.59,3.36,0.00
2.974,20.00,18.53,3.55,0.00
3.013,20.00,18.53,3.67,0.00
3.032,20.00,18.40,3.98,0.00
3.052,20.00,18.40,4.11,0.00
3.072,20.00,18.40,4.24,0.00
3.111,20.00,18.35,4.44,0.00
3.131,20.00,18.16,4.85,0.00
3.150,20.00,18.16,5.00,0.00
3.171,20.00,18.16,5.14,0.00
3.209,20.00,18.23,5.19,0.00
3.229,20.00,18.10,5.53,0.00
3.248,20.00,18.04,5.76,0.00
3.268,20.00,18.04,5.92,0.00
3.288,20.00,17.91,6.27,0.00
3.327,20.00,17.91,6.43,0.00
3.347,20.00,17.91,6.60,0.00
3.366,20.00,17.86,6.85,0.00
3.406,20.00,17.79,7.12,0.00
3.426,20.00,17.79,7.29,0.00
3.444,20.00,17.74,7.55,0.00
3.484,20.00,17.67,7.83,0.00
3.503,20.00,17.74,7.92,0.00
3.523,20.00,17.67,8.20,0.00
3.562,20.00,17.55,8.56,0.00
3.582,20.00,17.60,8.68,0.00
3.601,20.00,17.60,8.87,0.00
3.621,20.00,17.48,9.24,0.00
3.660,20.00,17.48,9.44,0.00
3.680,20.00,17.48,9.64,0.00
3.699,20.00,17.42,9.94,0.00
3.719,20.00,17.42,10.15,0.00
3.758,20.00,17.42,10.35,0.00
3.778,20.00,17.29,10.74,0.00
3.798,20.00,17.29,10.95,0.00
3.817,20.00,17.17,11.35,0.00
3.837,20.00,17.11,11.67,0.00
3.876,20.00,17.11,11.90,0.00
3.896,20.00,17.05,12.22,0.00
3.915,20.00,16.92,12.65,0.00
3.935,20.00,16.86,12.97,0.00
3.954,20.00,16.92,13.14,0.00
3.994,20.00,16.86,13.47,0.00
4.013,20.00,16.86,13.72,0.00
4.033,20.00,16.80,14.07,0.00
4.053,20.00,16.80,14.33,0.00
4.093,20.00,16.67,14.76,0.00
4.112,20.00,16.67,15.03,0.00
4.131,20.00,16.61,15.39,0.00
4.170,20.00,16.55,15.75,0.00
4.191,20.00,16.49,16.12,0.00
4.210,20.00,16.36,16.58,0.00
4.229,20.00,16.49,16.69,0.00
4.268,20.00,16.42,17.07,0.00
4.288,20.00,16.42,17.36,0.00
4.308,20.00,16.36,17.72,0.00
4.327,20.00,16.42,17.93,0.00
4.347,20.00,16.24,18.48,0.00
4.386,20.00,16.30,18.70,0.00
4.406,20.00,16.30,19.00,0.00
4.426,20.00,16.24,19.37,0.00
4.445,20.00,16.11,19.87,0.00
4.484,20.00,16.17,20.08,0.00
4.504,20.00,16.24,20.29,0.00
4.523,20.00,16.17,20.69,0.00
4.543,20.00,16.05,21.18,0.00
4.582,20.00,16.05,21.49,0.00
4.602,20.00,15.92,22.01,0.00
4.622,20.00,15.98,22.23,0.00
4.641,20.00,15.98,22.55,0.00
4.661,20.00,15.98,22.88,0.00
4.701,20.00,15.98,23.20,0.00
4.719,20.00,15.86,23.70,0.00
4.739,20.00,15.92,23.95,0.00
4.778,20.00,15.98,24.18,0.00
4.798,20.00,15.86,24.68,0.00
4.817,20.00,15.79,25.11,0.00
4.838,20.00,15.92,25.26,0.00
4.877,20.00,15.74,25.85,0.00
4.896,20.00,15.79,26.11,0.00
4.915,20.00,15.79,26.45,0.00
4.935,20.00,15.67,26.96,0.00
4.974,20.00,15.67,27.31,0.00
4.994,20.00,15.60,27.76,0.00
5.015,20.00,15.60,28.11,0.00
5.033,20.00,15.60,28.46,0.00
5.072,20.00,15.55,28.89,0.00
5.093,20.00,15.41,29.45,0.00
5.112,20.00,15.41,29.81,0.00
5.131,20.00,15.36,30.26,0.00
5.171,20.00,15.29,30.73,0.00
5.190,20.00,15.29,31.11,0.00
5.210,20.00,15.29,31.49,0.00
5.229,20.00,15.29,31.86,0.00
5.270,20.00,15.29,32.24,0.00
5.288,20.00,15.29,32.62,0.00
5.328,20.00,15.23,33.08,0.00
5.347,20.00,15.23,33.46,0.00
5.368,20.00,15.23,33.84,0.00
5.386,20.00,15.23,34.22,0.00
5.426,20.00,15.10,34.80,0.00
5.446,20.00,15.16,35.09,0.00
5.465,20.00,15.10,35.58,0.00
5.484,20.00,15.04,36.06,0.00
5.524,20.00,15.10,36.37,0.00
5.543,20.00,15.10,36.76,0.00
5.563,20.00,14.97,37.34,0.00
5.582,20.00,15.10,37.55,0.00
5.623,20.00,15.10,37.95,0.00
5.641,20.00,14.97,38.52,0.00
5.662,20.00,15.04,38.82,0.00
5.700,20.00,15.10,39.14,0.00
5.720,20.00,15.04,39.61,0.00
5.739,20.00,15.04,40.01,0.00
5.759,20.00,15.04,40.40,0.00
5.799,20.00,14.97,40.90,0.00
5.819,20.00,14.97,41.30,0.00
5.838,20.00,14.97,41.70,0.00
5.857,20.00,14.97,42.11,0.00
5.896,20.00,15.04,42.41,0.00
5.917,20.00,14.97,42.91,0.00
5.937,20.00,14.97,43.31,0.00
5.975,20.00,14.90,43.81,0.00
5.996,20.00,14.90,44.22,0.00
6.014,20.00,14.97,44.52,0.00
6.034,20.00,14.90,45.03,0.00
6.074,20.00,14.97,45.33,0.00
6.094,20.00,14.97,45.74,0.00
6.112,20.00,15.04,46.04,0.00
6.151,20.00,15.10,46.35,0.00
6.171,20.00,14.97,46.93,0.00
6.191,20.00,14.97,47.33,0.00
6.230,20.00,15.04,47.63,0.00
6.250,20.00,15.04,48.03,0.00
