Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.037,15.00,11.48,22.09,0.00
0.056,15.00,11.62,22.17,0.00
0.076,15.00,11.48,22.64,0.00
0.096,15.00,11.28,23.22,0.00
0.135,15.00,11.35,23.41,0.00
0.155,15.00,11.55,23.41,0.00
0.174,15.00,11.42,23.88,0.00
0.213,15.00,11.28,24.37,0.00
0.233,15.00,11.28,24.67,0.00
0.253,15.00,11.28,24.96,0.00
0.272,15.00,11.28,25.26,0.00
0.312,15.00,11.35,25.45,0.00
0.331,15.00,11.22,25.94,0.00
0.351,15.00,11.15,26.34,0.00
0.390,15.00,11.09,26.74,0.00
0.410,15.00,11.09,27.05,0.00
0.430,15.00,11.15,27.27,0.00
0.449,15.00,7.19,33.42,0.00
0.469,15.00,7.26,33.93,0.00
0.509,15.00,7.19,34.66,0.00
0.527,15.00,7.12,35.37,0.00
0.567,15.00,7.05,36.11,0.00
0.586,15.00,7.05,36.75,0.00
0.606,15.00,7.05,37.38,0.00
0.626,15.00,6.84,38.32,0.00
0.665,15.00,6.78,39.06,0.00
0.685,15.00,6.84,39.63,0.00
0.704,15.00,6.78,40.37,0.00
0.724,15.00,6.78,41.03,0.00
0.743,15.00,6.84,41.60,0.00
0.783,15.00,6.84,42.25,0.00
0.802,15.00,6.92,42.79,0.00
0.822,15.00,6.71,43.74,0.00
0.842,15.00,6.64,44.51,0.00
0.882,15.00,6.64,45.18,0.00
0.900,15.00,6.50,46.05,0.00
0.920,15.00,6.50,46.73,0.00
0.959,15.00,6.58,47.30,0.00
0.979,15.00,6.71,47.77,0.00
1.000,15.00,6.84,48.24,0.00
1.018,15.00,6.71,49.09,0.00
1.057,15.00,6.58,49.95,0.00
1.077,15.00,6.50,50.73,0.00
1.097,15.00,6.50,51.41,0.00
1.116,15.00,6.37,52.29,0.00
1.136,15.00,6.37,52.98,0.00
1.175,15.00,6.29,53.77,0.00
1.195,15.00,6.29,54.47,0.00
1.214,15.00,6.29,55.17,0.00
1.234,15.00,6.29,55.86,0.00
1.273,15.00,6.23,56.65,0.00
1.293,15.00,6.23,57.35,0.00
1.313,15.00,6.23,58.05,0.00
1.334,15.00,6.23,58.75,0.00
1.372,15.00,6.23,59.45,0.00
1.391,15.00,6.37,59.95,0.00
1.411,15.00,6.29,60.75,0.00
1.450,15.00,6.23,61.54,0.00
1.470,15.00,6.16,62.35,0.00
1.489,15.00,6.16,63.05,0.00
1.509,15.00,6.16,63.76,0.00
1.548,15.00,6.03,64.66,0.00
1.568,15.00,6.16,65.18,0.00
1.587,15.00,6.29,65.69,0.00
1.607,15.00,6.29,66.39,0.00
1.627,15.00,6.23,67.17,0.00
1.666,15.00,6.29,67.78,0.00
1.686,15.00,6.29,68.48,0.00
1.705,15.00,6.43,68.98,0.00
1.725,15.00,6.43,69.66,0.00
1.764,15.00,6.43,70.35,0.00
1.784,15.00,6.43,71.03,0.00
1.803,15.00,6.43,71.72,0.00
1.823,15.00,6.43,72.40,0.00
1.862,15.00,6.50,72.98,0.00
1.882,15.00,6.58,73.55,0.00
1.901,15.00,6.58,74.22,0.00
1.921,15.00,6.64,74.81,0.00
1.960,15.00,6.64,75.48,0.00
1.980,15.00,6.64,76.14,0.00
2.000,15.00,6.71,76.71,0.00
2.019,15.00,6.71,77.37,0.00
2.058,15.00,6.64,78.14,0.00
2.078,15.00,6.78,78.59,0.00
2.098,15.00,6.78,79.25,0.00
2.117,15.00,6.84,79.82,0.00
2.157,15.00,6.92,80.36,0.00
2.176,15.00,6.92,81.01,0.00
2.215,15.00,6.98,81.56,0.00
2.236,15.00,6.92,82.29,0.00
2.255,15.00,6.92,82.94,0.00
2.274,15.00,6.92,83.58,0.00
2.314,15.00,6.92,84.23,0.00
2.333,15.00,6.98,84.79,0.00
2.372,15.00,7.05,85.32,0.00
2.392,15.00,7.12,85.85,0.00
2.412,15.00,7.19,86.39,0.00
2.431,15.00,7.19,87.01,0.00
2.452,15.00,7.26,87.53,0.00
2.490,15.00,7.19,88.26,0.00
2.510,15.00,7.19,88.88,0.00
2.530,15.00,7.19,89.51,0.00
2.549,15.00,7.26,90.02,0.00
2.588,15.00,7.33,90.54,0.00
2.608,15.00,7.39,91.06,0.00
2.628,15.00,7.46,91.56,0.00
2.647,15.00,7.46,92.16,0.00
2.687,15.00,7.46,92.76,0.00
2.706,15.00,7.53,93.28,0.00
2.726,15.00,7.53,93.88,0.00
2.746,15.00,7.53,94.47,0.00
2.785,15.00,7.53,95.07,0.00
2.804,15.00,7.67,95.45,0.00
2.824,15.00,7.80,95.84,0.00
2.844,15.00,7.80,96.42,0.00
2.884,15.00,7.88,96.89,0.00
2.904,15.00,7.94,97.37,0.00
2.942,15.00,7.94,97.93,0.00
2.961,15.00,8.01,98.39,0.00
2.981,15.00,8.01,98.95,0.00
3.001,15.00,8.07,99.42,0.00
3.040,15.00,8.07,99.97,0.00
3.060,15.00,8.07,100.00,0.00
3.079,15.00,8.14,100.00,0.00
3.118,15.00,8.14,100.00,0.00
3.138,15.00,8.27,100.00,0.00
3.159,15.00,8.27,100.00,0.00
3.177,15.00,8.27,100.00,0.00
