Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.036,15.00,20.23,0.00,5.23
0.056,15.00,20.17,0.00,5.17
0.075,15.00,20.11,0.00,5.11
0.096,15.00,19.99,0.00,4.99
0.134,15.00,19.93,0.00,4.93
0.155,15.00,19.86,0.00,4.86
0.173,15.00,19.81,0.00,4.81
0.193,15.00,19.81,0.00,4.81
0.232,15.00,19.75,0.00,4.75
0.252,15.00,19.75,0.00,4.75
0.271,15.00,19.75,0.00,4.75
0.291,15.00,19.63,0.00,4.63
0.330,15.00,19.63,0.00,4.63
0.351,15.00,19.69,0.00,4.69
0.369,15.00,19.63,0.00,4.63
0.409,15.00,19.63,0.00,4.63
0.428,15.00,19.69,0.00,4.69
0.448,15.00,19.63,0.00,4.63
0.487,15.00,6.23,9.65,0.00
0.507,15.00,6.23,10.55,0.00
0.526,15.00,6.23,11.44,0.00
0.546,15.00,6.23,12.33,0.00
0.585,15.00,6.29,13.10,0.00
0.605,15.00,6.29,13.99,0.00
0.624,15.00,6.23,15.00,0.00
0.644,15.00,6.23,15.90,0.00
0.664,15.00,6.23,16.79,0.00
0.703,15.00,6.23,17.69,0.00
0.722,15.00,6.23,18.58,0.00
0.742,15.00,6.23,19.48,0.00
0.762,15.00,6.23,20.37,0.00
0.781,15.00,6.16,21.42,0.00
0.821,15.00,6.29,22.04,0.00
0.840,15.00,6.23,23.05,0.00
0.860,15.00,6.23,23.95,0.00
0.899,15.00,6.16,25.00,0.00
0.920,15.00,6.23,25.74,0.00
0.939,15.00,6.29,26.51,0.00
0.977,15.00,6.29,27.40,0.00
0.997,15.00,6.29,28.29,0.00
1.017,15.00,6.29,29.17,0.00
1.036,15.00,6.23,30.19,0.00
1.056,15.00,6.23,31.09,0.00
1.095,15.00,6.29,31.85,0.00
1.115,15.00,6.23,32.87,0.00
1.134,15.00,6.23,33.76,0.00
1.154,15.00,6.16,34.81,0.00
1.193,15.00,6.23,35.56,0.00
1.213,15.00,6.23,36.45,0.00
1.232,15.00,6.29,37.22,0.00
1.252,15.00,6.23,38.23,0.00
1.291,15.00,6.29,39.00,0.00
1.311,15.00,6.29,39.89,0.00
1.330,15.00,6.29,40.78,0.00
1.369,15.00,6.29,41.66,0.00
1.389,15.00,6.29,42.55,0.00
1.409,15.00,6.29,43.44,0.00
1.428,15.00,6.37,44.17,0.00
1.448,15.00,6.29,45.21,0.00
1.487,15.00,6.29,46.10,0.00
1.507,15.00,6.37,46.83,0.00
1.526,15.00,6.37,47.71,0.00
1.546,15.00,6.37,48.59,0.00
1.585,15.00,6.37,49.47,0.00
1.605,15.00,6.43,50.22,0.00
1.624,15.00,6.50,50.94,0.00
1.644,15.00,6.50,51.81,0.00
1.663,15.00,6.50,52.68,0.00
1.703,15.00,6.58,53.39,0.00
1.722,15.00,6.58,54.25,0.00
1.742,15.00,6.58,55.11,0.00
1.762,15.00,6.64,55.84,0.00
1.801,15.00,6.64,56.69,0.00
1.820,15.00,6.71,57.39,0.00
1.840,15.00,6.71,58.23,0.00
1.879,15.00,6.71,59.08,0.00
1.900,15.00,6.78,59.77,0.00
1.918,15.00,6.78,60.61,0.00
1.958,15.00,6.78,61.45,0.00
1.977,15.00,6.84,62.16,0.00
1.997,15.00,6.98,62.71,0.00
2.036,15.00,6.98,63.52,0.00
2.056,15.00,7.05,64.19,0.00
2.075,15.00,7.19,64.72,0.00
2.095,15.00,7.19,65.51,0.00
2.134,15.00,7.33,66.00,0.00
2.154,15.00,7.46,66.50,0.00
2.173,15.00,7.53,67.15,0.00
2.193,15.00,7.60,67.76,0.00
2.232,15.00,7.80,68.08,0.00
2.252,15.00,7.88,68.66,0.00
2.272,15.00,8.21,68.67,0.00
2.291,15.00,8.27,69.24,0.00
2.330,15.00,8.42,69.62,0.00
2.350,15.00,8.61,69.88,0.00
2.369,15.00,8.75,70.23,0.00
2.389,15.00,8.89,70.59,0.00
2.428,15.00,9.09,70.79,0.00
2.448,15.00,9.35,70.84,0.00
2.467,15.00,9.29,71.54,0.00
2.487,15.00,9.55,71.57,0.00
2.527,15.00,9.76,71.70,0.00
2.547,15.00,9.96,71.81,0.00
2.565,15.00,10.09,72.05,0.00
2.605,15.00,10.22,72.27,0.00
2.624,15.00,10.36,72.46,0.00
2.644,15.00,10.56,72.51,0.00
2.663,15.00,10.75,72.57,0.00
2.703,15.00,10.82,72.85,0.00
2.722,15.00,10.95,73.00,0.00
2.742,15.00,11.09,73.12,0.00
