Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Test_Number
1.900,0.019,10.00,2.94,10.39,0.00,1
1.920,0.039,10.00,2.94,10.95,0.00,1
1.939,0.058,10.00,2.94,11.52,0.00,1
1.978,0.097,10.00,2.94,12.08,0.00,1
1.998,0.117,10.00,2.94,12.64,0.00,1
2.018,0.137,10.00,3.02,13.10,0.00,1
2.037,0.156,10.00,3.02,13.65,0.00,1
2.057,0.176,10.00,2.94,14.32,0.00,1
2.096,0.215,10.00,2.94,14.89,0.00,1
2.116,0.235,10.00,2.94,15.45,0.00,1
2.136,0.255,10.00,2.94,16.02,0.00,1
2.156,0.275,10.00,2.94,16.58,0.00,1
2.195,0.313,10.00,2.94,17.15,0.00,1
2.215,0.333,10.00,2.94,17.71,0.00,1
2.235,0.354,10.00,2.94,18.27,0.00,1
2.253,0.372,10.00,2.94,18.84,0.00,1
2.292,0.411,10.00,2.94,19.40,0.00,1
2.312,0.431,10.00,2.45,20.69,0.00,1
2.333,0.451,10.00,2.45,21.29,0.00,1
2.351,0.470,10.00,2.45,21.90,0.00,1
2.371,0.490,10.00,2.37,22.61,0.00,1
2.411,0.530,10.00,2.45,23.11,0.00,1
2.431,0.550,10.00,2.45,23.71,0.00,1
2.469,0.588,10.00,2.45,24.32,0.00,1
2.489,0.608,10.00,2.45,24.92,0.00,1
2.509,0.627,10.00,2.45,25.52,0.00,1
2.529,0.648,10.00,2.45,26.13,0.00,1
2.568,0.687,10.00,2.45,26.73,0.00,1
2.587,0.706,10.00,2.45,27.33,0.00,1
2.627,0.746,10.00,2.51,27.84,0.00,1
2.645,0.764,10.00,2.51,28.44,0.00,1
2.666,0.785,10.00,2.51,29.04,0.00,1
2.704,0.823,10.00,2.59,29.53,0.00,1
2.724,0.843,10.00,2.59,30.12,0.00,1
2.743,0.862,10.00,2.59,30.71,0.00,1
2.763,0.882,10.00,2.66,31.19,0.00,1
2.802,0.921,10.00,2.66,31.78,0.00,1
2.822,0.941,10.00,2.73,32.27,0.00,1
2.841,0.960,10.00,2.80,32.74,0.00,1
2.861,0.980,10.00,2.80,33.32,0.00,1
2.881,1.000,10.00,2.88,33.78,0.00,1
2.920,1.039,10.00,2.94,34.26,0.00,1
2.939,1.058,10.00,3.02,34.71,0.00,1
2.959,1.078,10.00,3.08,35.18,0.00,1
2.980,1.099,10.00,3.08,35.73,0.00,1
3.019,1.138,10.00,3.16,36.17,0.00,1
3.039,1.158,10.00,3.29,36.52,0.00,1
3.058,1.177,10.00,3.37,36.94,0.00,1
3.096,1.215,10.00,3.44,37.36,0.00,1
3.116,1.235,10.00,3.58,37.68,0.00,1
3.136,1.255,10.00,3.58,38.20,0.00,1
3.156,1.274,10.00,3.65,38.62,0.00,1
3.195,1.314,10.00,3.72,39.01,0.00,1
3.215,1.334,10.00,3.80,39.41,0.00,1
3.234,1.353,10.00,3.86,39.81,0.00,1
3.253,1.372,10.00,3.93,40.19,0.00,1
3.292,1.411,10.00,4.01,40.56,0.00,1
3.312,1.431,10.00,4.07,40.95,0.00,1
3.332,1.451,10.00,4.14,41.32,0.00,1
3.351,1.470,10.00,4.28,41.58,0.00,1
3.390,1.509,10.00,4.42,41.84,0.00,1
3.411,1.530,10.00,4.49,42.17,0.00,1
3.430,1.549,10.00,4.49,42.61,0.00,1
3.449,1.568,10.00,4.63,42.85,0.00,1
3.469,1.588,10.00,4.70,43.17,0.00,1
3.508,1.627,10.00,4.84,43.40,0.00,1
3.528,1.647,10.00,4.98,43.61,0.00,1
3.547,1.666,10.00,4.98,44.01,0.00,1
3.567,1.686,10.00,5.05,44.30,0.00,1
3.606,1.725,10.00,5.19,44.50,0.00,1
3.627,1.746,10.00,5.32,44.68,0.00,1
3.645,1.764,10.00,5.40,44.95,0.00,1
3.685,1.804,10.00,5.47,45.20,0.00,1
3.704,1.823,10.00,5.61,45.37,0.00,1
3.724,1.843,10.00,5.74,45.52,0.00,1
3.743,1.862,10.00,5.82,45.75,0.00,1
3.783,1.902,10.00,5.88,45.99,0.00,1
3.802,1.921,10.00,5.95,46.22,0.00,1
3.822,1.941,10.00,6.16,46.23,0.00,1
3.841,1.960,10.00,6.23,46.43,0.00,1
3.881,2.000,10.00,6.37,46.53,0.00,1
3.900,2.019,10.00,6.43,46.73,0.00,1
3.920,2.039,10.00,6.50,46.91,0.00,1
3.939,2.058,10.00,6.58,47.08,0.00,1
3.980,2.099,10.00,6.64,47.27,0.00,1
3.999,2.118,10.00,6.71,47.43,0.00,1
4.018,2.137,10.00,6.78,47.58,0.00,1
4.057,2.176,10.00,6.92,47.64,0.00,1
4.077,2.196,10.00,6.98,47.80,0.00,1
4.096,2.215,10.00,6.98,48.04,0.00,1
4.116,2.235,10.00,7.05,48.17,0.00,1
4.155,2.274,10.00,7.19,48.21,0.00,1
4.176,2.295,10.00,7.26,48.33,0.00,1
4.195,2.314,10.00,7.33,48.44,0.00,1
4.215,2.334,10.00,7.46,48.46,0.00,1
4.253,2.372,10.00,7.60,48.47,0.00,1
4.274,2.393,10.00,7.67,48.55,0.00,1
4.292,2.411,10.00,7.67,48.74,0.00,1
4.312,2.431,10.00,7.73,48.84,0.00,1
4.351,2.470,10.00,7.80,48.91,0.00,1
4.371,2.490,10.00,7.88,48.98,0.00,1
4.390,2.509,10.00,7.94,49.06,0.00,1
4.411,2.530,10.00,8.01,49.12,0.00,1
4.430,2.549,10.00,8.07,49.19,0.00,1
4.469,2.588,10.00,8.21,49.13,0.00,1
4.490,2.609,10.00,8.27,49.18,0.00,1
4.508,2.627,10.00,8.48,49.02,0.00,1
4.548,2.667,10.00,8.61,48.95,0.00,1
4.567,2.686,10.00,8.68,48.95,0.00,1
4.587,2.706,10.00,8.96,48.65,0.00,1
4.626,2.745,10.00,8.96,48.74,0.00,1
4.646,2.765,10.00,9.09,48.63,0.00,1
4.665,2.784,10.00,9.22,48.51,0.00,1
4.685,2.804,10.00,9.29,48.46,0.00,1
4.725,2.843,10.00,9.42,48.33,0.00,1
4.744,2.863,10.00,9.49,48.27,0.00,1
4.763,2.882,10.00,9.63,0.00,0.00,1
4.803,2.922,10.00,9.69,0.00,0.00,1
4.822,2.941,10.00,9.76,0.00,0.00,1
4.861,2.980,10.00,9.89,0.00,0.00,1
4.881,3.000,10.00,9.96,0.00,0.00,1
4.900,3.019,10.00,10.09,0.00,0.00,1
4.920,3.039,10.00,10.09,0.00,0.00,1
4.960,3.078,10.00,10.16,0.00,0.00,1
4.979,3.098,10.00,10.22,0.00,0.00,1
4.998,3.117,10.00,10.36,0.00,0.00,1
5.019,3.137,10.00,10.42,0.00,0.00,1
5.057,3.176,10.00,10.49,0.00,0.00,1
5.077,3.196,10.00,10.56,0.00,2.82,1
5.096,3.215,10.00,10.62,0.00,3.12,1
5.116,3.235,10.00,10.69,0.00,3.49,1
5.155,3.274,10.00,10.75,0.00,3.80,1
5.175,3.294,10.00,10.82,0.00,4.17,1
5.194,3.313,10.00,10.82,0.00,4.19,1
5.215,3.334,10.00,10.95,0.00,4.85,1
5.253,3.372,10.00,11.02,0.00,5.23,1
5.273,3.392,10.00,11.15,0.00,5.89,1
5.292,3.411,10.00,11.22,0.00,6.27,1
5.312,3.431,10.00,11.28,0.00,6.59,1
5.352,3.471,10.00,11.35,0.00,6.97,1
5.371,3.490,10.00,11.42,0.00,7.35,1
5.391,3.509,10.00,11.48,0.00,7.67,1
5.430,3.549,10.00,11.48,0.00,7.70,1
5.450,3.569,10.00,11.62,0.00,8.43,1
5.470,3.589,10.00,11.68,0.00,8.76,1
5.508,3.627,10.00,11.62,0.00,8.50,1
5.527,3.646,10.00,11.62,0.00,8.53,1
5.548,3.666,10.00,11.75,0.00,9.21,1
5.567,3.686,10.00,11.68,0.00,8.89,1
5.606,3.725,10.00,11.68,0.00,8.92,1
5.626,3.745,10.00,11.68,0.00,8.96,1
5.646,3.765,10.00,11.62,0.00,8.70,1
5.665,3.784,10.00,11.62,0.00,8.73,1
5.705,3.823,10.00,11.62,0.00,8.76,1
5.723,3.842,10.00,11.62,0.00,8.79,1
5.744,3.863,10.00,11.55,0.00,8.47,1
5.782,3.901,10.00,11.48,0.00,8.15,1
5.802,3.921,10.00,11.48,0.00,8.18,1
5.821,3.940,10.00,11.42,0.00,7.92,1
5.863,3.981,10.00,11.42,0.00,7.95,1
5.881,4.000,10.00,11.35,0.00,7.62,1
5.920,4.039,10.00,11.28,0.00,7.30,1
5.940,4.059,10.00,11.28,0.00,7.32,1
5.959,4.078,10.00,11.22,0.00,7.05,1
5.998,4.117,10.00,11.15,0.00,6.73,1
6.018,4.137,10.00,11.22,0.00,7.10,1
6.038,4.156,10.00,11.15,0.00,6.77,1
6.058,4.177,10.00,11.09,0.00,6.50,1
6.096,4.215,10.00,11.09,0.00,6.52,1
6.115,4.234,10.00,11.02,0.00,6.19,1
6.135,4.254,10.00,10.95,0.00,5.86,1
6.156,4.275,10.00,10.95,0.00,5.88,1
6.195,4.314,10.00,10.95,0.00,5.90,1
6.213,4.332,10.00,10.89,0.00,5.62,1
6.234,4.352,10.00,10.89,0.00,5.64,1
6.273,4.392,10.00,10.89,0.00,5.66,1
6.293,4.412,10.00,10.69,0.00,4.67,1
6.311,4.430,10.00,10.69,0.00,4.68,1
6.351,4.470,10.00,10.62,0.00,4.34,1
6.370,4.489,10.00,10.62,0.00,4.36,1
6.390,4.509,10.00,10.49,0.00,0.00,1
6.429,4.548,10.00,10.42,0.00,0.00,1
6.449,4.568,10.00,10.49,0.00,0.00,1
6.468,4.587,10.00,10.29,0.00,0.00,1
6.488,4.607,10.00,10.29,0.00,0.00,1
6.527,4.646,10.00,10.22,0.00,0.00,1
6.547,4.666,10.00,10.16,0.00,0.00,1
6.566,4.685,10.00,10.16,0.00,0.00,1
6.586,4.705,10.00,9.96,0.00,0.00,1
6.626,4.745,10.00,10.03,0.00,0.00,1
6.646,4.765,10.00,9.89,0.00,0.00,1
6.665,4.784,10.00,9.83,0.00,0.00,1
6.703,4.822,10.00,9.69,0.00,0.00,1
6.723,4.842,10.00,9.76,0.00,0.00,1
6.743,4.862,10.00,9.63,0.00,0.00,1
6.762,4.881,10.00,9.63,0.00,0.00,1
6.782,4.901,10.00,9.55,0.00,0.00,1
6.822,4.941,10.00,9.49,0.74,0.00,1
6.841,4.960,10.00,9.49,0.78,0.00,1
6.860,4.979,10.00,9.35,1.03,0.00,1
6.880,4.999,10.00,9.35,1.09,0.00,1
6.920,5.038,10.00,9.35,1.14,0.00,1
6.940,5.058,10.00,9.29,1.28,0.00,1
6.959,5.078,10.00,9.22,1.44,0.00,1
6.979,5.098,10.00,9.22,1.50,0.00,1
7.018,5.137,10.00,9.15,1.67,0.00,1
7.038,5.156,10.00,9.09,1.83,0.00,1
7.057,5.176,10.00,9.09,1.90,0.00,1
7.096,5.215,10.00,9.09,1.97,0.00,1
7.115,5.234,10.00,9.02,2.15,0.00,1
7.135,5.254,10.00,8.96,2.32,0.00,1
7.175,5.294,10.00,8.96,2.40,0.00,1
7.195,5.314,10.00,8.96,2.48,0.00,1
7.213,5.332,10.00,8.89,2.67,0.00,1
7.254,5.372,10.00,8.81,2.87,0.00,1
7.272,5.391,10.00,8.75,3.05,0.00,1
7.292,5.411,10.00,8.75,3.15,0.00,1
7.331,5.450,10.00,8.75,3.25,0.00,1
7.351,5.470,10.00,8.61,3.56,0.00,1
7.370,5.489,10.00,8.61,3.67,0.00,1
7.390,5.509,10.00,8.55,3.87,0.00,1
7.430,5.549,10.00,8.42,4.18,0.00,1
7.451,5.569,10.00,8.42,4.31,0.00,1
7.468,5.587,10.00,8.42,4.43,0.00,1
7.507,5.626,10.00,8.35,4.67,0.00,1
7.527,5.646,10.00,8.27,4.90,0.00,1
7.547,5.666,10.00,8.21,5.13,0.00,1
7.587,5.705,10.00,8.21,5.27,0.00,1
7.606,5.725,10.00,8.14,5.52,0.00,1
7.625,5.744,10.00,8.14,5.67,0.00,1
7.665,5.783,10.00,8.07,5.93,0.00,1
7.684,5.803,10.00,8.01,6.17,0.00,1
7.704,5.823,10.00,8.01,6.33,0.00,1
7.742,5.861,10.00,7.94,6.59,0.00,1
7.762,5.881,10.00,7.94,6.76,0.00,1
7.782,5.901,10.00,7.94,6.92,0.00,1
7.801,5.920,10.00,7.73,7.39,0.00,1
7.821,5.940,10.00,7.73,7.57,0.00,1
7.860,5.979,10.00,7.67,7.84,0.00,1
7.880,5.999,10.00,7.67,8.03,0.00,1
7.900,6.019,10.00,7.67,8.22,0.00,1
7.919,6.038,10.00,7.60,8.51,0.00,1
7.958,6.077,10.00,7.53,8.81,0.00,1
7.979,6.098,10.00,7.53,9.01,0.00,1
7.997,6.116,10.00,7.53,9.20,0.00,1
8.017,6.136,10.00,7.46,9.49,0.00,1
8.056,6.175,10.00,7.39,9.80,0.00,1
8.076,6.195,10.00,7.39,10.01,0.00,1
8.096,6.215,10.00,7.39,10.22,0.00,1
8.115,6.234,10.00,7.33,10.52,0.00,1
8.154,6.273,10.00,7.33,10.73,0.00,1
8.174,6.293,10.00,7.33,10.94,0.00,1
8.194,6.313,10.00,7.26,11.26,0.00,1
8.213,6.332,10.00,7.26,11.48,0.00,1
8.253,6.372,10.00,7.26,11.70,0.00,1
8.272,6.391,10.00,7.26,11.92,0.00,1
8.291,6.410,10.00,7.26,12.14,0.00,1
8.311,6.430,10.00,7.19,12.47,0.00,1
8.350,6.469,10.00,7.19,12.69,0.00,1
8.370,6.489,10.00,7.19,12.92,0.00,1
8.390,6.509,10.00,7.19,13.14,0.00,1
8.409,6.528,10.00,7.19,13.37,0.00,1
8.448,6.567,10.00,7.19,13.59,0.00,1
8.468,6.587,10.00,7.12,13.90,0.00,1
8.489,6.608,10.00,7.05,14.24,0.00,1
8.507,6.626,10.00,7.12,14.37,0.00,1
8.546,6.665,10.00,7.12,14.60,0.00,1
8.567,6.686,10.00,7.12,14.83,0.00,1
8.587,6.706,10.00,7.05,15.17,0.00,1
8.605,6.724,10.00,7.05,15.40,0.00,1
8.644,6.763,10.00,7.05,15.64,0.00,1
8.665,6.784,10.00,6.98,15.98,0.00,1
8.685,6.804,10.00,7.05,16.12,0.00,1
8.703,6.822,10.00,7.05,16.35,0.00,1
8.743,6.862,10.00,7.12,16.48,0.00,1
8.762,6.881,10.00,7.05,16.82,0.00,1
8.783,6.902,10.00,7.05,17.05,0.00,1
8.821,6.940,10.00,7.05,17.29,0.00,1
8.841,6.960,10.00,7.12,17.42,0.00,1
8.860,6.979,10.00,7.05,17.75,0.00,1
8.881,7.000,10.00,6.92,18.19,0.00,1
8.920,7.039,10.00,6.92,18.43,0.00,1
8.939,7.058,10.00,6.98,18.59,0.00,1
8.958,7.077,10.00,7.05,18.72,0.00,1
8.997,7.116,10.00,7.05,18.96,0.00,1
9.017,7.136,10.00,6.98,19.30,0.00,1
9.038,7.157,10.00,7.05,19.44,0.00,1
9.056,7.175,10.00,7.05,19.67,0.00,1
9.096,7.215,10.00,7.12,19.80,0.00,1
9.116,7.235,10.00,7.05,20.14,0.00,1
9.136,7.255,10.00,7.05,20.37,0.00,1
9.174,7.293,10.00,7.05,20.61,0.00,1
9.194,7.312,10.00,7.05,20.84,0.00,1
9.214,7.333,10.00,7.05,21.08,0.00,1
9.234,7.353,10.00,7.05,21.32,0.00,1
9.272,7.391,10.00,7.12,21.44,0.00,1
9.291,7.410,10.00,7.12,21.67,0.00,1
9.311,7.430,10.00,7.12,21.90,0.00,1
9.331,7.450,10.00,7.05,22.24,0.00,1
9.370,7.489,10.00,7.26,22.17,0.00,1
9.389,7.508,10.00,7.26,22.39,0.00,1
9.409,7.528,10.00,7.26,22.61,0.00,1
9.429,7.548,10.00,7.26,22.83,0.00,1
9.468,7.587,10.00,7.26,23.05,0.00,1
9.487,7.606,10.00,7.26,23.27,0.00,1
9.507,7.626,10.00,7.33,23.38,0.00,1
9.528,7.647,10.00,7.33,23.59,0.00,1
9.566,7.685,10.00,7.33,23.81,0.00,1
9.585,7.704,10.00,7.33,24.02,0.00,1
9.606,7.725,10.00,7.33,24.23,0.00,1
9.625,7.744,10.00,7.39,24.36,0.00,1
9.664,7.783,10.00,7.39,24.57,0.00,1
9.683,7.802,10.00,7.39,24.77,0.00,1
9.704,7.823,10.00,7.53,24.79,0.00,1
9.724,7.843,10.00,7.53,24.98,0.00,1
9.762,7.881,10.00,7.60,25.08,0.00,1
9.782,7.900,10.00,7.67,25.16,0.00,1
9.802,7.920,10.00,7.73,25.26,0.00,1
9.821,7.940,10.00,7.67,25.53,0.00,1
9.861,7.980,10.00,7.67,25.71,0.00,1
9.880,7.999,10.00,7.73,25.81,0.00,1
9.899,8.018,10.00,7.73,25.99,0.00,1
9.939,8.058,10.00,7.73,26.17,0.00,1
9.958,8.077,10.00,7.73,26.36,0.00,1
9.977,8.096,10.00,7.73,26.54,0.00,1
9.998,8.117,10.00,7.80,26.61,0.00,1
10.036,8.155,10.00,7.80,26.79,0.00,1
10.057,8.176,10.00,7.88,26.86,0.00,1
10.076,8.195,10.00,7.94,26.94,0.00,1
10.115,8.234,10.00,7.94,27.10,0.00,1
10.134,8.253,10.00,8.01,27.16,0.00,1
10.154,8.273,10.00,8.07,27.23,0.00,1
10.193,8.312,10.00,8.07,27.39,0.00,1
10.213,8.332,10.00,8.14,27.43,0.00,1
10.233,8.352,10.00,8.14,27.58,0.00,1
10.253,8.372,10.00,8.14,27.73,0.00,1
10.291,8.410,10.00,8.14,27.88,0.00,1
10.310,8.429,10.00,8.14,28.03,0.00,1
10.330,8.449,10.00,8.21,28.07,0.00,1
10.350,8.469,10.00,8.21,28.21,0.00,1
10.389,8.508,10.00,8.27,28.27,0.00,1
10.408,8.527,10.00,8.35,28.30,0.00,1
10.428,8.547,10.00,8.42,28.32,0.00,1
10.448,8.567,10.00,8.35,28.56,0.00,1
10.487,8.606,10.00,8.48,28.49,0.00,1
10.506,8.625,10.00,8.48,28.62,0.00,1
10.526,8.645,10.00,8.55,28.63,0.00,1
10.546,8.665,10.00,8.61,28.66,0.00,1
