Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.033,20.00,9.29,15.99,0.00
0.052,20.00,9.29,16.85,0.00
0.092,20.00,9.22,17.81,0.00
0.112,20.00,9.15,18.78,0.00
0.131,20.00,9.09,19.73,0.00
0.170,20.00,9.09,20.61,0.00
0.190,20.00,9.09,21.48,0.00
0.209,20.00,9.15,22.26,0.00
0.229,20.00,9.09,23.22,0.00
0.249,20.00,9.09,24.09,0.00
0.288,20.00,9.09,24.96,0.00
0.308,20.00,8.96,26.03,0.00
0.327,20.00,8.96,26.91,0.00
0.347,20.00,8.96,27.79,0.00
0.386,20.00,8.96,28.68,0.00
0.406,20.00,8.81,29.77,0.00
0.425,20.00,8.81,30.66,0.00
0.445,20.00,8.89,31.45,0.00
0.484,20.00,7.33,34.63,0.00
0.505,20.00,7.39,35.55,0.00
0.523,20.00,7.39,36.56,0.00
0.543,20.00,7.26,37.76,0.00
0.582,20.00,7.26,38.78,0.00
0.602,20.00,7.33,39.69,0.00
0.622,20.00,7.46,40.51,0.00
0.641,20.00,7.39,41.62,0.00
0.680,20.00,7.39,42.63,0.00
0.700,20.00,7.39,43.64,0.00
0.720,20.00,7.39,44.64,0.00
0.739,20.00,7.46,45.54,0.00
0.779,20.00,7.46,46.55,0.00
0.798,20.00,7.60,47.35,0.00
0.818,20.00,7.53,48.45,0.00
0.857,20.00,7.53,49.45,0.00
0.877,20.00,7.60,50.34,0.00
0.897,20.00,7.60,51.33,0.00
0.916,20.00,7.53,52.43,0.00
0.956,20.00,7.60,53.32,0.00
0.975,20.00,7.60,54.31,0.00
0.995,20.00,7.60,55.30,0.00
1.034,20.00,7.60,56.29,0.00
1.053,20.00,7.67,57.18,0.00
1.073,20.00,7.73,58.07,0.00
1.112,20.00,7.80,58.95,0.00
1.132,20.00,7.80,59.92,0.00
1.151,20.00,7.88,60.79,0.00
1.171,20.00,7.88,61.76,0.00
1.210,20.00,7.80,62.83,0.00
1.230,20.00,7.88,63.70,0.00
1.250,20.00,7.94,64.58,0.00
1.269,20.00,7.94,65.55,0.00
1.308,20.00,7.94,66.51,0.00
1.328,20.00,8.01,67.37,0.00
1.348,20.00,8.01,68.33,0.00
1.367,20.00,8.07,69.20,0.00
1.387,20.00,8.21,69.94,0.00
1.426,20.00,8.27,70.79,0.00
1.446,20.00,8.35,71.62,0.00
1.465,20.00,8.48,72.36,0.00
1.485,20.00,8.61,73.09,0.00
1.524,20.00,8.68,73.89,0.00
1.544,20.00,8.81,74.60,0.00
1.564,20.00,8.89,75.39,0.00
1.583,20.00,9.02,76.08,0.00
1.622,20.00,9.09,76.86,0.00
1.642,20.00,9.22,77.54,0.00
1.662,20.00,9.49,77.99,0.00
1.681,20.00,9.55,78.75,0.00
1.701,20.00,10.09,78.79,0.00
1.740,20.00,10.16,79.48,0.00
1.760,20.00,10.36,79.97,0.00
1.779,20.00,10.75,80.17,0.00
1.799,20.00,10.89,80.70,0.00
1.838,20.00,11.02,81.24,0.00
1.858,20.00,11.22,81.67,0.00
1.877,20.00,11.28,82.28,0.00
1.897,20.00,11.42,82.77,0.00
1.917,20.00,11.68,83.08,0.00
1.956,20.00,11.75,83.64,0.00
1.976,20.00,11.87,84.11,0.00
1.996,20.00,12.00,84.57,0.00
2.015,20.00,12.20,84.92,0.00
2.054,20.00,12.27,85.44,0.00
2.074,20.00,12.47,85.77,0.00
2.093,20.00,12.66,86.08,0.00
2.113,20.00,12.79,86.48,0.00
2.152,20.00,12.99,86.77,0.00
2.172,20.00,13.18,87.04,0.00
2.192,20.00,13.31,87.40,0.00
2.211,20.00,13.43,87.75,0.00
2.231,20.00,13.56,88.09,0.00
2.271,20.00,13.76,88.32,0.00
2.290,20.00,13.82,88.72,0.00
2.309,20.00,13.95,89.03,0.00
2.329,20.00,14.14,89.22,0.00
2.369,20.00,14.27,89.51,0.00
2.389,20.00,14.39,89.78,0.00
2.409,20.00,14.59,89.95,0.00
2.447,20.00,14.72,90.18,0.00
2.466,20.00,14.97,90.23,0.00
2.486,20.00,15.23,90.25,0.00
2.506,20.00,15.36,90.45,0.00
2.546,20.00,15.48,90.64,0.00
2.564,20.00,15.67,90.72,0.00
2.584,20.00,15.92,90.71,0.00
