Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.026,20.00,7.19,0.00,0.00
0.047,20.00,7.33,0.00,0.00
0.065,20.00,7.39,0.00,0.00
0.105,20.00,7.33,0.00,0.00
0.125,20.00,7.26,0.00,0.00
0.145,20.00,7.33,0.00,0.00
0.184,20.00,7.46,0.00,0.00
0.203,20.00,7.39,0.00,0.00
0.244,20.00,7.26,0.00,0.00
0.261,20.00,7.33,0.00,0.00
0.302,20.00,7.46,0.00,0.00
0.320,20.00,7.39,0.00,0.00
0.340,20.00,7.12,0.00,0.00
0.361,20.00,6.98,0.00,0.00
0.399,20.00,7.26,0.00,0.00
0.418,20.00,7.60,0.00,0.00
0.439,20.00,7.73,0.00,0.00
0.458,20.00,6.98,0.00,0.00
0.497,20.00,6.98,0.00,0.00
0.516,20.00,6.92,0.00,0.00
0.537,20.00,6.98,0.00,0.00
0.575,20.00,6.98,0.00,0.00
0.595,20.00,6.98,0.00,0.00
0.615,20.00,6.92,0.29,0.00
0.634,20.00,6.92,1.33,0.00
0.673,20.00,6.98,2.29,0.00
0.693,20.00,6.92,3.42,0.00
0.713,20.00,6.92,4.46,0.00
0.732,20.00,6.92,5.51,0.00
0.752,20.00,6.92,6.56,0.00
0.791,20.00,6.84,7.71,0.00
0.811,20.00,6.92,8.65,0.00
0.830,20.00,7.05,9.50,0.00
0.850,20.00,6.98,10.64,0.00
0.869,20.00,6.98,11.68,0.00
0.909,20.00,7.05,12.62,0.00
0.928,20.00,6.92,13.85,0.00
0.948,20.00,7.05,14.70,0.00
0.968,20.00,6.98,15.84,0.00
1.007,20.00,6.92,16.97,0.00
1.027,20.00,7.05,17.82,0.00
1.046,20.00,6.98,18.96,0.00
1.066,20.00,7.05,19.90,0.00
1.105,20.00,7.05,20.93,0.00
1.125,20.00,6.98,22.07,0.00
1.144,20.00,6.98,23.11,0.00
1.183,20.00,6.98,24.15,0.00
1.203,20.00,7.05,25.09,0.00
1.223,20.00,7.05,26.12,0.00
1.242,20.00,7.05,27.16,0.00
1.282,20.00,7.12,28.09,0.00
1.301,20.00,7.05,29.22,0.00
1.321,20.00,7.05,30.26,0.00
1.360,20.00,6.98,31.40,0.00
1.380,20.00,7.12,32.23,0.00
1.399,20.00,6.98,33.47,0.00
1.438,20.00,6.98,34.51,0.00
1.458,20.00,7.19,35.25,0.00
1.478,20.00,7.19,36.27,0.00
1.497,20.00,7.12,37.39,0.00
1.536,20.00,7.19,38.33,0.00
1.556,20.00,7.19,39.35,0.00
1.576,20.00,7.05,40.57,0.00
1.595,20.00,7.12,41.50,0.00
1.615,20.00,7.12,42.53,0.00
1.654,20.00,7.05,43.66,0.00
1.674,20.00,7.12,44.59,0.00
1.693,20.00,7.33,45.32,0.00
1.713,20.00,7.26,46.44,0.00
1.733,20.00,7.12,47.65,0.00
1.772,20.00,7.12,48.68,0.00
1.791,20.00,7.19,49.62,0.00
1.811,20.00,7.33,50.43,0.00
1.831,20.00,7.33,51.44,0.00
1.870,20.00,7.26,52.56,0.00
1.889,20.00,7.26,53.58,0.00
1.909,20.00,7.33,54.49,0.00
1.929,20.00,7.33,55.51,0.00
1.968,20.00,7.33,56.52,0.00
1.989,20.00,7.39,57.44,0.00
2.007,20.00,7.39,58.45,0.00
2.027,20.00,7.39,59.46,0.00
2.066,20.00,7.53,60.27,0.00
2.086,20.00,7.60,61.16,0.00
2.105,20.00,7.53,62.26,0.00
2.126,20.00,7.39,63.45,0.00
2.165,20.00,7.46,64.35,0.00
2.184,20.00,7.39,65.46,0.00
2.203,20.00,7.46,66.36,0.00
2.223,20.00,7.60,67.17,0.00
2.262,20.00,7.67,68.05,0.00
2.282,20.00,7.67,69.04,0.00
2.302,20.00,7.80,69.83,0.00
2.322,20.00,7.80,70.80,0.00
2.360,20.00,7.88,71.67,0.00
2.380,20.00,7.94,72.55,0.00
2.401,20.00,7.94,73.51,0.00
2.420,20.00,7.88,74.57,0.00
2.458,20.00,8.07,75.25,0.00
2.479,20.00,8.14,76.10,0.00
2.498,20.00,8.21,76.94,0.00
2.517,20.00,8.27,77.80,0.00
2.557,20.00,8.35,78.63,0.00
2.576,20.00,8.42,79.45,0.00
2.597,20.00,8.48,80.29,0.00
2.635,20.00,8.48,81.21,0.00
2.655,20.00,8.61,81.94,0.00
2.675,20.00,8.75,82.64,0.00
2.694,20.00,8.81,83.45,0.00
2.733,20.00,8.89,84.23,0.00
2.753,20.00,9.02,84.93,0.00
2.772,20.00,9.09,85.70,0.00
2.792,20.00,9.09,86.57,0.00
2.831,20.00,9.15,87.36,0.00
2.851,20.00,9.29,88.01,0.00
2.871,20.00,9.29,88.87,0.00
2.891,20.00,9.35,89.64,0.00
2.930,20.00,9.55,90.19,0.00
2.949,20.00,9.55,91.03,0.00
2.969,20.00,9.69,91.67,0.00
3.008,20.00,9.76,92.39,0.00
3.027,20.00,9.96,92.91,0.00
3.047,20.00,10.09,93.52,0.00
3.086,20.00,10.22,94.12,0.00
3.106,20.00,10.22,94.90,0.00
3.126,20.00,10.29,95.58,0.00
3.146,20.00,10.36,96.25,0.00
3.184,20.00,10.56,96.73,0.00
3.204,20.00,10.56,97.48,0.00
3.223,20.00,10.82,97.86,0.00
3.243,20.00,10.75,98.69,0.00
3.264,20.00,10.95,99.14,0.00
3.303,20.00,10.89,99.95,0.00
3.322,20.00,11.02,100.00,0.00
3.342,20.00,11.02,100.00,0.00
3.380,20.00,11.09,100.00,0.00
3.400,20.00,11.28,100.00,0.00
3.420,20.00,11.48,100.00,0.00
3.440,20.00,11.55,100.00,0.00
3.479,20.00,11.68,100.00,0.00
3.498,20.00,11.68,100.00,0.00
3.518,20.00,11.80,100.00,0.00
3.557,20.00,12.07,100.00,0.00
3.576,20.00,12.07,100.00,0.00
3.597,20.00,12.00,100.00,0.00
3.616,20.00,12.14,100.00,0.00
3.655,20.00,12.20,100.00,0.00
3.675,20.00,12.40,100.00,0.00
3.694,20.00,12.47,100.00,0.00
3.715,20.00,12.47,100.00,0.00
3.753,20.00,12.47,100.00,0.00
3.773,20.00,12.66,100.00,0.00
3.792,20.00,12.79,100.00,0.00
3.812,20.00,12.66,100.00,0.00
3.832,20.00,12.85,100.00,0.00
3.871,20.00,12.85,100.00,0.00
3.890,20.00,12.79,100.00,0.00
3.910,20.00,13.04,100.00,0.00
3.931,20.00,12.99,100.00,0.00
3.970,20.00,13.04,100.00,0.00
3.988,20.00,13.11,100.00,0.00
4.028,20.00,13.11,100.00,0.00
4.047,20.00,13.24,100.00,0.00
4.067,20.00,13.24,100.00,0.00
4.106,20.00,13.50,100.00,0.00
4.126,20.00,13.50,100.00,0.00
4.146,20.00,13.56,100.00,0.00
4.165,20.00,13.63,100.00,0.00
4.204,20.00,13.76,100.00,0.00
4.224,20.00,13.76,100.00,0.00
4.243,20.00,13.95,100.00,0.00
4.263,20.00,13.95,100.00,0.00
4.302,20.00,14.14,100.00,0.00
4.322,20.00,14.08,100.00,0.00
4.341,20.00,14.14,100.00,0.00
4.361,20.00,14.14,100.00,0.00
4.400,20.00,14.34,100.00,0.00
4.421,20.00,14.27,100.00,0.00
4.439,20.00,14.53,100.00,0.00
4.480,20.00,14.34,100.00,0.00
4.498,20.00,14.78,100.00,0.00
4.537,20.00,14.97,100.00,0.00
4.557,20.00,14.97,100.00,0.00
4.578,20.00,14.97,100.00,0.00
4.617,20.00,15.10,100.00,0.00
4.636,20.00,15.23,100.00,0.00
4.655,20.00,15.10,100.00,0.00
4.694,20.00,15.23,100.00,0.00
4.714,20.00,15.16,100.00,0.00
4.734,20.00,15.36,100.00,0.00
4.753,20.00,15.48,100.00,0.00
4.773,20.00,15.55,100.00,0.00
4.812,20.00,15.41,100.00,0.00
4.832,20.00,15.36,100.00,0.00
