Timestamp,Voltage_Out2,Voltage_Out1,Speed_KPH
2024-12-07 14:33:52.973,0.5,1.0,0
2024-12-07 14:33:53.007,0.5,1.0,0
2024-12-07 14:33:53.044,0.5,1.0,0
2024-12-07 14:33:53.083,0.5,1.0,0
2024-12-07 14:33:53.122,0.5,1.0,0
2024-12-07 14:33:53.160,0.5,1.0,0
2024-12-07 14:33:53.195,0.5,1.0,0
2024-12-07 14:33:53.231,0.5,1.0,0
2024-12-07 14:33:53.266,0.5,1.0,0
2024-12-07 14:33:53.301,0.5,1.0,0
2024-12-07 14:33:53.338,0.5,1.0,0
2024-12-07 14:33:53.375,0.5,1.0,0
2024-12-07 14:33:53.413,0.5,1.0,0
2024-12-07 14:33:53.450,0.5,1.0,0
2024-12-07 14:33:53.493,0.5,1.0,0
2024-12-07 14:33:53.530,0.5,1.0,0
2024-12-07 14:33:53.567,0.5,1.0,0
2024-12-07 14:33:53.605,0.5,1.0,0
2024-12-07 14:33:53.644,0.5,1.0,0
2024-12-07 14:33:53.682,0.5,1.0,0
2024-12-07 14:33:53.720,0.5,1.0,0
2024-12-07 14:33:53.754,0.5,1.0,0
2024-12-07 14:33:53.793,0.5,1.0,0
2024-12-07 14:33:53.829,0.5,1.0,0
2024-12-07 14:33:53.870,0.5,1.0,0
2024-12-07 14:33:53.908,0.5,1.0,0
2024-12-07 14:33:53.946,0.5,1.0,0
2024-12-07 14:33:53.987,0.5,1.0,0
2024-12-07 14:33:54.027,0.5,1.0,0
2024-12-07 14:33:54.065,0.5,1.0,0
2024-12-07 14:33:54.103,0.5,1.0,0
2024-12-07 14:33:54.142,0.5,1.0,0
2024-12-07 14:33:54.182,0.5,1.0,0
2024-12-07 14:33:54.217,0.5,1.0,0
2024-12-07 14:33:54.257,0.5,1.0,0
2024-12-07 14:33:54.298,0.5,1.0,0
2024-12-07 14:33:54.334,0.5,1.0,0
2024-12-07 14:33:54.384,0.5,1.0,0
2024-12-07 14:33:54.444,0.5,1.0,0
2024-12-07 14:33:54.507,0.5,1.0,0
2024-12-07 14:33:54.542,0.5,1.0,0
2024-12-07 14:33:54.577,0.5,1.0,0
2024-12-07 14:33:54.599,0.5,1.0,0
2024-12-07 14:33:54.637,0.5,1.0,0
2024-12-07 14:33:54.675,0.5,1.0,0
2024-12-07 14:33:54.719,0.5,1.0,0
2024-12-07 14:33:54.776,0.5,1.0,0
2024-12-07 14:33:54.836,0.5,1.0,0
2024-12-07 14:33:54.873,0.5,1.0,0
2024-12-07 14:33:54.916,0.5,1.0,0
2024-12-07 14:33:54.955,0.5,1.0,0
2024-12-07 14:33:54.994,0.5,1.0,0
2024-12-07 14:33:55.031,0.5,1.0,0
2024-12-07 14:33:55.076,0.5,1.0,0
2024-12-07 14:33:55.114,0.5,1.0,0
2024-12-07 14:33:55.153,0.5,1.0,0
2024-12-07 14:33:55.179,0.5,1.0,0
2024-12-07 14:33:55.242,0.5,1.0,0
2024-12-07 14:33:55.281,0.5,1.0,0
2024-12-07 14:33:55.324,0.5,1.0,0
2024-12-07 14:33:55.361,0.5,1.0,0
2024-12-07 14:33:55.400,0.5,1.0,0
2024-12-07 14:33:55.438,0.5,1.0,0
2024-12-07 14:33:55.488,0.5,1.0,0
2024-12-07 14:33:55.532,0.5,1.0,0
2024-12-07 14:33:55.568,0.5,1.0,0
2024-12-07 14:33:55.607,0.5,1.0,0
2024-12-07 14:33:55.643,0.5,1.0,0
2024-12-07 14:33:55.700,0.5,1.0,0
2024-12-07 14:33:55.742,0.5,1.0,0
2024-12-07 14:33:55.781,0.5,1.0,0
2024-12-07 14:33:55.818,0.5,1.0,0
2024-12-07 14:33:55.949,0.5,1.0,0
2024-12-07 14:33:55.983,0.5,1.0,0
2024-12-07 14:33:56.020,0.5,1.0,0
2024-12-07 14:33:56.075,0.5,1.0,0
2024-12-07 14:33:56.112,0.5,1.0,0
2024-12-07 14:33:56.150,0.5,1.0,0
2024-12-07 14:33:56.174,0.5,1.0,0
2024-12-07 14:33:56.213,0.5,1.0,0
2024-12-07 14:33:56.272,0.5,1.0,0
2024-12-07 14:33:56.314,0.5,1.0,0
2024-12-07 14:33:56.372,0.5,1.0,0
2024-12-07 14:33:56.409,0.5,1.0,0
2024-12-07 14:33:56.445,0.5,1.0,0
2024-12-07 14:33:56.486,0.5,1.0,0
2024-12-07 14:33:56.523,0.5,1.0,0
2024-12-07 14:33:56.585,0.5,1.0,0
2024-12-07 14:33:56.623,0.5,1.0,0
2024-12-07 14:33:56.668,0.5,1.0,0
2024-12-07 14:33:56.711,0.5,1.0,0
2024-12-07 14:33:56.771,0.5,1.0,0
2024-12-07 14:33:56.813,0.5,1.0,0
2024-12-07 14:33:56.855,0.5,1.0,0
2024-12-07 14:33:56.897,0.5,1.0,0
2024-12-07 14:33:56.932,0.5,1.0,0
2024-12-07 14:33:56.986,0.5,1.0,0
2024-12-07 14:33:57.024,0.5,1.0,0
2024-12-07 14:33:57.047,0.5,1.0,0
2024-12-07 14:33:57.090,0.5,1.0,0
2024-12-07 14:33:57.131,0.5,1.0,0
2024-12-07 14:33:57.171,0.5,1.0,0
2024-12-07 14:33:57.218,0.5,1.0,0
2024-12-07 14:33:57.257,0.5,1.0,0
2024-12-07 14:33:57.297,0.5,1.0,0
2024-12-07 14:33:57.343,0.5,1.0,0
2024-12-07 14:33:57.379,0.5,1.0,0
2024-12-07 14:33:57.439,0.5,1.0,0
