time,voltage_out1,voltage_out2,speed_kph,acceleration
5.009,1.0,0.5,0.0,0.0
5.048,1.0,0.5,0.0,0.0
5.092,1.0,0.5,0.0,0.0
5.133,1.0,0.5,0.0,0.0
5.172,1.0,0.5,0.0,0.0
5.193,1.0,0.5,0.0,0.0
5.233,1.0,0.5,0.0,0.0
5.27,1.0,0.5,0.0,0.0
5.307,1.0,0.5,0.0,0.0
5.347,1.0,0.5,0.0,0.0
5.386,1.0,0.5,0.0,0.0
5.429,1.0,0.5,0.0,0.0
5.466,1.0,0.5,0.0,0.0
5.507,1.0,0.5,0.0,0.0
5.545,1.0,0.5,0.0,0.0
5.588,1.0,0.5,0.0,0.0
5.628,1.0,0.5,0.0,0.0
5.671,1.0,0.5,0.0,0.0
5.707,1.0,0.5,0.0,0.0
5.748,1.0,0.5,0.0,0.0
5.789,1.0,0.5,0.0,0.0
5.826,1.0,0.5,0.0,0.0
5.85,1.0,0.5,0.0,0.0
5.89,1.0,0.5,0.0,0.0
5.929,1.0,0.5,0.0,0.0
5.97,1.0,0.5,0.0,0.0
6.007,1.0,0.5,0.0,0.0
6.05,1.0,0.5,0.0,0.0
6.093,1.0,0.5,0.0,0.0
6.134,1.0,0.5,0.0,0.0
6.173,1.0,0.5,0.0,0.0
6.214,1.0,0.5,0.0,0.0
6.251,1.0,0.5,0.0,0.0
6.29,1.0,0.5,0.0,0.0
6.329,1.0,0.5,0.0,0.0
6.368,1.0,0.5,0.0,0.0
6.407,1.0,0.5,0.0,0.0
6.444,1.0,0.5,0.0,0.0
6.484,1.0,0.5,0.0,0.0
6.523,1.0,0.5,0.0,0.0
6.565,1.0,0.5,0.0,0.0
6.608,1.0,0.5,0.0,0.0
6.648,1.0,0.5,0.0,0.0
6.686,1.0,0.5,0.0,0.0
6.727,1.0,0.5,0.0,0.0
6.765,1.0,0.5,0.0,0.0
6.805,1.0,0.5,0.0,0.0
6.83,1.0,0.5,0.0,0.0
6.875,1.0,0.5,0.0,0.0
6.915,1.0,0.5,0.0,0.0
6.959,1.0,0.5,0.0,0.0
6.998,1.0,0.5,0.0,0.0
7.044,1.0,0.5,0.0,0.0
7.084,1.0,0.5,0.0,0.0
7.124,1.0,0.5,0.0,0.0
7.165,1.0,0.5,0.0,0.0
7.207,1.0,0.5,0.0,0.0
7.248,1.0,0.5,0.0,0.0
7.288,1.0,0.5,0.0,0.0
7.324,1.0,0.5,0.0,0.0
7.366,1.0,0.5,0.0,0.0
7.406,1.0,0.5,0.0,0.0
7.448,1.0,0.5,0.0,0.0
7.484,1.0,0.5,0.0,0.0
7.521,1.0,0.5,0.0,0.0
7.545,1.0,0.5,0.0,0.0
7.581,1.0,0.5,0.0,0.0
7.605,1.0,0.5,0.0,0.0
7.639,1.0,0.5,0.0,0.0
7.663,1.0,0.5,0.0,0.0
7.696,1.0,0.5,0.0,0.0
7.734,1.0,0.5,0.0,0.0
7.774,1.0,0.5,0.0,0.0
7.815,1.0,0.5,0.0,0.0
7.857,1.0,0.5,0.0,0.0
7.898,1.0,0.5,0.0,0.0
7.938,1.0,0.5,0.0,0.0
7.977,1.0,0.5,0.0,0.0
8.015,1.0,0.5,0.0,0.0
8.056,1.0,0.5,0.0,0.0
8.095,1.0,0.5,0.0,0.0
8.133,1.0,0.5,0.0,0.0
8.172,1.0,0.5,0.0,0.0
8.211,1.0,0.5,0.0,0.0
8.249,1.0,0.5,0.0,0.0
8.275,1.0,0.5,0.0,0.0
8.311,1.0,0.5,0.0,0.0
8.333,1.0,0.5,0.0,0.0
8.368,1.0,0.5,0.0,0.0
8.391,1.0,0.5,0.0,0.0
8.43,1.0,0.5,0.0,0.0
8.467,1.0,0.5,0.0,0.0
8.488,1.0,0.5,0.0,0.0
8.526,1.0,0.5,0.0,0.0
8.55,1.0,0.5,0.0,0.0
8.587,1.0,0.5,0.0,0.0
8.61,1.0,0.5,0.0,0.0
8.648,1.0,0.5,0.0,0.0
8.671,1.0,0.5,0.0,0.0
8.707,1.0,0.5,0.0,0.0
8.731,1.0,0.5,0.0,0.0
8.766,1.0,0.5,0.0,0.0
8.789,1.0,0.5,0.0,0.0
8.827,1.0,0.5,0.0,0.0
8.85,1.0,0.5,0.0,0.0
8.89,1.0,0.5,0.0,0.0
8.93,1.0,0.5,0.0,0.0
8.969,1.0,0.5,0.0,0.0
9.007,1.0,0.5,0.0,0.0
9.049,1.0,0.5,0.0,0.0
9.071,1.0,0.5,0.0,0.0
9.113,1.0,0.5,0.0,0.0
9.159,1.0,0.5,0.0,0.0
9.201,1.0,0.5,0.0,0.0
9.239,1.0,0.5,0.0,0.0
9.283,1.0,0.5,0.0,0.0
9.321,1.0,0.5,0.0,0.0
9.367,1.0,0.5,0.0,0.0
9.404,1.1,0.55,0.0,0.0
9.444,1.1,0.55,0.0,0.0
9.481,1.1,0.55,0.0,0.0
9.521,1.1,0.55,0.0,0.0
9.565,1.1,0.55,0.0,0.0
9.606,1.1,0.55,0.0,0.0
9.646,1.1,0.55,0.0,0.0
9.691,1.1,0.55,0.0,0.0
9.728,1.1,0.55,0.0,0.0
9.765,1.1,0.55,0.0,0.0
9.788,1.1,0.55,0.0,0.0
9.822,1.1,0.55,0.0,0.0
9.858,1.1,0.55,0.0,0.0
9.893,1.1,0.55,0.0,0.0
9.929,1.1,0.55,0.0,0.0
9.967,1.1,0.55,0.0,0.0
10.007,1.1,0.55,0.0,0.0
10.048,1.1,0.55,0.0,0.0
10.093,1.1,0.55,0.0,0.0
10.131,1.1,0.55,0.0,0.0
10.17,1.1,0.55,0.0,0.0
10.209,1.1,0.55,0.0,0.0
10.248,1.1,0.55,0.0,0.0
10.289,1.1,0.55,0.0,0.0
10.327,1.1,0.55,0.0,0.0
10.372,1.1,0.55,0.0,0.0
10.414,1.1,0.55,0.0,0.0
10.456,1.1,0.55,0.0,0.0
10.481,1.1,0.55,0.0,0.0
10.516,1.1,0.55,0.0,0.0
10.539,1.1,0.55,0.0,0.0
10.581,1.1,0.55,0.0,0.0
10.619,1.1,0.55,0.0,0.0
10.659,1.1,0.55,0.0,0.0
10.695,1.1,0.55,0.0,0.0
10.734,1.1,0.55,0.0,0.0
10.778,1.1,0.55,0.0,0.0
10.819,1.1,0.55,0.0,0.0
10.861,1.1,0.55,0.0,0.0
10.902,1.1,0.55,0.0,0.0
10.941,1.1,0.55,0.0,0.0
10.984,1.1,0.55,0.0,0.0
11.018,1.1,0.55,0.0,0.0
11.052,1.1,0.55,0.0,0.0
11.076,1.1,0.55,0.0,0.0
11.112,1.1,0.55,0.0,0.0
11.134,1.1,0.55,0.0,0.0
11.174,1.1,0.55,0.0,0.0
11.2,1.1,0.55,0.0,0.0
11.235,1.1,0.55,0.0,0.0
11.279,1.1,0.55,0.0,0.0
11.305,1.1,0.55,0.0,0.0
11.339,1.1,0.55,0.0,0.0
11.363,1.1,0.55,0.0,0.0
11.401,1.1,0.55,0.0,0.0
11.437,1.1,0.55,0.0,0.0
11.462,1.1,0.55,0.0,0.0
11.499,1.1,0.55,0.0,0.0
11.521,1.1,0.55,0.0,0.0
11.559,1.1,0.55,0.0,0.0
11.583,1.1,0.55,0.0,3.9610526800000527
11.618,1.1,0.55,0.0,8.298472030769338
11.657,1.1,0.55,0.0,8.855113760513282
11.693,1.1,0.55,1.3711336200000002,9.724595726962727
11.732,1.1,0.55,1.52403258,10.76345256900279
11.77,1.1,0.55,1.58768608,7.4202878864526465
11.795,1.1,0.55,1.7403239200000002,3.6880646279910416
11.831,1.1,0.55,1.88008002,3.899405780118438
11.856,1.1,0.55,1.94355432,3.7751880779425044
11.896,1.1,0.55,2.09576208,3.434745619791774
11.932,1.1,0.55,2.23512394,3.378091713250955
11.971,1.1,0.55,2.37433092,2.90973977348565
11.993,1.1,0.55,2.45019672,2.501393721335657
12.029,1.1,0.55,2.51338302,2.1506277328576937
12.052,1.1,0.55,2.51338302,1.5901155756890026
12.086,1.1,0.55,2.66489958,1.370193413304925
12.113,1.1,0.55,2.66489958,1.7637434846431617
12.151,1.1,0.55,2.72797708,1.9267105311895747
12.194,1.1,0.55,2.8036278400000003,1.6854829247652177
12.218,1.1,0.55,2.87923252,1.8845019962189966
12.252,1.1,0.55,2.94220122,1.8717375909137843
12.276,1.1,0.55,2.94220122,1.6993395775594748
12.31,1.1,0.55,3.08061972,1.5252817012916906
12.333,1.1,0.55,3.08061972,1.3720110319205019
12.367,1.1,0.55,3.23144508,1.3645698686786176
12.389,1.1,0.55,3.23144508,1.5287573832183212
12.424,1.1,0.55,3.23144508,1.5588714011794125
12.447,1.1,0.55,3.29423458,1.546763888984313
12.484,1.1,0.55,3.36953974,1.899178431159457
12.525,1.1,0.55,3.4447988199999995,1.9407974640789818
12.566,1.1,0.55,3.507479520000001,1.5762121631615713
