Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.022,20.00,17.17,19.69,0.00
0.042,20.00,17.17,19.92,0.00
0.062,20.00,17.36,19.87,0.00
0.081,20.00,17.11,20.45,0.00
0.121,20.00,16.92,20.96,0.00
0.140,20.00,17.11,20.93,0.00
0.160,20.00,17.17,21.06,0.00
0.179,20.00,17.05,21.47,0.00
0.219,20.00,17.05,21.71,0.00
0.238,20.00,17.05,21.94,0.00
0.258,20.00,17.05,22.18,0.00
0.278,20.00,16.99,22.51,0.00
0.317,20.00,16.92,22.85,0.00
0.336,20.00,16.92,23.09,0.00
0.357,20.00,17.05,23.15,0.00
0.395,20.00,17.17,23.20,0.00
0.415,20.00,17.48,22.97,0.00
0.435,20.00,17.42,23.27,0.00
0.454,20.00,17.55,23.28,0.00
0.493,20.00,17.55,23.48,0.00
0.513,20.00,17.42,23.87,0.00
0.533,20.00,17.55,23.88,0.00
0.552,20.00,17.55,24.08,0.00
0.572,20.00,17.29,24.65,0.00
0.611,20.00,17.48,24.59,0.00
0.631,20.00,17.67,24.51,0.00
0.650,20.00,17.60,24.80,0.00
0.670,20.00,17.48,25.17,0.00
0.709,20.00,17.60,25.19,0.00
0.729,20.00,17.67,25.28,0.00
0.748,20.00,17.60,25.57,0.00
0.768,20.00,17.60,25.76,0.00
0.807,20.00,17.60,25.95,0.00
0.827,20.00,17.55,26.22,0.00
0.846,20.00,17.60,26.34,0.00
0.867,20.00,17.55,26.61,0.00
0.906,20.00,17.67,26.63,0.00
0.925,20.00,17.67,26.82,0.00
0.945,20.00,17.67,27.00,0.00
0.965,20.00,17.67,27.19,0.00
1.003,20.00,17.67,27.37,0.00
1.023,20.00,17.67,27.56,0.00
1.043,20.00,17.79,27.57,0.00
1.062,20.00,17.67,27.92,0.00
1.082,20.00,17.67,28.11,0.00
1.122,20.00,17.79,28.12,0.00
1.141,20.00,17.79,28.29,0.00
1.160,20.00,17.74,28.55,0.00
1.200,20.00,17.79,28.65,0.00
1.219,20.00,17.74,28.91,0.00
1.239,20.00,17.67,29.19,0.00
1.278,20.00,17.67,29.37,0.00
1.298,20.00,17.74,29.46,0.00
1.317,20.00,17.67,29.74,0.00
1.337,20.00,17.67,29.93,0.00
1.357,20.00,17.67,30.11,0.00
1.396,20.00,17.79,30.12,0.00
1.415,20.00,17.74,30.38,0.00
1.435,20.00,17.74,30.56,0.00
1.455,20.00,17.79,30.66,0.00
1.494,20.00,17.86,30.74,0.00
1.514,20.00,17.86,30.91,0.00
1.533,20.00,17.91,31.00,0.00
1.572,20.00,17.86,31.25,0.00
1.592,20.00,17.79,31.52,0.00
1.612,20.00,17.91,31.52,0.00
1.631,20.00,17.86,31.77,0.00
1.651,20.00,17.91,31.86,0.00
1.690,20.00,17.74,32.28,0.00
1.710,20.00,17.91,32.20,0.00
1.730,20.00,17.86,32.45,0.00
1.749,20.00,17.86,32.62,0.00
1.788,20.00,17.86,32.79,0.00
1.808,20.00,17.86,32.97,0.00
1.828,20.00,17.86,33.14,0.00
1.847,20.00,17.91,33.23,0.00
1.867,20.00,17.86,33.48,0.00
1.906,20.00,17.86,33.65,0.00
1.926,20.00,17.79,33.92,0.00
1.946,20.00,17.86,34.00,0.00
1.966,20.00,17.79,34.26,0.00
2.005,20.00,17.79,34.44,0.00
2.024,20.00,17.86,34.52,0.00
2.044,20.00,17.79,34.79,0.00
2.064,20.00,17.86,34.87,0.00
2.084,20.00,17.91,34.96,0.00
2.122,20.00,17.86,35.21,0.00
