Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.027,20.00,13.31,100.00,0.00
0.046,20.00,13.31,100.00,0.00
0.066,20.00,13.11,100.00,0.00
0.106,20.00,12.99,100.00,0.00
0.125,20.00,13.11,100.00,0.00
0.144,20.00,13.11,100.00,0.00
0.184,20.00,13.37,100.00,0.00
0.203,20.00,13.24,100.00,0.00
0.223,20.00,13.31,100.00,0.00
0.243,20.00,13.31,100.00,0.00
0.283,20.00,13.24,100.00,0.00
0.301,20.00,13.43,100.00,0.00
0.342,20.00,13.50,100.00,0.00
0.360,20.00,13.50,100.00,0.00
0.400,20.00,13.43,100.00,0.00
0.419,20.00,26.26,0.00,0.00
0.439,20.00,26.37,0.00,0.00
0.478,20.00,26.43,0.00,0.00
0.517,20.00,26.43,0.00,0.00
0.538,20.00,26.43,0.00,0.00
0.557,20.00,26.54,0.00,0.00
0.596,20.00,26.60,0.00,0.00
0.615,20.00,26.66,0.00,0.00
0.635,20.00,26.66,0.00,0.00
0.655,20.00,26.71,0.00,0.00
0.694,20.00,26.71,0.00,0.00
0.714,20.00,26.66,0.00,0.00
0.733,20.00,26.82,0.00,0.00
0.753,20.00,26.82,0.00,0.00
0.792,20.00,26.88,0.00,0.00
0.812,20.00,26.94,0.00,0.00
0.831,20.00,26.98,0.00,0.00
0.851,20.00,27.04,0.00,0.00
0.890,20.00,27.04,0.00,0.00
0.910,20.00,27.10,0.00,0.00
0.929,20.00,27.15,0.00,0.00
0.949,20.00,27.21,0.00,0.00
0.969,20.00,27.21,0.00,0.00
1.008,20.00,27.26,0.00,0.00
1.028,20.00,27.21,0.00,0.00
1.047,20.00,27.21,0.00,0.00
1.067,20.00,27.32,0.00,0.00
1.106,20.00,27.32,0.00,0.00
1.126,20.00,27.43,0.00,0.00
1.145,20.00,27.32,0.00,0.00
1.165,20.00,27.49,0.00,0.00
1.204,20.00,27.49,0.00,0.00
1.224,20.00,27.38,0.00,0.00
1.243,20.00,27.43,0.00,0.00
1.263,20.00,27.49,0.00,0.00
1.283,20.00,27.54,0.00,0.00
1.322,20.00,27.59,0.00,0.00
1.341,20.00,27.59,0.00,0.00
1.361,20.00,27.59,0.00,0.00
1.381,20.00,27.70,0.00,0.00
1.420,20.00,27.70,0.00,0.00
1.440,20.00,27.59,0.00,0.00
1.459,20.00,27.76,0.00,0.00
1.479,20.00,27.76,0.00,0.00
1.498,20.00,27.70,0.00,0.00
1.538,20.00,27.76,0.00,0.00
1.557,20.00,27.76,0.00,0.00
1.577,20.00,27.76,0.00,0.00
1.616,20.00,27.82,0.00,0.00
1.636,20.00,27.82,0.00,0.00
1.655,20.00,27.82,0.00,0.00
1.675,20.00,27.82,0.00,0.00
1.695,20.00,27.82,0.00,0.00
1.734,20.00,27.82,0.00,0.00
1.753,20.00,27.82,0.00,0.00
1.773,20.00,27.87,0.00,0.00
1.793,20.00,27.82,0.00,0.00
1.832,20.00,27.76,0.00,0.00
1.851,20.00,27.87,0.00,0.00
1.871,20.00,27.76,0.00,0.00
1.891,20.00,27.82,0.00,0.00
1.930,20.00,27.87,0.00,0.00
1.949,20.00,27.76,0.00,0.00
1.969,20.00,27.76,0.00,0.00
1.990,20.00,27.82,0.00,0.00
2.008,20.00,27.87,0.00,0.00
2.048,20.00,27.82,0.00,0.00
2.067,20.00,27.82,0.00,0.00
2.087,20.00,27.82,0.00,0.00
2.108,20.00,27.87,0.00,0.00
2.146,20.00,27.76,0.00,0.00
2.166,20.00,27.82,0.00,0.00
2.185,20.00,27.70,0.00,0.00
2.225,20.00,27.70,0.00,0.00
2.244,20.00,27.82,0.00,0.00
2.263,20.00,27.70,0.00,0.00
2.303,20.00,27.76,0.00,0.00
2.323,20.00,27.76,0.00,0.00
2.342,20.00,27.70,0.00,0.00
2.362,20.00,27.59,0.00,0.00
2.402,20.00,27.70,0.00,0.00
2.420,20.00,27.65,0.00,0.00
2.440,20.00,27.54,0.00,0.00
2.480,20.00,27.49,0.00,0.00
2.499,20.00,27.54,0.00,0.00
2.518,20.00,27.54,0.00,0.00
2.558,20.00,27.54,0.00,0.00
2.577,20.00,27.54,0.00,0.00
2.597,20.00,27.54,0.00,0.00
2.616,20.00,27.43,0.00,0.00
2.656,20.00,27.49,0.00,0.00
2.676,20.00,27.59,0.00,0.00
2.696,20.00,27.49,0.00,0.00
2.715,20.00,27.43,0.00,0.00
2.754,20.00,27.49,0.00,0.00
2.773,20.00,27.59,0.00,0.00
2.794,20.00,27.49,0.00,0.00
2.832,20.00,27.54,0.00,0.00
2.852,20.00,27.43,0.00,0.00
2.871,20.00,27.54,0.00,0.00
2.891,20.00,27.59,0.00,0.00
2.911,20.00,27.49,0.00,0.00
2.950,20.00,27.49,0.00,0.00
2.970,20.00,27.54,0.00,0.00
2.989,20.00,27.54,0.00,0.00
3.009,20.00,27.49,0.00,0.00
3.048,20.00,27.54,0.00,0.00
3.068,20.00,27.59,0.00,0.00
3.087,20.00,27.59,0.00,0.00
3.107,20.00,27.59,0.00,0.00
3.128,20.00,27.59,0.00,0.00
3.166,20.00,27.59,0.00,0.00
3.186,20.00,27.59,0.00,0.00
3.206,20.00,27.54,0.00,0.00
3.225,20.00,27.49,0.00,0.00
3.264,20.00,27.49,0.00,0.00
3.285,20.00,27.49,0.00,0.00
3.304,20.00,27.59,0.00,0.00
3.342,20.00,27.54,0.00,0.00
3.362,20.00,27.54,0.00,0.00
3.382,20.00,27.59,0.00,0.00
3.401,20.00,27.59,0.00,0.00
3.442,20.00,27.54,0.00,0.00
3.460,20.00,27.54,0.00,0.00
3.499,20.00,27.65,0.00,0.00
3.519,20.00,27.65,0.00,0.00
3.539,20.00,27.65,0.00,0.00
3.558,20.00,27.65,0.00,0.00
3.598,20.00,27.65,0.00,0.00
3.617,20.00,27.65,0.00,0.00
3.637,20.00,27.65,0.00,0.00
3.676,20.00,27.65,0.00,0.00
3.697,20.00,27.59,0.00,0.00
3.715,20.00,27.54,0.00,0.00
3.735,20.00,27.43,0.00,0.00
3.774,20.00,27.43,0.00,0.00
3.794,20.00,27.49,0.00,0.00
3.813,20.00,27.54,0.00,0.00
3.833,20.00,27.54,0.00,0.00
3.853,20.00,27.49,0.00,0.00
3.892,20.00,27.49,0.00,0.00
3.912,20.00,27.54,0.00,0.00
3.931,20.00,27.54,0.00,0.00
3.951,20.00,27.43,0.00,0.00
3.990,20.00,27.43,0.00,0.00
4.010,20.00,27.43,0.00,0.00
4.029,20.00,27.43,0.00,0.00
4.049,20.00,27.43,0.00,0.00
4.069,20.00,27.49,0.00,0.00
4.108,20.00,27.54,0.00,0.00
4.128,20.00,27.43,0.00,0.00
4.147,20.00,27.32,0.00,0.00
4.167,20.00,27.43,0.00,0.00
4.187,20.00,27.38,0.00,0.00
4.226,20.00,27.38,0.00,0.00
4.246,20.00,27.43,0.00,0.16
4.265,20.00,27.21,0.00,0.00
4.305,20.00,27.21,0.00,0.00
4.324,20.00,27.21,0.00,0.00
4.343,20.00,27.21,0.00,0.00
4.383,20.00,27.04,0.00,0.00
4.402,20.00,27.10,0.00,0.00
4.423,20.00,26.88,0.00,0.00
4.441,20.00,27.04,0.00,0.00
4.481,20.00,27.04,0.00,0.00
4.500,20.00,26.94,0.00,0.00
4.520,20.00,26.94,0.00,0.00
4.540,20.00,26.94,0.00,0.00
4.579,20.00,26.98,0.00,0.00
4.598,20.00,26.77,0.00,0.00
4.618,20.00,26.82,0.00,0.00
4.657,20.00,26.71,0.00,0.00
4.677,20.00,26.54,0.00,0.00
4.697,20.00,26.60,0.00,0.00
4.717,20.00,26.66,0.00,0.00
4.755,20.00,26.71,0.00,0.00
4.776,20.00,26.54,0.00,0.00
4.796,20.00,26.54,0.00,0.00
4.815,20.00,26.60,0.00,0.00
4.854,20.00,26.49,0.00,0.00
4.874,20.00,26.49,0.00,0.00
4.893,20.00,26.54,0.00,0.00
4.932,20.00,26.54,0.00,0.00
4.952,20.00,26.37,0.00,0.00
4.971,20.00,26.43,0.00,0.00
4.991,20.00,26.37,0.00,0.00
5.030,20.00,26.43,0.00,0.00
5.050,20.00,26.43,0.00,0.00
5.069,20.00,26.32,0.00,0.00
5.089,20.00,26.37,0.00,0.00
5.129,20.00,26.37,0.00,0.00
5.149,20.00,26.32,0.00,0.00
5.167,20.00,26.26,0.00,0.00
5.207,20.00,26.32,0.00,0.00
5.227,20.00,26.32,0.00,0.00
5.247,20.00,26.15,0.00,0.00
5.285,20.00,26.09,0.00,0.00
5.305,20.00,26.21,0.00,0.00
5.325,20.00,26.15,0.00,0.00
5.344,20.00,26.04,0.00,0.00
5.384,20.00,25.98,0.00,0.00
5.403,20.00,25.92,0.00,0.00
5.423,20.00,25.92,0.00,0.00
5.443,20.00,25.92,0.00,0.00
5.481,20.00,25.76,0.00,0.00
5.501,20.00,25.70,0.00,0.00
5.520,20.00,25.70,0.00,0.00
5.541,20.00,25.64,0.00,0.00
5.579,20.00,25.64,0.00,0.00
5.600,20.00,25.47,0.00,0.00
5.618,20.00,25.53,0.00,0.00
5.658,20.00,25.36,0.00,0.00
5.677,20.00,25.42,0.00,0.00
5.697,20.00,25.47,0.00,0.00
5.716,20.00,25.42,0.00,0.00
5.736,20.00,25.31,0.00,0.00
5.775,20.00,25.36,0.00,0.00
5.795,20.00,25.31,0.00,0.00
5.816,20.00,25.19,0.00,0.00
5.834,20.00,25.31,0.00,0.00
5.855,20.00,25.25,0.00,0.00
5.893,20.00,25.14,0.00,0.00
5.913,20.00,25.19,0.00,0.00
5.933,20.00,25.14,0.00,0.00
5.952,20.00,25.08,0.00,0.00
5.972,20.00,25.02,0.00,0.00
6.011,20.00,25.02,0.00,0.00
6.030,20.00,25.14,0.00,0.00
6.050,20.00,25.14,0.00,0.00
6.070,20.00,24.97,0.00,0.00
6.109,20.00,25.02,0.00,0.00
6.130,20.00,25.02,0.00,0.00
6.148,20.00,24.86,0.00,0.00
6.187,20.00,24.97,0.00,0.00
6.207,20.00,25.02,0.00,0.00
6.227,20.00,24.86,0.00,0.00
6.246,20.00,24.74,0.00,0.00
6.286,20.00,24.86,0.00,0.00
6.305,20.00,24.80,0.00,0.00
6.325,20.00,24.91,0.00,0.00
6.364,20.00,24.80,0.00,0.00
6.385,20.00,24.74,0.00,0.00
6.403,20.00,24.74,0.00,0.00
6.423,20.00,24.51,0.00,0.00
6.463,20.00,24.62,0.00,0.00
6.482,20.00,24.51,0.00,0.00
6.501,20.00,24.56,0.00,0.00
6.541,20.00,24.51,0.00,0.00
6.561,20.00,24.51,0.00,0.00
6.580,20.00,24.40,0.00,0.00
6.619,20.00,24.45,0.00,0.00
6.639,20.00,24.34,0.00,0.00
6.658,20.00,24.28,0.00,0.00
6.678,20.00,24.28,0.00,0.00
6.697,20.00,24.28,0.00,0.00
6.737,20.00,24.23,0.00,0.00
6.756,20.00,24.17,0.00,0.00
6.776,20.00,24.17,0.00,0.00
6.815,20.00,24.17,0.00,0.00
6.835,20.00,24.17,0.00,0.00
6.855,20.00,24.11,0.00,0.00
6.874,20.00,24.05,0.00,0.00
6.913,20.00,23.99,0.00,0.00
6.933,20.00,23.88,0.00,0.00
6.952,20.00,23.88,0.00,0.00
6.972,20.00,23.82,0.00,0.00
7.011,20.00,23.82,0.00,0.00
7.031,20.00,23.94,0.00,0.00
7.050,20.00,23.88,0.00,0.00
7.071,20.00,23.82,0.00,0.00
7.109,20.00,23.82,0.00,0.00
7.130,20.00,23.77,0.00,0.00
7.148,20.00,23.71,0.00,0.00
7.169,20.00,23.77,0.00,0.00
7.207,20.00,23.71,0.00,0.00
7.227,20.00,23.64,0.00,0.00
7.247,20.00,23.59,0.00,0.00
7.266,20.00,23.48,0.00,0.00
7.305,20.00,23.48,0.00,0.00
7.325,20.00,23.48,0.00,0.00
7.346,20.00,23.53,0.00,0.00
7.364,20.00,23.42,0.00,0.00
7.404,20.00,23.42,0.00,0.00
7.423,20.00,23.30,0.00,0.00
7.444,20.00,23.36,0.00,0.00
7.482,20.00,23.48,0.00,0.00
7.501,20.00,23.18,0.00,0.00
7.521,20.00,23.30,0.00,0.00
7.541,20.00,23.24,0.00,0.00
7.580,20.00,23.36,0.00,0.00
7.600,20.00,23.24,0.00,0.00
7.619,20.00,23.18,0.00,0.00
7.639,20.00,23.30,0.00,0.00
7.678,20.00,23.13,0.00,0.00
7.699,20.00,23.24,0.00,0.00
7.717,20.00,23.18,0.00,0.00
7.737,20.00,23.18,0.00,0.00
7.776,20.00,23.24,0.00,0.00
7.796,20.00,23.13,0.00,0.00
7.815,20.00,23.02,0.00,0.00
7.835,20.00,23.07,0.00,0.00
7.855,20.00,23.07,0.00,0.00
7.894,20.00,23.02,0.00,0.00
7.913,20.00,23.02,0.00,0.00
7.933,20.00,22.89,0.00,0.00
7.954,20.00,22.95,0.00,0.00
7.992,20.00,23.02,0.00,0.00
8.012,20.00,22.95,0.00,0.00
8.031,20.00,22.95,0.00,0.00
8.051,20.00,22.95,0.00,0.00
8.090,20.00,22.89,0.00,0.00
8.110,20.00,22.71,0.00,0.00
8.129,20.00,22.78,0.00,0.00
8.149,20.00,22.89,0.00,0.00
8.188,20.00,22.78,0.00,0.00
8.209,20.00,22.84,0.00,0.00
8.228,20.00,22.89,0.00,0.00
8.267,20.00,22.66,0.00,0.00
8.286,20.00,22.55,0.00,0.00
8.306,20.00,23.02,0.00,0.00
8.345,20.00,23.02,0.00,0.00
8.366,20.00,22.60,0.00,0.00
8.404,20.00,22.78,0.00,0.00
8.423,20.00,22.89,0.00,0.00
8.443,20.00,22.84,0.00,0.00
8.482,20.00,22.49,0.00,0.00
8.502,20.00,23.07,0.00,0.00
8.522,20.00,22.49,0.00,0.00
8.542,20.00,22.60,0.00,0.00
8.562,20.00,22.71,0.00,0.00
8.601,20.00,22.49,0.00,0.00
8.620,20.00,22.71,0.00,0.00
8.659,20.00,22.84,0.00,0.00
8.678,20.00,22.78,0.00,0.00
8.698,20.00,22.60,0.00,0.00
8.737,20.00,22.66,0.00,0.00
8.757,20.00,22.49,0.00,0.00
8.776,20.00,22.49,0.00,0.00
8.796,20.00,22.55,0.00,0.00
8.816,20.00,22.66,0.00,0.00
8.856,20.00,22.55,0.00,0.00
8.874,20.00,22.31,0.00,0.00
8.894,20.00,22.49,0.00,0.00
8.933,20.00,22.49,0.00,0.00
8.953,20.00,22.42,0.00,0.00
8.973,20.00,22.49,0.00,0.00
8.992,20.00,22.42,0.00,0.00
9.031,20.00,22.37,0.00,0.00
9.051,20.00,22.37,0.00,0.00
9.071,20.00,22.31,0.00,0.00
9.090,20.00,22.31,0.00,0.00
9.110,20.00,22.19,0.00,0.00
9.150,20.00,22.31,0.00,0.00
9.170,20.00,22.31,0.00,0.00
9.208,20.00,22.19,0.00,0.00
9.229,20.00,22.31,0.00,0.00
9.247,20.00,22.25,0.00,0.00
9.286,20.00,22.25,0.00,0.00
9.306,20.00,22.31,0.00,0.00
9.326,20.00,22.31,0.00,0.00
9.345,20.00,22.25,0.00,0.00
9.384,20.00,22.31,0.00,0.00
9.404,20.00,22.25,0.00,0.00
9.425,20.00,22.13,0.00,0.00
9.444,20.00,22.13,0.00,0.00
9.464,20.00,22.25,0.00,0.00
9.502,20.00,22.25,0.00,0.00
9.522,20.00,22.25,0.00,0.00
9.541,20.00,22.13,0.00,0.00
9.562,20.00,22.19,0.00,0.00
9.601,20.00,22.19,0.00,0.00
9.620,20.00,22.19,0.00,0.00
9.640,20.00,22.19,0.00,0.00
9.680,20.00,22.13,0.00,0.00
9.698,20.00,21.95,0.00,0.00
9.738,20.00,22.02,0.00,0.00
9.757,20.00,22.08,0.00,0.00
9.777,20.00,22.08,0.00,0.00
9.816,20.00,21.95,0.00,0.00
9.837,20.00,21.90,0.00,0.00
9.855,20.00,21.95,0.00,0.00
9.895,20.00,21.90,0.00,0.00
9.914,20.00,21.90,0.00,0.00
9.934,20.00,22.08,0.00,0.00
9.973,20.00,21.90,0.00,0.00
9.993,20.00,21.77,0.00,0.00
10.012,20.00,22.02,0.00,0.00
10.032,20.00,21.72,0.00,0.00
10.071,20.00,21.72,0.00,0.00
10.091,20.00,21.84,0.00,0.00
10.110,20.00,21.77,0.00,0.00
10.130,20.00,21.61,0.00,0.00
10.169,20.00,21.72,0.00,0.00
10.189,20.00,21.72,0.00,0.00
10.208,20.00,21.61,0.00,0.00
