Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.019,15.00,15.23,0.00,0.00
0.039,15.00,15.23,0.00,0.00
0.078,15.00,15.16,0.00,0.00
0.099,15.00,15.16,0.00,0.00
0.117,15.00,15.16,0.00,0.00
0.156,15.00,15.10,0.00,0.00
0.176,15.00,15.10,0.00,0.00
0.197,15.00,15.23,0.00,0.00
0.215,15.00,15.10,0.00,0.00
0.255,15.00,15.04,0.00,0.00
0.274,15.00,14.97,0.00,0.00
0.294,15.00,14.78,0.00,0.00
0.314,15.00,14.59,0.00,0.00
0.353,15.00,14.78,0.00,0.00
0.373,15.00,14.97,0.00,0.00
0.392,15.00,14.72,0.00,0.00
0.412,15.00,14.46,0.79,0.00
0.451,15.00,14.72,0.00,0.00
0.470,15.00,15.16,0.00,0.00
0.490,15.00,8.35,9.79,0.00
0.511,15.00,8.35,10.32,0.00
0.549,15.00,8.35,10.86,0.00
0.569,15.00,8.35,11.39,0.00
0.588,15.00,8.35,11.92,0.00
0.608,15.00,8.35,12.45,0.00
0.647,15.00,8.27,13.09,0.00
0.667,15.00,8.27,13.63,0.00
0.686,15.00,8.35,14.06,0.00
0.706,15.00,8.27,14.70,0.00
0.745,15.00,8.27,15.24,0.00
0.765,15.00,8.21,15.86,0.00
0.785,15.00,8.21,16.40,0.00
0.805,15.00,8.21,16.95,0.00
0.824,15.00,8.21,17.49,0.00
0.864,15.00,8.21,18.03,0.00
0.883,15.00,8.21,18.57,0.00
0.922,15.00,8.14,19.22,0.00
0.942,15.00,8.14,19.77,0.00
0.961,15.00,8.14,20.32,0.00
0.981,15.00,8.14,20.87,0.00
1.020,15.00,8.14,21.42,0.00
1.040,15.00,8.07,22.07,0.00
1.059,15.00,8.07,22.62,0.00
1.079,15.00,8.07,23.18,0.00
1.118,15.00,8.07,23.73,0.00
1.138,15.00,8.14,24.18,0.00
1.157,15.00,8.14,24.73,0.00
1.177,15.00,8.07,25.38,0.00
1.216,15.00,8.14,25.83,0.00
1.236,15.00,8.14,26.38,0.00
1.255,15.00,8.14,26.93,0.00
1.275,15.00,8.14,27.47,0.00
1.295,15.00,8.07,28.13,0.00
1.334,15.00,8.14,28.58,0.00
1.354,15.00,8.14,29.13,0.00
1.373,15.00,8.14,29.67,0.00
1.393,15.00,8.21,30.12,0.00
1.432,15.00,8.21,30.66,0.00
1.452,15.00,8.27,31.11,0.00
1.491,15.00,8.27,31.65,0.00
1.511,15.00,8.21,32.28,0.00
1.530,15.00,8.27,32.73,0.00
1.550,15.00,8.35,33.16,0.00
1.589,15.00,8.35,33.69,0.00
1.609,15.00,8.35,34.22,0.00
1.628,15.00,8.42,34.65,0.00
1.668,15.00,8.42,35.18,0.00
1.687,15.00,8.42,35.70,0.00
1.707,15.00,8.42,36.23,0.00
1.746,15.00,8.48,36.67,0.00
1.766,15.00,8.48,37.19,0.00
1.785,15.00,8.55,37.60,0.00
1.805,15.00,8.55,38.12,0.00
1.844,15.00,8.61,38.55,0.00
1.864,15.00,8.61,39.06,0.00
1.883,15.00,8.68,39.46,0.00
1.923,15.00,8.75,39.86,0.00
1.942,15.00,8.81,40.27,0.00
1.963,15.00,8.81,40.77,0.00
2.002,15.00,8.89,41.15,0.00
2.021,15.00,8.89,41.64,0.00
2.040,15.00,8.96,42.03,0.00
2.079,15.00,8.96,42.51,0.00
2.099,15.00,9.02,42.90,0.00
2.119,15.00,9.09,43.28,0.00
2.138,15.00,9.09,43.75,0.00
2.178,15.00,9.15,44.13,0.00
2.198,15.00,9.22,44.50,0.00
2.218,15.00,9.29,44.85,0.00
2.237,15.00,9.35,45.22,0.00
2.276,15.00,9.42,45.57,0.00
2.295,15.00,9.55,45.82,0.00
2.315,15.00,9.63,46.15,0.00
2.354,15.00,9.63,46.58,0.00
2.375,15.00,9.76,46.82,0.00
2.394,15.00,9.76,47.24,0.00
2.433,15.00,9.83,47.55,0.00
2.452,15.00,9.96,47.77,0.00
2.472,15.00,10.03,48.07,0.00
2.512,15.00,10.09,48.38,0.00
2.532,15.00,10.16,48.67,0.00
2.551,15.00,10.16,49.06,0.00
