Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.021,10.00,7.73,9.00,0.00
0.041,10.00,7.80,9.08,0.00
0.060,10.00,7.73,9.36,0.00
0.080,10.00,7.67,9.63,0.00
0.119,10.00,7.67,9.82,0.00
0.139,10.00,7.60,10.11,0.00
0.158,10.00,7.60,10.30,0.00
0.198,10.00,7.60,10.49,0.00
0.217,10.00,7.53,10.79,0.00
0.237,10.00,7.60,10.88,0.00
0.276,10.00,7.60,11.08,0.00
0.296,10.00,7.46,11.46,0.00
0.315,10.00,7.46,11.67,0.00
0.335,10.00,7.46,11.87,0.00
0.374,10.00,7.46,12.07,0.00
0.394,10.00,7.39,12.38,0.00
0.414,10.00,7.39,12.59,0.00
0.433,10.00,7.39,12.80,0.00
0.453,10.00,7.39,13.01,0.00
0.492,10.00,7.39,13.22,0.00
0.512,10.00,6.29,15.04,0.00
0.531,10.00,6.23,15.42,0.00
0.551,10.00,6.29,15.64,0.00
0.590,10.00,6.23,16.02,0.00
0.610,10.00,6.23,16.32,0.00
0.629,10.00,6.23,16.62,0.00
0.649,10.00,6.23,16.93,0.00
0.669,10.00,6.29,17.14,0.00
0.708,10.00,6.23,17.52,0.00
0.728,10.00,6.23,17.82,0.00
0.747,10.00,6.23,18.12,0.00
0.786,10.00,6.16,18.53,0.00
0.806,10.00,6.16,18.84,0.00
0.826,10.00,6.16,19.15,0.00
0.865,10.00,6.09,19.56,0.00
0.885,10.00,6.29,19.57,0.00
0.904,10.00,6.29,19.87,0.00
0.925,10.00,6.29,20.16,0.00
0.963,10.00,6.23,20.55,0.00
0.983,10.00,6.16,20.96,0.00
1.002,10.00,6.16,21.26,0.00
1.022,10.00,6.23,21.46,0.00
1.061,10.00,6.29,21.67,0.00
1.082,10.00,6.16,22.17,0.00
1.100,10.00,6.16,22.47,0.00
1.120,10.00,6.16,22.78,0.00
1.160,10.00,6.29,22.89,0.00
1.179,10.00,6.29,23.19,0.00
1.218,10.00,6.23,23.57,0.00
1.238,10.00,6.16,23.98,0.00
1.257,10.00,6.23,24.18,0.00
1.277,10.00,6.23,24.48,0.00
1.316,10.00,6.23,24.78,0.00
1.336,10.00,6.23,25.08,0.00
1.356,10.00,6.23,25.38,0.00
1.375,10.00,6.23,25.69,0.00
1.415,10.00,6.16,26.10,0.00
1.434,10.00,6.37,26.10,0.00
1.454,10.00,6.37,26.39,0.00
1.493,10.00,6.37,26.68,0.00
1.513,10.00,6.50,26.77,0.00
1.532,10.00,6.50,27.05,0.00
1.552,10.00,6.43,27.44,0.00
1.572,10.00,6.50,27.61,0.00
1.611,10.00,6.50,27.89,0.00
1.630,10.00,6.50,28.17,0.00
1.650,10.00,6.58,28.34,0.00
1.670,10.00,6.64,28.53,0.00
1.709,10.00,6.64,28.80,0.00
1.729,10.00,6.64,29.07,0.00
1.748,10.00,6.64,29.33,0.00
1.768,10.00,6.58,29.69,0.00
