Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.032,15.00,6.03,0.00,0.00
0.051,15.00,6.03,0.00,0.00
0.071,15.00,6.03,0.00,0.00
0.091,15.00,6.03,0.00,0.00
0.130,15.00,5.95,0.00,0.00
0.150,15.00,6.03,0.00,0.00
0.169,15.00,6.03,0.00,0.00
0.189,15.00,6.03,0.00,0.00
0.228,15.00,6.03,0.00,0.00
0.248,15.00,5.88,0.00,0.00
0.267,15.00,5.95,0.00,0.00
0.307,15.00,5.95,0.00,0.00
0.327,15.00,6.03,0.00,0.00
0.347,15.00,5.95,0.00,0.00
0.385,15.00,5.95,0.00,0.00
0.405,15.00,5.95,0.00,0.00
0.424,15.00,5.95,0.00,0.00
0.444,15.00,7.19,0.00,0.00
0.483,15.00,7.26,0.00,0.00
0.503,15.00,7.33,0.00,0.00
0.522,15.00,7.33,0.00,0.00
0.542,15.00,7.26,0.00,0.00
0.581,15.00,7.26,0.00,0.00
0.601,15.00,7.26,0.00,0.00
0.621,15.00,7.26,0.00,0.00
0.640,15.00,7.26,0.00,0.00
0.660,15.00,7.26,0.00,0.00
0.699,15.00,7.26,0.00,0.00
0.719,15.00,7.26,0.00,0.00
0.738,15.00,7.26,0.00,0.00
0.758,15.00,7.26,0.00,0.00
0.778,15.00,7.33,0.00,0.00
0.817,15.00,7.39,0.00,0.00
0.837,15.00,7.33,0.00,0.00
0.856,15.00,7.33,0.00,0.00
0.895,15.00,7.26,0.00,0.00
0.915,15.00,7.33,0.00,0.00
0.935,15.00,7.26,0.00,0.00
0.954,15.00,7.19,0.00,0.00
0.994,15.00,7.26,0.00,0.00
1.013,15.00,7.26,0.00,0.00
1.033,15.00,7.33,0.00,0.00
1.053,15.00,7.33,0.00,0.00
1.092,15.00,7.39,0.00,0.00
1.112,15.00,7.33,0.00,0.00
1.151,15.00,7.26,0.00,0.00
1.170,15.00,7.26,0.00,0.00
1.190,15.00,7.33,0.00,0.00
1.210,15.00,7.33,0.00,0.00
1.249,15.00,7.33,0.00,0.00
1.268,15.00,7.39,0.00,0.00
1.288,15.00,7.39,0.00,0.00
1.327,15.00,7.33,0.00,0.00
1.347,15.00,7.26,0.00,0.00
1.367,15.00,7.33,0.00,0.00
1.386,15.00,7.33,0.00,0.00
1.406,15.00,7.33,0.00,0.00
1.445,15.00,7.33,0.00,0.00
1.465,15.00,7.33,0.00,0.00
1.484,15.00,7.39,0.00,0.00
1.504,15.00,7.39,0.00,0.00
1.543,15.00,7.33,0.00,0.00
1.563,15.00,7.33,0.00,0.00
1.583,15.00,7.39,0.00,0.00
1.602,15.00,7.39,0.00,0.00
1.641,15.00,7.39,0.00,0.00
1.661,15.00,7.33,0.00,0.00
1.681,15.00,7.33,0.00,0.00
1.700,15.00,7.39,0.00,0.00
1.740,15.00,7.39,0.00,0.00
1.759,15.00,7.33,0.00,0.00
1.779,15.00,7.39,0.00,0.00
1.799,15.00,7.39,0.00,0.00
1.838,15.00,7.39,0.00,0.00
1.857,15.00,7.33,0.00,0.00
1.877,15.00,7.33,0.00,0.00
1.897,15.00,7.46,0.00,0.00
1.936,15.00,7.53,0.00,0.00
1.956,15.00,7.39,0.00,0.00
1.975,15.00,7.33,0.00,0.00
1.995,15.00,7.33,0.00,0.00
2.034,15.00,7.39,0.00,0.00
2.054,15.00,7.46,0.00,0.00
2.073,15.00,7.46,0.00,0.00
2.093,15.00,7.39,0.00,0.00
2.114,15.00,7.39,0.00,0.00
2.153,15.00,7.46,0.00,0.00
2.173,15.00,7.46,0.00,0.00
2.211,15.00,7.39,0.00,0.00
2.230,15.00,7.46,0.00,0.00
2.250,15.00,7.46,0.00,0.00
2.289,15.00,7.53,0.00,0.00
2.309,15.00,7.33,0.00,0.00
2.329,15.00,7.39,0.00,0.00
2.348,15.00,7.46,0.00,0.00
2.388,15.00,7.39,0.00,0.00
2.407,15.00,7.46,0.00,0.00
2.427,15.00,7.39,0.00,0.00
2.446,15.00,7.46,0.00,0.00
2.486,15.00,7.39,0.00,0.00
2.506,15.00,7.33,0.00,0.00
2.525,15.00,7.39,0.00,0.00
2.545,15.00,7.46,0.00,0.00
2.584,15.00,7.46,0.00,0.00
2.603,15.00,7.39,0.00,0.00
2.623,15.00,7.39,0.09,0.00
2.643,15.00,7.39,0.70,0.00
2.682,15.00,7.46,1.20,0.00
2.702,15.00,7.39,1.91,0.00
2.722,15.00,7.39,2.52,0.00
2.742,15.00,7.39,3.13,0.00
2.781,15.00,7.46,3.63,0.00
2.801,15.00,7.46,4.23,0.00
2.819,15.00,7.39,4.94,0.00
2.859,15.00,7.46,5.44,0.00
2.878,15.00,7.53,5.96,0.00
2.898,15.00,7.53,6.55,0.00
2.918,15.00,7.46,7.24,0.00
2.958,15.00,7.39,7.95,0.00
2.978,15.00,7.46,8.45,0.00
2.996,15.00,7.46,9.05,0.00
3.035,15.00,7.46,9.66,0.00
3.055,15.00,7.46,10.26,0.00
3.075,15.00,7.39,10.97,0.00
3.094,15.00,7.53,11.38,0.00
3.134,15.00,7.53,11.98,0.00
3.153,15.00,7.46,12.66,0.00
3.173,15.00,7.46,13.27,0.00
3.193,15.00,7.39,13.97,0.00
3.232,15.00,7.46,14.48,0.00
3.251,15.00,7.53,14.99,0.00
3.271,15.00,7.53,15.59,0.00
3.291,15.00,7.39,16.38,0.00
3.330,15.00,7.53,16.79,0.00
3.350,15.00,7.46,17.48,0.00
3.369,15.00,7.46,18.08,0.00
3.389,15.00,7.46,18.68,0.00
3.428,15.00,7.39,19.39,0.00
3.448,15.00,7.46,19.89,0.00
3.467,15.00,7.46,20.50,0.00
3.487,15.00,7.53,21.01,0.00
3.507,15.00,7.60,21.50,0.00
3.546,15.00,7.60,22.09,0.00
3.566,15.00,7.46,22.88,0.00
3.585,15.00,7.53,23.39,0.00
3.605,15.00,7.53,23.99,0.00
3.644,15.00,7.67,24.37,0.00
3.664,15.00,7.60,25.07,0.00
3.683,15.00,7.67,25.55,0.00
3.703,15.00,7.67,26.14,0.00
3.742,15.00,7.67,26.72,0.00
3.762,15.00,7.60,27.42,0.00
3.781,15.00,7.60,28.01,0.00
3.801,15.00,7.67,28.49,0.00
3.840,15.00,7.67,29.08,0.00
3.860,15.00,7.67,29.66,0.00
3.880,15.00,7.73,30.16,0.00
3.899,15.00,7.73,30.74,0.00
3.919,15.00,7.67,31.41,0.00
3.958,15.00,7.67,32.00,0.00
3.978,15.00,7.80,32.39,0.00
3.997,15.00,7.88,32.86,0.00
4.017,15.00,7.88,33.43,0.00
4.056,15.00,7.88,34.00,0.00
4.076,15.00,7.88,34.57,0.00
4.096,15.00,7.88,35.13,0.00
4.115,15.00,8.01,35.51,0.00
4.154,15.00,8.07,35.98,0.00
4.174,15.00,8.07,36.53,0.00
4.194,15.00,8.14,36.98,0.00
4.214,15.00,8.21,37.42,0.00
4.234,15.00,8.27,37.88,0.00
4.272,15.00,8.27,38.41,0.00
4.292,15.00,8.35,38.84,0.00
4.311,15.00,8.42,39.27,0.00
4.331,15.00,8.42,39.80,0.00
4.370,15.00,8.48,40.23,0.00
4.390,15.00,8.48,40.76,0.00
4.410,15.00,8.61,41.08,0.00
4.429,15.00,8.75,41.38,0.00
4.449,15.00,8.68,41.99,0.00
4.488,15.00,8.89,42.19,0.00
4.508,15.00,8.96,42.57,0.00
4.527,15.00,8.96,43.06,0.00
4.547,15.00,9.09,43.35,0.00
4.566,15.00,9.09,43.82,0.00
4.606,15.00,9.15,44.20,0.00
4.625,15.00,9.22,44.57,0.00
4.645,15.00,9.29,44.92,0.00
