Time,Voltage_Out1,Voltage_Out2,Speed_KPH
6.403,1.3,0.65,0.0
6.439,1.3,0.65,0.0
6.46,1.3,0.65,0.0
6.498,1.3,0.65,0.0
6.52,1.3,0.65,0.0
6.557,1.3,0.65,0.0
6.596,1.3,0.65,0.0
6.635,1.3,0.65,0.0
6.673,1.3,0.65,0.0
6.715,1.3,0.65,0.0
6.756,1.3,0.65,0.0
6.781,1.3,0.65,0.0
6.818,1.3,0.65,0.0
6.842,1.3,0.65,0.0
6.875,1.3,0.65,0.0
6.897,1.3,0.65,0.0
6.933,1.3,0.65,0.0
6.959,1.3,0.65,0.0
6.996,1.3,0.65,0.0
7.023,1.3,0.65,0.0
7.055,1.3,0.65,0.0
7.075,1.3,0.65,0.0
7.099,1.3,0.65,0.0
7.133,1.3,0.65,0.0
7.158,1.3,0.65,0.0
7.19,1.3,0.65,0.0
7.224,1.3,0.65,0.0
7.265,1.3,0.65,0.0
7.291,1.3,0.65,0.0
7.33,1.3,0.65,0.0
7.356,1.3,0.65,0.0
7.392,1.3,0.65,0.0
7.418,1.3,0.65,0.0
7.452,1.3,0.65,0.0
7.476,1.3,0.65,0.0
7.515,1.3,0.65,0.0
7.536,1.3,0.65,0.0
7.575,1.3,0.65,0.0
7.596,1.3,0.65,0.0
7.632,1.3,0.65,0.0
7.655,1.3,0.65,0.0
7.688,1.3,0.65,0.0
7.712,1.3,0.65,0.0
7.747,1.3,0.65,0.0
7.77,1.3,0.65,0.0
7.794,1.3,0.65,0.0
7.824,1.3,0.65,0.0
7.846,1.3,0.65,0.0
7.883,1.3,0.65,0.0
7.906,1.3,0.65,0.0
7.945,1.3,0.65,0.0
7.969,1.3,0.65,0.0
8.005,1.3,0.65,0.0
8.026,1.3,0.65,0.0
8.05,1.3,0.65,0.0
8.085,1.3,0.65,0.0
8.126,1.3,0.65,0.0
8.171,1.3,0.65,0.0
8.207,1.3,0.65,0.0
8.232,1.3,0.65,0.0
8.265,1.3,0.65,0.0
8.288,1.3,0.65,0.0
8.322,1.3,0.65,0.0
8.345,1.3,0.65,0.0
8.366,1.3,0.65,0.0
8.4,1.3,0.65,0.0
8.422,1.3,0.65,0.0
8.443,1.3,0.65,0.0
8.479,1.3,0.65,1.23081432
8.5,1.3,0.65,1.30737132
8.523,1.3,0.65,1.52403258
8.559,1.3,0.65,1.58768608
8.581,1.3,0.65,1.6640280400000005
8.607,1.3,0.65,1.80386862
8.647,1.3,0.65,2.15912758
8.69,1.3,0.65,2.45019672
8.71,1.3,0.65,2.58916434
8.753,1.3,0.65,2.87923252
8.792,1.3,0.65,3.1560554400000007
8.831,1.3,0.65,3.4447988199999995
8.872,1.3,0.65,3.79539858
8.908,1.3,0.65,3.93285964
8.943,1.3,0.65,4.07016582
8.979,1.3,0.65,4.28206164
9.017,1.3,0.65,4.49358754
9.059,1.3,0.65,4.704743519999999
9.102,1.3,0.65,4.97745508
9.145,1.3,0.65,5.261900220000001
9.184,1.3,0.65,5.53334458
9.209,1.3,0.65,5.60726734
9.24,1.3,0.65,5.74267272
9.277,1.3,0.65,5.951630940000001
9.314,1.3,0.65,6.16021924
9.349,1.3,0.65,6.23375032
9.372,1.3,0.65,6.294991019999999
9.408,1.3,0.65,6.36843762
9.442,1.3,0.65,6.4296079200000005
9.465,1.3,0.65,6.502970040000001
9.502,1.3,0.65,6.502970040000001
9.525,1.3,0.65,6.576286080000001
9.567,1.3,0.65,6.71057914
9.61,1.3,0.65,6.78376462
9.65,1.3,0.65,6.844717320000001
9.676,1.3,0.65,6.91781832
9.709,1.3,0.65,6.97870062
9.745,1.3,0.65,7.12468758
9.783,1.3,0.65,7.18546108
9.823,1.3,0.65,7.25834704
9.864,1.3,0.65,7.464607019999999
9.903,1.3,0.65,7.525201320000001
9.929,1.3,0.65,7.597872239999999
9.962,1.3,0.65,7.597872239999999
9.985,1.3,0.65,7.670497079999999
10.025,1.3,0.65,7.803522939999999
10.066,1.3,0.65,7.93639392
10.105,1.3,0.65,8.06911002
10.144,1.3,0.65,8.21371458
10.183,1.3,0.65,8.27391208
10.222,1.3,0.65,8.34610684
10.263,1.3,0.65,8.418255519999999
10.285,1.3,0.65,8.418255519999999
10.323,1.3,0.65,8.55040842
10.365,1.3,0.65,8.61042672
10.403,1.3,0.65,8.68240644
10.445,1.3,0.65,8.754340079999999
10.484,1.3,0.65,8.81424958
10.525,1.3,0.65,8.957901819999998
10.567,1.3,0.65,9.01770252
10.607,1.3,0.65,9.14915142
10.649,1.3,0.65,9.14915142
10.688,1.3,0.65,9.22078554
10.729,1.3,0.65,9.29237358
10.767,1.3,0.65,9.35199508
10.807,1.3,0.65,9.42349864
10.849,1.3,0.65,9.55446882
10.887,1.3,0.65,9.55446882
10.926,1.3,0.65,9.68528412
10.964,1.3,0.65,9.82781508
11.006,1.3,0.65,9.82781508
11.044,1.3,0.65,9.88714858
11.085,1.3,0.65,9.88714858
11.126,1.3,0.65,9.95830654
11.168,1.3,0.65,10.02941842
11.208,1.3,0.65,10.08864312
11.248,1.3,0.65,10.15967052
11.282,1.3,0.65,10.21882482
11.309,1.3,0.65,10.21882482
11.348,1.3,0.65,10.36066458
11.389,1.3,0.65,10.36066458
11.432,1.3,0.65,10.41971008
11.475,1.3,0.65,10.41971008
11.516,1.3,0.65,10.56128872
11.555,1.3,0.65,10.56128872
11.605,1.3,0.65,10.62022542
11.646,1.3,0.65,10.74977352
11.687,1.3,0.65,10.74977352
11.728,1.3,0.65,10.82037084
11.767,1.3,0.65,10.82037084
11.806,1.3,0.65,10.89092208
11.848,1.3,0.65,10.94967958
11.887,1.3,0.65,11.02014634
11.927,1.3,0.65,11.09056702
11.966,1.3,0.65,11.14921572
12.003,1.3,0.65,11.27813022
12.039,1.3,0.65,11.34838194
12.062,1.3,0.65,11.41858758
12.098,1.3,0.65,11.41858758
12.121,1.3,0.65,11.34838194
12.157,1.3,0.65,11.41858758
12.182,1.3,0.65,11.41858758
12.213,1.3,0.65,11.47705708
12.25,1.3,0.65,11.47705708
12.294,1.3,0.65,11.54717824
12.332,1.3,0.65,11.61725332
12.369,1.3,0.65,11.74560462
12.41,1.3,0.65,11.74560462
12.449,1.3,0.65,11.80389492
12.49,1.3,0.65,11.87380104
12.528,1.3,0.65,11.94366108
12.568,1.3,0.65,12.00184258
12.606,1.3,0.65,12.07161814
12.645,1.3,0.65,12.14134762
12.673,1.3,0.65,12.14134762
12.706,1.3,0.65,12.26906532
12.731,1.3,0.65,12.19942032
12.766,1.3,0.65,12.19942032
12.791,1.3,0.65,12.26906532
12.825,1.3,0.65,12.26906532
12.845,1.3,0.65,12.26906532
12.881,1.3,0.65,12.32706762
12.907,1.3,0.65,12.32706762
12.942,1.3,0.65,12.39662814
12.963,1.3,0.65,12.46614258
12.997,1.3,0.65,12.46614258
13.02,1.3,0.65,12.52403608
13.059,1.3,0.65,12.72063462
13.098,1.3,0.65,12.72063462
13.134,1.3,0.65,12.72063462
13.16,1.3,0.65,12.66284992
13.194,1.3,0.65,12.72063462
13.216,1.3,0.65,12.84764832
13.25,1.3,0.65,12.84764832
13.276,1.3,0.65,12.78993402
13.32,1.3,0.65,12.84764832
13.363,1.3,0.65,12.91686324
13.404,1.3,0.65,12.91686324
13.448,1.3,0.65,12.98603208
13.49,1.3,0.65,12.98603208
13.531,1.3,0.65,13.11272194
13.569,1.3,0.65,13.23925692
13.608,1.3,0.65,13.30821072
13.633,1.3,0.65,13.30821072
13.672,1.3,0.65,13.30821072
13.713,1.3,0.65,13.43450634
13.739,1.3,0.65,13.36563702
13.773,1.3,0.65,13.43450634
13.794,1.3,0.65,13.36563702
13.821,1.3,0.65,13.36563702
13.853,1.3,0.65,13.50332958
13.875,1.3,0.65,13.50332958
13.898,1.3,0.65,13.50332958
13.937,1.3,0.65,13.50332958
13.959,1.3,0.65,13.50332958
13.994,1.3,0.65,13.50332958
14.031,1.3,0.65,13.56064708
14.07,1.3,0.65,13.56064708
14.109,1.3,0.65,13.69807852
14.147,1.3,0.65,13.75528722
14.182,1.3,0.65,13.75528722
14.205,1.3,0.65,13.75528722
14.243,1.3,0.65,13.82389542
14.269,1.3,0.65,13.82389542
14.311,1.3,0.65,13.82389542
14.353,1.3,0.65,13.881033719999998
14.389,1.3,0.65,13.881033719999998
14.41,1.3,0.65,13.94955744
14.447,1.3,0.65,14.01803508
14.468,1.3,0.65,14.01803508
14.493,1.3,0.65,14.01803508
14.527,1.3,0.65,14.01803508
14.548,1.3,0.65,14.01803508
14.586,1.3,0.65,14.07506458
14.608,1.3,0.65,14.07506458
14.628,1.3,0.65,14.14345774
14.651,1.3,0.65,14.14345774
14.686,1.3,0.65,14.14345774
14.713,1.3,0.65,14.14345774
14.734,1.3,0.65,14.21180482
14.766,1.3,0.65,14.21180482
14.787,1.3,0.65,14.14345774
14.821,1.3,0.65,14.21180482
14.846,1.3,0.65,14.33698812
14.881,1.3,0.65,14.268725519999998
14.906,1.3,0.65,14.268725519999998
14.946,1.3,0.65,14.268725519999998
14.985,1.3,0.65,14.33698812
15.029,1.3,0.65,14.33698812
15.067,1.3,0.65,14.46201654
15.107,1.3,0.65,14.46201654
15.142,1.3,0.65,14.53014858
15.166,1.3,0.65,14.53014858
15.206,1.3,0.65,14.58689008
15.246,1.3,0.65,14.654937640000002
15.268,1.3,0.65,14.72293912
15.312,1.3,0.65,14.654937640000002
15.353,1.3,0.65,14.84748882
15.388,1.3,0.65,14.84748882
15.41,1.3,0.65,14.84748882
15.451,1.3,0.65,14.97188364
15.492,1.3,0.65,15.163825540000005
15.531,1.3,0.65,15.163825540000005
15.574,1.3,0.65,15.163825540000005
15.614,1.3,0.65,14.97188364
15.651,1.3,0.65,15.28782612
15.689,1.3,0.65,15.09612358
15.726,1.3,0.65,15.23148142
15.767,1.3,0.65,15.35539752
15.808,1.3,0.65,15.41167182
15.852,1.3,0.65,15.35539752
15.892,1.3,0.65,15.41167182
15.932,1.3,0.65,15.47915874
15.957,1.3,0.65,15.54659958
15.995,1.3,0.65,15.54659958
16.033,1.3,0.65,15.60276508
16.058,1.3,0.65,15.60276508
16.092,1.3,0.65,15.60276508
16.116,1.3,0.65,15.60276508
16.151,1.3,0.65,15.60276508
16.177,1.3,0.65,15.54659958
16.213,1.3,0.65,15.67012144
16.235,1.3,0.65,15.54659958
16.274,1.3,0.65,15.60276508
16.296,1.3,0.65,15.67012144
16.333,1.3,0.65,15.737431719999998
16.359,1.3,0.65,15.60276508
16.398,1.3,0.65,15.60276508
16.439,1.3,0.65,15.41167182
16.482,1.3,0.65,15.35539752
16.52,1.3,0.65,15.28782612
16.558,1.3,0.65,15.28782612
16.592,1.3,0.65,15.23148142
16.615,1.3,0.65,15.28782612
16.65,1.3,0.65,15.28782612
16.676,1.3,0.65,15.28782612
16.715,1.3,0.65,15.28782612
16.739,1.3,0.65,15.163825540000005
16.773,1.3,0.65,15.163825540000005
16.796,1.3,0.65,15.163825540000005
16.821,1.3,0.65,15.163825540000005
16.854,1.3,0.65,15.41167182
16.875,1.3,0.65,15.35539752
16.899,1.3,0.65,15.35539752
16.937,1.3,0.65,15.28782612
16.959,1.3,0.65,15.28782612
16.996,1.3,0.65,15.35539752
17.016,1.3,0.65,15.28782612
17.053,1.3,0.65,15.28782612
17.074,1.3,0.65,15.41167182
17.096,1.3,0.65,15.47915874
17.131,1.3,0.65,15.41167182
17.153,1.3,0.65,15.47915874
17.176,1.3,0.65,15.47915874
17.209,1.3,0.65,15.41167182
17.234,1.3,0.65,15.35539752
17.267,1.3,0.65,15.35539752
17.293,1.3,0.65,15.47915874
17.327,1.3,0.65,15.54659958
17.366,1.3,0.65,15.67012144
17.411,1.3,0.65,15.54659958
17.436,1.3,0.65,15.60276508
17.471,1.3,0.65,15.67012144
17.493,1.3,0.65,15.67012144
17.532,1.3,0.65,15.737431719999998
17.552,1.3,0.65,15.737431719999998
17.584,1.3,0.65,15.67012144
17.605,1.3,0.65,15.67012144
17.627,1.3,0.65,15.737431719999998
17.662,1.3,0.65,15.737431719999998
17.684,1.3,0.65,15.737431719999998
17.725,1.3,0.65,15.737431719999998
17.746,1.3,0.65,15.79348842
17.766,1.3,0.65,15.79348842
17.789,1.3,0.65,15.79348842
17.823,1.3,0.65,15.86071422
17.848,1.3,0.65,15.91670052
17.87,1.3,0.65,15.91670052
17.901,1.3,0.65,15.91670052
17.925,1.3,0.65,16.050937080000004
17.946,1.3,0.65,16.10681458
17.98,1.3,0.65,16.050937080000004
18.001,1.3,0.65,16.10681458
18.023,1.3,0.65,16.10681458
18.061,1.3,0.65,16.10681458
18.083,1.3,0.65,16.173825340000004
18.124,1.3,0.65,16.173825340000004
18.144,1.3,0.65,16.173825340000004
18.183,1.3,0.65,16.173825340000004
18.203,1.3,0.65,16.296558720000004
