Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.034,10.00,0.00,14.72,0.00
0.053,10.00,0.00,15.52,0.00
0.074,10.00,0.00,16.32,0.00
0.093,10.00,0.00,17.12,0.00
0.133,10.00,0.00,17.91,0.00
0.153,10.00,0.00,18.71,0.00
0.171,10.00,0.00,19.51,0.00
0.210,10.00,0.00,20.31,0.00
0.230,10.00,0.00,21.11,0.00
0.250,10.00,0.00,21.91,0.00
0.269,10.00,0.00,22.71,0.00
0.290,10.00,0.00,23.51,0.00
0.328,10.00,0.00,24.31,0.00
0.349,10.00,0.00,25.11,0.00
0.369,10.00,0.00,25.91,0.00
0.387,10.00,0.00,26.71,0.00
0.426,10.00,0.00,27.51,0.00
0.447,10.00,12.14,0.00,7.35
0.466,10.00,12.27,0.00,8.03
0.486,10.00,12.40,0.00,8.72
0.507,10.00,12.47,0.00,9.12
0.544,10.00,12.52,0.00,9.46
0.564,10.00,12.59,0.00,9.86
0.584,10.00,12.59,0.00,9.91
0.603,10.00,12.59,0.00,9.96
0.623,10.00,12.72,0.00,10.65
0.662,10.00,12.79,0.00,11.05
0.682,10.00,12.85,0.00,11.40
0.701,10.00,12.92,0.00,11.80
0.741,10.00,12.99,0.00,12.21
0.760,10.00,12.85,0.00,11.57
0.780,10.00,12.99,0.00,12.32
0.801,10.00,13.11,0.00,13.02
0.840,10.00,13.18,0.00,13.43
0.860,10.00,13.24,0.00,13.78
0.878,10.00,13.37,0.00,14.48
0.917,10.00,13.24,0.00,13.91
0.937,10.00,13.37,0.00,14.61
0.958,10.00,13.56,0.00,15.66
0.976,10.00,13.56,0.00,15.73
1.016,10.00,13.76,0.00,16.78
1.035,10.00,13.76,0.00,16.85
1.055,10.00,13.82,0.00,17.27
1.076,10.00,13.82,0.00,17.35
1.114,10.00,13.88,0.00,17.71
1.133,10.00,13.95,0.00,18.13
1.154,10.00,14.02,0.00,18.56
1.173,10.00,14.14,0.00,19.27
1.212,10.00,14.21,0.00,19.69
1.232,10.00,14.21,0.00,19.78
1.251,10.00,14.34,0.00,20.49
1.271,10.00,14.46,0.00,21.20
1.310,10.00,14.21,0.00,20.04
1.330,10.00,14.21,0.00,20.12
1.349,10.00,14.21,0.00,20.21
1.369,10.00,14.27,0.00,20.58
1.389,10.00,14.34,0.00,21.00
1.428,10.00,14.21,0.00,20.46
1.448,10.00,14.21,0.00,20.55
1.467,10.00,14.14,0.00,20.29
1.487,10.00,14.02,0.00,19.74
1.506,10.00,13.88,0.00,19.13
1.546,10.00,13.76,0.00,18.58
1.565,10.00,13.88,0.00,19.29
1.585,10.00,14.14,0.00,20.68
1.605,10.00,14.08,0.00,20.42
1.644,10.00,13.88,0.00,19.53
1.663,10.00,13.88,0.00,19.61
1.683,10.00,13.82,0.00,19.40
1.703,10.00,13.82,0.00,19.47
1.742,10.00,13.95,0.00,20.18
1.762,10.00,13.95,0.00,20.26
1.781,10.00,13.76,0.00,19.36
1.820,10.00,13.76,0.00,19.44
1.840,10.00,13.76,0.00,19.51
1.860,10.00,13.43,0.00,17.98
1.879,10.00,13.31,0.00,17.41
1.899,10.00,13.50,0.00,18.46
1.938,10.00,13.56,0.00,18.82
1.958,10.00,13.50,0.00,18.60
1.977,10.00,13.43,0.00,18.32
1.997,10.00,13.31,0.00,17.76
2.017,10.00,13.31,0.00,17.82
2.056,10.00,13.18,0.00,17.26
2.077,10.00,13.18,0.00,17.32
2.095,10.00,13.18,0.00,17.38
2.115,10.00,13.18,0.00,17.45
2.154,10.00,13.11,0.00,17.16
2.174,10.00,13.11,0.00,17.23
2.193,10.00,12.92,0.00,16.31
2.233,10.00,12.85,0.00,16.02
2.252,10.00,13.11,0.00,17.40
2.272,10.00,13.04,0.00,17.12
2.291,10.00,12.79,0.00,15.91
2.330,10.00,12.52,0.00,14.63
2.350,10.00,12.66,0.00,15.37
2.370,10.00,12.85,0.00,16.36
2.389,10.00,12.59,0.00,15.14
2.429,10.00,12.79,0.00,16.17
2.448,10.00,12.66,0.00,15.59
2.469,10.00,12.52,0.00,14.95
2.508,10.00,12.52,0.00,15.00
2.527,10.00,12.52,0.00,15.05
2.546,10.00,12.59,0.00,15.45
2.566,10.00,12.59,0.00,15.50
2.605,10.00,12.52,0.00,15.20
2.625,10.00,12.47,0.00,14.96
2.644,10.00,12.47,0.00,15.01
2.665,10.00,12.59,0.00,15.70
2.684,10.00,12.59,0.00,15.75
2.723,10.00,12.47,0.00,15.17
2.744,10.00,12.47,0.00,15.22
2.763,10.00,12.52,0.00,15.56
2.782,10.00,12.59,0.00,15.95
2.821,10.00,12.47,0.00,15.37
2.842,10.00,12.47,0.00,15.42
2.860,10.00,12.66,0.00,16.45
2.880,10.00,12.59,0.00,16.16
2.919,10.00,12.47,0.00,15.57
2.940,10.00,12.40,0.00,15.27
2.958,10.00,12.40,0.00,15.32
2.978,10.00,12.40,0.00,15.37
3.018,10.00,12.47,0.00,15.76
3.038,10.00,12.47,0.00,15.81
3.058,10.00,12.47,0.00,15.86
3.076,10.00,12.47,0.00,15.91
3.115,10.00,12.47,0.00,15.96
3.136,10.00,12.52,0.00,16.30
3.155,10.00,12.33,0.00,15.36
