Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.024,15.00,13.11,0.00,0.00
0.044,15.00,13.04,0.00,0.00
0.063,15.00,13.11,0.00,0.00
0.083,15.00,13.18,0.00,0.00
0.122,15.00,13.11,0.00,0.00
0.142,15.00,13.11,0.00,0.00
0.161,15.00,13.11,0.00,0.00
0.181,15.00,13.11,0.00,0.00
0.202,15.00,13.11,0.00,0.00
0.240,15.00,13.11,0.00,0.00
0.261,15.00,13.11,0.00,0.00
0.279,15.00,13.18,0.00,0.00
0.299,15.00,13.18,0.00,0.00
0.338,15.00,13.18,0.00,0.00
0.358,15.00,13.18,0.00,0.00
0.377,15.00,13.18,0.00,0.00
0.417,15.00,13.18,0.00,0.00
0.436,15.00,13.11,0.00,0.00
0.456,15.00,7.60,0.00,0.00
0.476,15.00,7.53,0.00,0.00
0.515,15.00,7.53,0.00,0.00
0.535,15.00,7.60,0.00,0.00
0.554,15.00,7.60,0.00,0.00
0.574,15.00,7.53,0.00,0.00
0.613,15.00,7.53,0.00,0.00
0.633,15.00,7.53,0.00,0.00
0.652,15.00,7.53,0.00,0.00
0.672,15.00,7.60,0.00,0.00
0.711,15.00,7.60,0.00,0.00
0.731,15.00,7.53,0.00,0.00
0.751,15.00,7.60,0.00,0.00
0.770,15.00,7.53,0.00,0.00
0.790,15.00,7.60,0.00,0.00
0.829,15.00,7.60,0.00,0.00
0.849,15.00,7.60,0.00,0.00
0.868,15.00,7.60,0.00,0.00
0.888,15.00,7.60,0.00,0.00
0.927,15.00,7.60,0.00,0.00
0.947,15.00,7.60,0.00,0.00
0.967,15.00,7.60,0.00,0.00
0.986,15.00,7.60,0.00,0.00
1.025,15.00,7.67,0.00,0.00
1.045,15.00,7.60,0.00,0.00
1.065,15.00,7.60,0.00,0.00
1.084,15.00,7.67,0.00,0.00
1.104,15.00,7.67,0.00,0.00
1.143,15.00,7.67,0.00,0.00
1.163,15.00,7.67,0.00,0.00
1.183,15.00,7.67,0.00,0.00
1.222,15.00,7.67,0.00,0.00
1.242,15.00,7.67,0.00,0.00
1.261,15.00,7.67,0.00,0.00
1.300,15.00,7.67,0.00,0.00
1.320,15.00,7.73,0.00,0.00
1.340,15.00,7.67,0.00,0.00
1.359,15.00,7.67,0.00,0.00
1.379,15.00,7.67,0.00,0.00
1.418,15.00,7.73,0.00,0.00
1.438,15.00,7.73,0.00,0.00
1.457,15.00,7.67,0.00,0.00
1.477,15.00,7.73,0.00,0.00
1.516,15.00,7.73,0.00,0.00
1.536,15.00,7.73,0.00,0.00
1.556,15.00,7.73,0.00,0.00
1.575,15.00,7.73,0.00,0.00
1.615,15.00,7.73,0.00,0.00
1.634,15.00,7.67,0.00,0.00
1.654,15.00,7.67,0.00,0.00
1.673,15.00,7.73,0.00,0.00
1.713,15.00,7.73,0.00,0.00
1.732,15.00,7.73,0.00,0.00
1.752,15.00,7.73,0.00,0.00
1.772,15.00,7.73,0.53,0.00
1.811,15.00,7.73,1.12,0.00
1.831,15.00,7.73,1.70,0.00
1.850,15.00,7.80,2.17,0.00
1.870,15.00,7.80,2.75,0.00
1.890,15.00,7.73,3.43,0.00
1.929,15.00,7.73,4.01,0.00
1.948,15.00,7.73,4.59,0.00
