Time (ms),Distance (mm),Brake Position (%)
32835.0,67.0,75.81
32942.0,69.0,72.58
33049.0,66.0,77.42
33156.0,65.0,79.03
33263.0,68.0,74.19
33370.0,67.0,75.81
33477.0,67.0,75.81
33584.0,69.0,72.58
33691.0,71.0,69.35
33798.0,65.0,79.03
33905.0,67.0,75.81
34012.0,68.0,74.19
34119.0,67.0,75.81
34226.0,67.0,75.81
34333.0,71.0,69.35
34440.0,67.0,75.81
34547.0,70.0,70.97
34654.0,70.0,70.97
34761.0,66.0,77.42
34868.0,68.0,74.19
34975.0,65.0,79.03
35082.0,68.0,74.19
35189.0,66.0,77.42
35296.0,69.0,72.58
35403.0,66.0,77.42
35510.0,68.0,74.19
35617.0,64.0,80.65
35724.0,66.0,77.42
35831.0,67.0,75.81
35938.0,66.0,77.42
36045.0,71.0,69.35
36152.0,67.0,75.81
36259.0,66.0,77.42
36366.0,66.0,77.42
36473.0,66.0,77.42
36580.0,69.0,72.58
36687.0,70.0,70.97
36794.0,64.0,80.65
36901.0,67.0,75.81
37008.0,66.0,77.42
37115.0,68.0,74.19
37222.0,68.0,74.19
37329.0,68.0,74.19
37436.0,70.0,70.97
37543.0,68.0,74.19
37650.0,67.0,75.81
37757.0,65.0,79.03
37864.0,69.0,72.58
37971.0,67.0,75.81
38078.0,68.0,74.19
38185.0,65.0,79.03
38292.0,66.0,77.42
38399.0,70.0,70.97
38506.0,70.0,70.97
38613.0,67.0,75.81
38720.0,67.0,75.81
38827.0,68.0,74.19
38934.0,71.0,69.35
39041.0,70.0,70.97
39148.0,66.0,77.42
39255.0,72.0,67.74
39362.0,68.0,74.19
39469.0,68.0,74.19
39576.0,72.0,67.74
39683.0,70.0,70.97
39790.0,70.0,70.97
39897.0,69.0,72.58
40004.0,68.0,74.19
40111.0,70.0,70.97
40218.0,65.0,79.03
40325.0,64.0,80.65
40432.0,67.0,75.81
40539.0,69.0,72.58
40646.0,69.0,72.58
40753.0,69.0,72.58
40860.0,70.0,70.97
40967.0,70.0,70.97
41074.0,66.0,77.42
41181.0,68.0,74.19
41288.0,68.0,74.19
41395.0,69.0,72.58
41502.0,69.0,72.58
41609.0,66.0,77.42
41716.0,69.0,72.58
41823.0,69.0,72.58
41930.0,67.0,75.81
42037.0,68.0,74.19
42144.0,68.0,74.19
42251.0,66.0,77.42
42358.0,69.0,72.58
42465.0,67.0,75.81
42572.0,69.0,72.58
42679.0,67.0,75.81
42786.0,68.0,74.19
42893.0,66.0,77.42
43000.0,67.0,75.81
43107.0,71.0,69.35
