Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Delta_Steer,Desired_Delta_Steer,Test_Number
0.020,0.016,10.00,0.00,0.00,0.00,inf,0.00,0.00,1
0.039,0.035,10.00,0.00,0.00,0.00,inf,0.00,0.00,1
0.057,0.053,10.00,0.00,0.00,14.32,inf,0.00,0.00,1
0.077,0.073,10.00,0.00,0.00,18753262256788033830119276544.00,inf,0.00,0.00,1
0.097,0.093,10.00,0.00,0.00,74058946825319635071147180032.00,inf,0.00,0.00,1
0.118,0.114,10.00,0.00,18445692609297350171557888.00,47340600793021127065600.00,inf,0.00,0.00,1
0.137,0.133,10.00,0.00,67703549946983159431168.00,0.00,inf,0.00,0.00,1
0.157,0.153,10.00,0.00,0.00,0.00,inf,0.00,0.00,1
0.177,0.173,10.00,0.00,0.00,18314908652579263271141376.00,inf,0.00,0.00,1
0.197,0.193,10.00,0.00,50840190596590007605677019627520.00,71004336011906716630765273088.00,inf,0.00,0.00,1
0.217,0.213,10.00,0.00,0.00,71837899440905548464128.00,inf,0.00,0.00,1
0.237,0.233,10.00,0.00,18062697619490177718996172800.00,75553514426383600475894185984.00,inf,0.00,0.00,1
0.257,0.253,10.00,0.00,1104526102594588493144391680.00,592930209792.00,inf,0.00,0.00,1
0.277,0.273,10.00,0.00,269145897741706067968.00,18445687997611331744169984.00,inf,0.00,0.00,1
0.297,0.293,10.00,0.00,303470729597047528502051999842304.00,3172565894527377123743797084160.00,inf,0.00,0.00,1
0.318,0.314,10.00,0.00,72715848373615076277486239088640.00,1125868489731623463419904.00,inf,0.00,0.00,1
0.337,0.333,10.00,0.00,0.00,69770670650748825501696.00,inf,0.00,0.00,1
0.357,0.353,10.00,0.00,247923388185164382208.00,18060881869577514340411506688.00,inf,0.00,0.00,1
0.377,0.373,10.00,0.00,42002844.00,0.00,inf,0.00,0.00,1
0.397,0.393,10.00,0.00,70071632703047113637888.00,4582079354477054263296.00,inf,0.00,0.00,1
0.417,0.413,10.00,0.00,67410622316420100259840.00,0.00,inf,0.00,0.00,1
0.437,0.433,10.00,0.00,0.00,0.00,inf,0.00,0.00,1
0.457,0.453,10.00,0.00,4542237140209975273979367129088.00,0.00,inf,0.00,0.00,1
0.477,0.473,10.00,0.00,70071632703047113637888.00,0.00,inf,0.00,0.00,1
0.497,0.493,10.00,0.00,18178569192512394314889780264960.00,18470472351195865133613056.00,inf,0.00,0.00,1
0.517,0.513,10.00,0.00,50834063760536200665019608727552.00,17201713823623816413184.00,inf,0.00,0.00,1
0.537,0.533,10.00,0.00,0.00,18753262256788033830119276544.00,inf,0.00,0.00,1
0.557,0.553,10.00,0.00,0.00,74058946825319635071147180032.00,inf,0.00,0.00,1
0.577,0.573,10.00,0.00,18445692609297350171557888.00,47340600793021127065600.00,inf,0.00,0.00,1
0.597,0.593,10.00,0.00,67703549946983159431168.00,0.00,inf,0.00,0.00,1
0.617,0.613,10.00,0.00,0.00,203087622522379579565491663929344.00,inf,0.00,0.00,1
0.637,0.633,10.00,0.00,592931127296.00,269145897741706067968.00,inf,0.00,0.00,1
0.657,0.653,10.00,0.00,18445687997611331744169984.00,303470729597047528502051999842304.00,inf,0.00,0.00,1
0.677,0.673,10.00,0.00,3172565894527377123743797084160.00,72715848373615076277486239088640.00,inf,0.00,0.00,1
0.697,0.693,10.00,0.00,1125868489731623463419904.00,0.00,inf,0.00,0.00,1
0.717,0.713,10.00,0.00,69770670650748825501696.00,247923388185164382208.00,inf,0.00,0.00,1
0.737,0.733,10.00,0.00,18060881869577514340411506688.00,42002844.00,inf,0.00,0.00,1
0.757,0.753,10.00,0.00,0.00,70071632703047113637888.00,inf,0.00,0.00,1
0.777,0.773,10.00,0.00,4582079354477054263296.00,67410622316420100259840.00,inf,0.00,0.00,1
0.797,0.793,10.00,0.00,0.00,0.00,inf,0.00,0.00,1
0.817,0.813,10.00,0.00,0.00,4542237140209975273979367129088.00,inf,0.00,0.00,1
0.837,0.833,10.00,0.00,0.00,70071632703047113637888.00,inf,0.00,0.00,1
0.857,0.853,10.00,0.00,0.00,18178569192512394314889780264960.00,inf,0.00,0.00,1
0.877,0.873,10.00,0.00,18470472351195865133613056.00,50834063760536200665019608727552.00,inf,0.00,0.00,1
0.897,0.893,10.00,0.00,17201713823623816413184.00,0.00,inf,0.00,0.00,1
0.917,0.913,10.00,0.00,18753262256788033830119276544.00,0.00,inf,0.00,0.00,1
0.937,0.933,10.00,0.00,74058946825319635071147180032.00,18445692609297350171557888.00,inf,0.00,0.00,1
0.957,0.953,10.00,0.00,47340600793021127065600.00,67703549946983159431168.00,inf,0.00,0.00,1
0.977,0.973,10.00,0.00,0.00,0.00,inf,0.00,0.00,1
0.997,0.993,10.00,0.00,203062747664715188955592909651968.00,592931127296.00,inf,0.00,0.00,1
1.017,1.013,10.00,0.00,269145897741706067968.00,18445687997611331744169984.00,inf,0.00,0.00,1
1.037,1.033,10.00,0.00,303470729597047528502051999842304.00,3172565894527377123743797084160.00,inf,0.00,0.00,1
1.057,1.053,10.00,0.00,72715848373615076277486239088640.00,1125868489731623463419904.00,inf,0.00,0.00,1
1.077,1.073,10.00,0.00,0.00,69770670650748825501696.00,inf,0.00,0.00,1
1.097,1.093,10.00,0.00,62287795754684670541824.00,1090025043291269119780847616.00,inf,0.00,0.00,1
1.117,1.113,10.00,0.00,4515649612448509364111671296.00,77781499014370852362373455413248.00,inf,0.00,0.00,1
1.137,1.133,10.00,0.00,71462884699934407262208.00,77452274663766839628484071915520.00,inf,0.00,0.00,1
1.157,1.153,10.00,1.23,0.00,12122153352515734304980992.00,inf,0.00,0.00,1
1.177,1.173,10.00,1.23,0.00,4463318462705532281454547959808.00,inf,0.00,0.00,1
1.197,1.193,10.00,1.23,1125868057386059235852288.00,63173901527038068592868327424.00,inf,0.00,0.00,1
1.217,1.213,10.00,1.23,50845210056593047546010399670272.00,0.00,inf,0.00,0.00,1
1.237,1.233,10.00,1.23,67137379919828277526528.00,16926154325023711559680.00,inf,0.00,0.00,1
1.257,1.253,10.00,1.31,0.00,0.00,inf,0.00,0.00,1
1.277,1.273,10.00,1.31,0.00,18314908652579263271141376.00,inf,0.00,0.00,1
1.297,1.293,10.00,1.31,50840190596590007605677019627520.00,71004336011906716630765273088.00,inf,0.00,0.00,1
1.317,1.313,10.00,1.37,0.00,71837899440905548464128.00,inf,0.00,0.00,1
1.337,1.333,10.00,1.37,18062697619490177718996172800.00,75553514426383600475894185984.00,inf,0.00,0.00,1
1.357,1.353,10.00,1.37,1104526102594588493144391680.00,151790133706752.00,inf,0.00,0.00,1
1.377,1.373,10.00,1.37,18016530261344002060058624.00,0.00,inf,0.00,0.00,1
1.397,1.393,10.00,1.37,296405868052525573426605195264.00,4515649612448509364111671296.00,inf,0.00,0.00,1
1.417,1.413,10.00,1.37,18588953433690723766955420615180288.00,16926440303600049586176.00,inf,0.00,0.00,1
1.437,1.433,10.00,1.45,0.00,0.00,inf,0.00,0.00,1
1.457,1.453,10.00,1.45,19420868618303304942592894959616.00,62287795754684670541824.00,inf,0.00,0.00,1
1.477,1.473,10.00,1.45,1090025043291269119780847616.00,4515649612448509364111671296.00,inf,0.00,0.00,1
1.497,1.493,10.00,1.45,77781499014370852362373455413248.00,71462884699934407262208.00,inf,0.00,0.00,1
1.517,1.513,10.00,1.45,77452274663766839628484071915520.00,0.00,inf,0.00,0.00,1
1.537,1.533,10.00,1.45,12122153352515734304980992.00,0.00,inf,0.00,0.00,1
1.557,1.553,10.00,1.45,4542237140209975273979367129088.00,0.00,inf,0.00,0.00,1
1.577,1.573,10.00,1.45,70071632703047113637888.00,0.00,inf,0.00,0.00,1
1.597,1.593,10.00,1.37,18178569192512394314889780264960.00,18470472351195865133613056.00,inf,0.00,0.00,1
1.617,1.613,10.00,1.37,50834063760536200665019608727552.00,17201713823623816413184.00,inf,0.00,0.00,1
1.637,1.633,10.00,1.37,0.00,18753262256788033830119276544.00,inf,0.00,0.00,1
1.657,1.653,10.00,1.37,0.00,74058946825319635071147180032.00,inf,0.00,0.00,1
1.677,1.673,10.00,1.37,18445692609297350171557888.00,47340600793021127065600.00,inf,0.00,0.00,1
1.698,1.694,10.00,1.37,67703549946983159431168.00,0.00,inf,0.00,0.00,1
1.717,1.713,10.00,1.37,0.00,203072709213468813499992488542208.00,inf,0.00,0.00,1
1.737,1.733,10.00,1.37,592931127296.00,269145897741706067968.00,inf,0.00,0.00,1
1.757,1.753,10.00,1.37,18445687997611331744169984.00,303470729597047528502051999842304.00,inf,0.00,0.00,1
1.777,1.773,10.00,1.37,3172565894527377123743797084160.00,72715848373615076277486239088640.00,inf,0.00,0.00,1
1.797,1.793,10.00,1.37,1125868489731623463419904.00,0.00,inf,0.00,0.00,1
1.817,1.813,10.00,1.37,69770670650748825501696.00,247923388185164382208.00,inf,0.00,0.00,1
1.837,1.833,10.00,1.37,18060881869577514340411506688.00,42002844.00,inf,0.00,0.00,1
1.857,1.853,10.00,1.37,0.00,70071632703047113637888.00,inf,0.00,0.00,1
