Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Delta_Steer,Desired_Delta_Steer,Test_Number
0.027,0.023,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.046,0.042,10.00,4.28,100.00,0.00,inf,0.00,0.00,1
0.065,0.062,10.00,4.28,100.00,0.00,inf,0.00,0.00,1
0.086,0.082,10.00,4.28,100.00,100.00,inf,0.00,0.00,1
0.106,0.102,10.00,4.28,100.00,0.00,inf,0.00,0.00,1
0.125,0.121,10.00,4.28,0.00,0.00,inf,0.00,0.00,1
0.145,0.142,10.00,4.28,0.00,0.00,inf,0.00,0.00,1
0.166,0.162,10.00,4.28,0.00,0.00,inf,0.00,0.00,1
0.186,0.182,10.00,4.28,100.00,100.00,inf,0.00,0.00,1
0.205,0.201,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.225,0.221,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.245,0.241,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.266,0.262,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.286,0.282,10.00,4.21,0.00,8.42,inf,0.00,0.00,1
0.306,0.302,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.326,0.322,10.00,4.28,0.00,0.00,inf,0.00,0.00,1
0.345,0.342,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.365,0.361,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.385,0.381,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.405,0.401,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.426,0.422,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.445,0.441,10.00,4.14,0.00,0.00,inf,0.00,0.00,1
0.465,0.461,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.486,0.482,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.506,0.502,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.525,0.521,10.00,4.14,0.00,100.00,inf,0.00,0.00,1
0.545,0.541,10.00,4.14,0.00,100.00,inf,0.00,0.00,1
0.565,0.561,10.00,4.14,0.00,0.00,inf,0.00,0.00,1
0.585,0.581,10.00,4.14,0.00,0.00,inf,0.00,0.00,1
0.606,0.602,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
0.625,0.621,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
0.646,0.642,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
0.665,0.661,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.686,0.682,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.705,0.701,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.725,0.721,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
0.746,0.742,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.765,0.761,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.786,0.782,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
0.805,0.802,10.00,4.28,0.00,0.00,inf,0.00,0.00,1
0.826,0.822,10.00,4.28,100.00,100.00,inf,0.00,0.00,1
0.846,0.842,10.00,4.21,0.00,100.00,inf,0.00,0.00,1
0.866,0.862,10.00,4.21,0.00,100.00,inf,0.00,0.00,1
0.886,0.882,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.905,0.901,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.926,0.922,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.946,0.942,10.00,4.21,0.00,100.00,inf,0.00,0.00,1
0.966,0.962,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
0.986,0.982,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.005,1.001,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.025,1.021,10.00,4.28,100.00,100.00,inf,0.00,0.00,1
1.045,1.041,10.00,4.28,100.00,0.00,inf,0.00,0.00,1
1.065,1.061,10.00,4.36,100.00,100.00,inf,0.00,0.00,1
1.085,1.081,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.105,1.101,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
1.125,1.121,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
1.145,1.141,10.00,4.14,0.00,0.00,inf,0.00,0.00,1
1.165,1.161,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
1.185,1.181,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
1.205,1.201,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
1.225,1.221,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.245,1.241,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.265,1.261,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.285,1.281,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.305,1.301,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.325,1.321,10.00,4.28,100.00,100.00,inf,0.00,0.00,1
1.345,1.341,10.00,4.28,100.00,0.00,inf,0.00,0.00,1
1.365,1.361,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
1.386,1.382,10.00,4.28,100.00,100.00,inf,0.00,0.00,1
1.406,1.402,10.00,4.28,100.00,100.00,inf,0.00,0.00,1
1.425,1.421,10.00,4.21,0.00,100.00,inf,0.00,0.00,1
1.446,1.442,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.465,1.462,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.485,1.481,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
1.505,1.501,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
1.525,1.521,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
1.545,1.541,10.00,4.14,100.00,0.00,inf,0.00,0.00,1
1.565,1.561,10.00,4.14,0.00,100.00,inf,0.00,0.00,1
1.586,1.582,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
1.606,1.602,10.00,4.21,0.00,100.00,inf,0.00,0.00,1
1.625,1.621,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.645,1.641,10.00,4.21,100.00,100.00,inf,0.00,0.00,1
1.665,1.661,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
1.685,1.681,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
1.705,1.701,10.00,4.14,100.00,0.00,inf,0.00,0.00,1
1.725,1.721,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
1.745,1.741,10.00,4.21,100.00,0.00,inf,0.00,0.00,1
1.765,1.761,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
1.785,1.781,10.00,4.21,0.00,0.00,inf,0.00,0.00,1
1.805,1.801,10.00,4.07,0.00,0.00,inf,0.00,0.00,1
1.826,1.822,10.00,4.14,0.00,100.00,inf,0.00,0.00,1
1.846,1.842,10.00,4.14,0.00,100.00,inf,0.00,0.00,1
1.866,1.862,10.00,4.14,0.00,100.00,inf,0.00,0.00,1
1.885,1.881,10.00,4.07,100.00,100.00,inf,0.00,0.00,1
1.905,1.901,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
1.925,1.921,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
1.945,1.941,10.00,4.07,100.00,100.00,inf,0.00,0.00,1
