Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Test_Number
0.038,0.038,10.00,0.00,16.55,0.00,7.39,1
0.057,0.057,10.00,0.00,17.35,0.00,7.39,1
2.065,2.064,10.00,0.00,NA,NA,7.50,1
4.070,4.069,10.00,0.00,NA,NA,2.42,1
4.094,4.094,0.00,0.00,0.00,0.00,2.42,1
4.114,4.114,0.00,0.00,0.00,0.00,1.76,1
4.133,4.133,0.00,0.00,0.00,0.00,1.76,1
4.153,4.152,0.00,0.00,0.00,0.00,1.76,1
6.161,6.160,0.00,0.00,NA,NA,3.23,1
8.166,8.166,0.00,0.00,NA,NA,2.42,1
8.189,8.189,0.00,0.00,0.00,0.00,2.87,1
8.209,8.208,0.00,0.00,0.00,0.00,2.87,1
8.228,8.227,0.00,0.00,0.00,0.00,2.87,1
8.248,8.248,0.00,0.00,0.00,0.00,2.57,1
10.256,10.255,0.00,0.00,NA,NA,4.34,1
12.261,12.260,10.00,0.00,NA,NA,3.02,1
12.284,12.283,0.00,0.00,0.00,0.00,3.02,1
12.304,12.303,0.00,0.00,0.00,0.00,3.02,1
12.323,12.322,0.00,0.00,0.00,0.00,2.54,1
12.343,12.342,0.00,0.00,0.00,0.00,2.54,1
14.350,14.350,0.10,1.31,NA,NA,2.35,1
14.380,14.379,0.00,4.42,0.00,22.18,2.35,1
14.400,14.399,0.00,4.42,0.00,22.27,2.35,1
14.420,14.419,0.00,4.42,0.00,22.36,2.35,1
14.439,14.438,0.00,4.42,0.00,22.45,2.35,1
14.459,14.458,0.00,4.49,0.00,22.91,2.35,1
16.468,16.467,0.00,5.53,NA,NA,2.35,1
16.496,16.495,0.00,5.61,0.00,28.59,2.35,1
16.516,16.515,0.00,5.68,0.00,29.07,2.35,1
16.536,16.535,0.00,5.74,0.00,29.50,2.35,1
16.555,16.554,0.00,5.68,0.00,29.30,2.35,1
18.564,18.563,0.00,5.68,NA,NA,2.35,1
18.592,18.591,0.00,5.53,0.00,28.68,2.35,1
18.612,18.611,0.00,5.47,0.00,28.48,2.35,1
18.632,18.631,0.00,5.40,0.00,28.21,2.35,1
18.651,18.650,0.00,5.47,0.00,28.69,2.35,1
20.659,20.658,0.00,5.47,NA,NA,2.35,1
20.689,20.688,0.00,5.40,0.00,28.43,2.35,1
20.709,20.708,0.00,5.47,0.00,28.91,2.35,1
20.728,20.727,0.00,5.40,0.00,28.65,2.35,1
20.748,20.747,0.00,5.40,0.00,28.76,2.35,1
22.756,22.755,0.00,5.40,NA,NA,2.35,1
22.786,22.785,0.00,5.40,0.00,28.86,2.35,1
22.805,22.804,0.00,5.47,0.00,29.34,2.35,1
22.825,22.824,0.00,4.36,0.00,23.86,2.35,1
22.844,22.843,0.00,4.36,0.00,23.94,2.35,1
24.852,24.851,0.00,4.28,NA,NA,12.53,1
26.857,26.856,10.00,4.28,NA,NA,12.92,1
26.881,26.880,10.00,4.28,0.00,0.00,12.92,1
26.900,26.900,10.00,4.21,0.35,0.00,12.27,1
26.920,26.919,10.00,3.44,1.93,0.00,12.27,1
28.927,28.926,10.00,3.37,NA,NA,9.39,1
30.932,30.931,10.00,3.37,NA,NA,10.09,1
30.956,30.955,10.00,3.37,2.57,0.00,10.09,1
30.976,30.975,10.00,3.29,3.21,0.00,10.09,1
30.995,30.994,10.00,2.94,4.26,0.00,10.09,1
31.015,31.014,10.00,2.94,4.83,0.00,10.09,1
33.022,33.021,10.00,2.88,NA,NA,8.19,1
33.051,33.051,10.00,2.88,5.49,0.00,8.19,1
33.071,33.071,10.00,2.94,5.96,0.00,8.19,1
33.091,33.090,10.00,2.94,6.53,0.00,7.71,1
33.110,33.110,10.00,2.51,7.72,0.00,7.71,1
35.118,35.117,10.00,2.51,NA,NA,3.74,1
37.123,37.122,1.24,2.51,NA,NA,12.43,1
37.146,37.146,10.00,2.51,8.32,0.00,12.43,1
37.166,37.166,10.00,2.51,8.92,0.00,12.43,1
37.185,37.185,10.00,2.73,9.20,0.00,12.43,1
37.205,37.205,10.00,2.73,9.78,0.00,12.43,1
39.213,39.212,10.00,2.73,NA,NA,12.32,1
41.218,41.217,10.00,2.73,NA,NA,9.70,1
41.242,41.241,10.00,2.73,10.36,0.00,9.70,1
41.261,41.261,10.00,3.51,9.80,0.00,9.70,1
41.280,41.280,10.00,3.51,10.32,0.00,9.70,1
41.300,41.300,10.00,3.58,10.72,0.00,9.70,1
43.308,43.307,10.00,3.58,NA,NA,9.70,1
43.337,43.337,10.00,3.58,11.24,0.00,9.70,1
43.357,43.357,10.00,4.92,9.79,0.00,9.70,1
43.376,43.376,10.00,4.84,10.30,0.00,9.70,1
45.384,45.383,10.00,4.84,NA,NA,9.70,1
47.390,47.389,10.00,4.84,NA,NA,9.70,1
47.412,47.412,10.00,4.77,10.83,0.00,9.70,1
47.432,47.432,10.00,4.84,11.14,0.00,9.70,1
47.452,47.452,10.00,5.32,10.84,0.00,9.70,1
47.471,47.471,10.00,5.26,11.30,0.00,9.70,1
49.479,49.478,10.00,5.32,NA,NA,9.70,1
51.484,51.483,10.00,5.32,NA,NA,19.01,1
51.508,51.508,10.00,5.26,11.68,0.00,19.01,1
51.527,51.527,10.00,5.74,11.35,0.00,19.01,1
51.547,51.547,10.00,5.13,12.60,0.00,19.01,1
51.566,51.566,10.00,5.13,12.99,0.00,19.01,1
53.574,53.573,10.00,5.13,NA,NA,19.01,1
55.579,55.578,10.00,5.13,NA,NA,8.14,1
55.603,55.602,10.00,5.05,13.49,0.00,8.14,1
55.622,55.621,10.00,2.59,17.51,0.00,8.14,1
55.642,55.642,10.00,2.59,18.10,0.00,8.14,1
57.650,57.649,10.00,2.51,NA,NA,8.14,1
59.655,59.654,10.00,2.51,NA,NA,8.14,1
