Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Test_Number
59.677,59.676,10.00,0.00,22.50,0.00,8.14,1
59.697,59.696,10.00,0.00,23.30,0.00,8.14,1
59.716,59.715,10.00,0.00,24.10,0.00,8.14,1
59.736,59.735,10.00,0.00,24.90,0.00,8.14,1
61.744,61.743,10.00,0.00,NA,NA,8.14,1
61.773,61.773,10.00,0.00,25.70,0.00,8.14,1
61.792,61.791,10.00,0.00,26.50,0.00,8.14,1
63.800,63.799,10.00,0.00,NA,NA,8.14,1
63.829,63.828,10.00,0.00,27.30,0.00,8.14,1
63.849,63.848,10.00,0.00,28.10,0.00,8.14,1
63.868,63.867,10.00,0.00,28.90,0.00,8.14,1
65.876,65.875,10.00,0.00,NA,NA,8.14,1
65.905,65.904,10.00,0.00,29.70,0.00,8.14,1
65.925,65.924,10.00,0.00,30.50,0.00,8.14,1
65.944,65.943,10.00,2.73,27.28,0.00,8.14,1
65.964,65.963,10.00,4.21,25.69,0.00,8.14,1
65.984,65.983,10.00,4.21,26.15,0.00,8.14,1
67.991,67.990,10.00,4.21,NA,NA,8.14,1
69.996,69.995,10.00,4.28,NA,NA,8.14,1
70.019,70.018,10.00,4.28,26.50,0.00,8.14,1
70.039,70.038,10.00,4.28,26.96,0.00,8.14,1
70.058,70.057,10.00,7.39,22.84,0.00,8.14,1
70.078,70.077,10.00,6.78,23.94,0.00,8.14,1
70.098,70.097,10.00,6.29,24.92,0.00,8.14,1
72.105,72.104,10.00,6.92,NA,NA,7.69,1
74.110,74.109,10.00,8.75,NA,NA,0.55,1
74.134,74.133,0.00,8.89,0.00,39.66,0.55,1
74.154,74.153,0.00,8.96,0.00,40.20,0.55,1
74.173,74.172,0.00,8.89,0.00,40.02,0.55,1
74.193,74.192,0.00,8.81,0.00,39.84,0.55,1
74.213,74.212,0.00,10.29,0.00,47.42,0.55,1
76.220,76.220,0.00,10.36,NA,NA,12.81,1
76.250,76.249,10.00,10.22,0.00,0.00,12.81,1
76.270,76.269,10.00,10.29,0.00,0.00,12.81,1
76.290,76.289,10.00,11.15,0.00,5.77,12.81,1
76.309,76.308,10.00,11.48,0.00,7.44,12.81,1
76.329,76.328,10.00,11.55,0.00,7.82,12.81,1
78.336,78.336,10.00,11.55,NA,NA,8.39,1
78.366,78.365,10.00,11.62,0.00,8.20,7.67,1
78.386,78.385,10.00,11.62,0.00,8.23,7.67,1
78.406,78.405,10.00,11.48,0.00,7.56,9.86,1
78.425,78.424,10.00,11.55,0.00,7.94,9.86,1
80.432,80.431,10.00,12.07,NA,NA,8.36,1
82.437,82.436,10.00,12.14,NA,NA,7.63,1
82.462,82.461,10.00,12.07,0.00,10.61,7.63,1
82.482,82.481,10.00,12.07,0.00,10.65,7.63,1
82.501,82.500,10.00,12.07,0.00,10.69,6.94,1
82.521,82.520,7.93,12.07,0.00,21.10,6.94,1
82.541,82.540,7.85,12.14,0.00,21.94,6.94,1
84.548,84.547,10.00,9.22,NA,NA,4.49,1
86.554,86.553,0.00,9.09,NA,NA,4.33,1
86.579,86.578,0.00,9.15,0.00,46.43,4.16,1
86.597,86.597,0.00,9.15,0.00,46.61,4.16,1
86.618,86.617,0.00,9.09,0.00,46.50,3.88,1
86.637,86.637,0.00,9.09,0.00,46.68,3.88,1
88.645,88.644,0.00,6.98,NA,NA,7.30,1
90.650,90.649,10.00,6.92,NA,NA,4.50,1
90.676,90.676,1.47,6.92,0.00,28.56,4.50,1
90.695,90.695,1.47,6.92,0.00,28.66,4.50,1
90.715,90.715,1.53,6.84,0.00,28.11,4.50,1
90.735,90.735,2.09,6.03,0.00,21.31,4.50,1
92.743,92.742,1.42,6.98,NA,NA,0.40,1
94.749,94.748,0.00,6.98,NA,NA,5.03,1
94.773,94.773,3.24,7.05,0.00,20.79,5.03,1
94.793,94.793,3.24,7.05,0.00,20.87,5.03,1
94.813,94.813,3.01,7.39,0.00,23.76,5.03,1
94.832,94.832,3.24,7.05,0.00,21.03,5.03,1
94.852,94.852,3.24,7.05,0.00,21.11,5.03,1
96.860,96.859,3.19,7.12,NA,NA,7.55,1
98.866,98.865,10.00,7.12,NA,NA,4.90,1
98.890,98.890,2.72,7.12,0.00,24.15,4.90,1
98.910,98.910,2.77,7.05,0.00,23.63,4.90,1
98.930,98.930,3.38,5.74,0.00,14.06,4.90,1
98.949,98.949,3.34,3.80,0.00,0.00,5.09,1
100.957,100.956,3.67,3.72,NA,NA,5.89,1
102.963,102.962,10.00,3.72,NA,NA,3.64,1
102.989,102.989,0.98,3.72,0.00,13.76,3.64,1
103.008,103.008,1.00,3.65,0.00,13.34,3.64,1
103.028,103.028,0.99,3.80,0.00,14.20,3.66,1
105.036,105.035,0.80,4.28,NA,NA,3.01,1
107.040,107.040,0.00,4.28,NA,NA,13.74,1
107.066,107.066,10.00,4.57,7.34,0.00,13.74,1
107.086,107.086,10.00,4.63,7.68,0.00,13.74,1
107.105,107.105,10.00,4.63,8.11,0.00,13.74,1
107.125,107.125,10.00,4.57,8.63,0.00,13.74,1
109.133,109.132,10.00,4.63,NA,NA,13.74,1
109.163,109.162,10.00,4.63,8.97,0.00,13.74,1
109.182,109.182,10.00,4.57,9.50,0.00,13.74,1
109.202,109.201,10.00,4.42,10.15,0.00,13.74,1
111.210,111.209,10.00,4.49,NA,NA,13.74,1
113.215,113.214,10.00,4.42,NA,NA,19.86,1
113.239,113.238,10.00,4.42,10.60,0.00,19.86,1
113.258,113.258,10.00,4.42,11.04,0.00,19.86,1
113.278,113.277,10.00,4.28,11.69,0.00,19.86,1
115.286,115.285,10.00,3.93,NA,NA,19.86,1
117.291,117.291,10.00,3.93,NA,NA,19.86,1
117.315,117.314,10.00,3.93,12.66,0.00,19.86,1
117.335,117.334,10.00,3.93,13.14,0.00,19.86,1
117.354,117.353,10.00,3.86,13.74,0.00,19.86,1
119.362,119.361,10.00,4.77,NA,NA,13.42,1
121.367,121.366,10.00,4.77,NA,NA,9.05,1
121.392,121.391,10.00,4.77,12.89,0.00,9.05,1
121.412,121.411,10.00,4.77,13.31,0.00,9.05,1
121.431,121.430,10.00,6.09,11.79,0.00,8.99,1
121.451,121.450,10.00,6.09,12.10,0.00,8.99,1
