Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Test_Number
0.032,0.031,1.58,9.83,0.00,41.41,5.27,1
0.052,0.051,1.50,9.89,0.00,42.27,5.27,1
0.072,0.071,1.31,10.03,0.00,44.12,5.68,1
0.091,0.090,3.47,9.96,0.00,33.09,5.68,1
0.130,0.129,3.39,10.03,0.00,33.99,7.12,1
0.150,0.149,10.00,10.22,0.00,0.00,7.12,1
0.170,0.169,10.00,10.22,0.00,0.00,6.91,1
0.189,0.188,9.44,10.16,0.00,3.60,6.91,1
0.209,0.208,9.44,10.16,0.00,3.61,6.91,1
0.248,0.247,9.41,10.22,0.00,4.10,7.75,1
0.268,0.267,10.00,10.22,0.00,0.00,7.75,1
0.287,0.286,10.00,10.36,0.00,0.00,6.67,1
0.307,0.306,8.11,10.36,0.00,11.31,6.67,1
0.346,0.345,8.11,10.36,0.00,11.35,6.16,1
0.366,0.365,5.40,10.42,0.00,25.29,6.16,1
0.386,0.385,5.32,10.49,0.00,26.12,5.92,1
0.405,0.404,3.89,10.62,0.00,34.06,5.92,1
0.444,0.443,3.81,10.69,0.00,34.99,5.55,1
0.464,0.463,1.92,10.62,0.00,44.24,5.55,1
0.484,0.483,1.82,10.69,0.00,45.27,5.55,1
0.503,0.502,1.82,10.69,0.00,45.45,4.33,1
0.542,0.541,0.00,10.62,0.00,54.41,4.33,1
0.562,0.561,0.00,10.82,0.00,55.63,4.51,1
0.582,0.581,0.00,10.89,0.00,56.20,4.51,1
0.601,0.600,0.00,10.69,0.00,55.41,4.51,1
0.621,0.621,0.00,10.75,0.00,55.92,5.22,1
0.660,0.659,0.00,10.89,0.00,56.84,5.22,1
0.680,0.679,0.00,10.89,0.00,57.06,6.03,1
0.699,0.698,4.18,10.89,0.00,36.31,6.03,1
0.719,0.718,4.18,10.89,0.00,36.45,6.03,1
0.758,0.758,4.18,10.89,0.00,36.58,6.30,1
0.779,0.778,5.55,10.95,0.00,30.14,6.30,1
0.798,0.798,5.55,10.95,0.00,30.24,5.21,1
0.837,0.837,0.00,10.95,0.00,58.19,5.21,1
0.856,0.856,0.00,11.15,0.00,59.41,4.11,1
0.876,0.876,0.00,11.15,0.00,59.64,4.11,1
0.896,0.896,0.00,11.09,0.00,59.56,4.11,1
0.936,0.935,0.00,11.15,0.00,60.08,4.11,1
0.955,0.954,0.00,11.15,0.00,60.30,4.11,1
0.975,0.974,0.00,11.15,0.00,60.53,4.42,1
0.995,0.994,0.00,11.15,0.00,60.75,4.42,1
1.034,1.033,0.00,11.22,0.00,61.33,3.51,1
1.054,1.053,0.00,11.35,0.00,62.20,3.51,1
1.073,1.072,0.00,11.42,0.00,62.78,3.51,1
1.093,1.092,0.00,11.35,0.00,62.65,4.01,1
1.132,1.131,0.00,11.35,0.00,62.88,2.02,1
1.152,1.151,0.00,11.42,0.00,63.46,2.02,1
1.171,1.170,0.00,11.42,0.00,63.69,2.02,1
1.191,1.190,0.00,11.42,0.00,63.92,2.02,1
1.230,1.229,0.00,11.48,0.00,64.44,4.20,1
1.250,1.249,0.00,11.42,0.00,64.37,4.20,1
1.269,1.268,0.00,11.42,0.00,64.60,2.85,1
1.289,1.288,0.00,11.55,0.00,65.48,2.85,1
1.328,1.327,0.00,11.48,0.00,65.35,3.08,1
1.348,1.347,0.00,11.42,0.00,65.29,3.08,1
1.368,1.367,0.00,11.28,0.00,64.81,3.67,1
