Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Test_Number
2.018,2.017,10.00,1.37,NA,NA,11.49,1
4.024,4.023,10.00,1.37,NA,NA,10.51,1
6.029,6.028,10.00,1.37,NA,NA,7.46,1
8.034,8.033,10.00,1.45,NA,NA,4.97,1
10.039,10.038,10.00,1.45,NA,NA,2.67,1
12.044,12.043,0.17,1.52,NA,NA,11.42,1
14.049,14.048,10.00,1.59,NA,NA,9.76,1
16.055,16.054,10.00,1.59,NA,NA,11.52,1
18.060,18.059,10.00,1.59,NA,NA,9.90,1
20.065,20.064,10.00,1.59,NA,NA,7.33,1
22.071,22.070,10.00,1.59,NA,NA,6.94,1
24.078,24.077,10.00,1.59,NA,NA,5.18,1
26.083,26.082,10.00,1.59,NA,NA,6.07,1
28.089,28.088,10.00,1.59,NA,NA,2.83,1
