Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Test_Number
0.026,0.025,10.00,0.00,14.72,0.00,inf,1
0.046,0.045,10.00,0.00,15.52,0.00,inf,1
0.065,0.064,10.00,0.00,16.32,0.00,inf,1
0.085,0.084,10.00,0.00,17.12,0.00,inf,1
0.124,0.123,10.00,0.00,17.91,0.00,inf,1
0.144,0.143,10.00,0.00,18.71,0.00,inf,1
0.163,0.162,10.00,0.00,19.51,0.00,inf,1
0.183,0.182,10.00,0.00,20.31,0.00,inf,1
0.203,0.202,10.00,0.00,21.11,0.00,inf,1
0.242,0.241,10.00,0.00,21.91,0.00,inf,1
0.261,0.260,10.00,0.00,22.71,0.00,inf,1
0.281,0.280,10.00,0.00,23.51,0.00,inf,1
0.301,0.300,10.00,0.00,24.31,0.00,inf,1
0.340,0.339,10.00,0.00,25.11,0.00,inf,1
0.359,0.358,10.00,0.00,25.91,0.00,inf,1
0.379,0.378,10.00,0.00,26.71,0.00,inf,1
0.399,0.398,10.00,0.00,27.51,0.00,inf,1
0.438,0.438,10.00,0.00,28.31,0.00,14.60,1
0.457,0.456,10.00,0.00,29.11,0.00,14.60,1
0.477,0.476,10.00,0.00,29.90,0.00,14.60,1
0.516,0.515,10.00,0.00,30.70,0.00,14.60,1
0.551,0.551,10.00,0.00,31.50,0.00,14.60,1
0.575,0.575,10.00,0.00,32.30,0.00,14.60,1
0.595,0.594,10.00,0.00,33.10,0.00,14.60,1
0.614,0.613,10.00,0.00,33.90,0.00,14.60,1
0.634,0.633,10.00,0.00,34.70,0.00,15.34,1
0.673,0.672,10.00,0.00,35.50,0.00,15.34,1
0.693,0.692,10.00,0.00,36.30,0.00,15.34,1
0.713,0.712,10.00,0.00,37.10,0.00,6.23,1
0.751,0.750,10.00,0.00,37.90,0.00,6.23,1
0.771,0.770,10.00,0.00,38.70,0.00,6.41,1
0.792,0.791,10.00,0.00,39.50,0.00,6.41,1
0.830,0.829,10.00,0.00,40.30,0.00,6.41,1
0.849,0.848,10.00,0.00,41.10,0.00,6.69,1
0.869,0.868,10.00,0.00,41.89,0.00,6.69,1
0.889,0.888,10.00,0.00,42.69,0.00,6.91,1
0.928,0.927,10.00,0.00,43.49,0.00,6.91,1
0.947,0.946,10.00,0.00,44.29,0.00,6.87,1
0.967,0.966,10.00,0.00,45.09,0.00,6.87,1
