Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Test_Number
0.017,0.017,10.00,0.00,270817370322070306553856.00,74936693461279934656588472647680.00,inf,1
0.037,0.036,10.00,0.00,138.05,273735241683857047552.00,inf,1
0.057,0.056,10.00,0.00,0.00,0.00,inf,1
0.077,0.076,10.00,0.00,1130787717561404727754752.00,0.00,inf,1
0.097,0.097,10.00,0.00,67422187560263187693568.00,3389711322350717558785208261541888.00,inf,1
0.118,0.117,10.00,0.00,13245696083450712566889717956608.00,4611402111506878467932160.00,inf,1
0.138,0.137,10.00,0.00,77464649228456414972716364333056.00,0.00,inf,1
0.158,0.158,10.00,0.00,0.00,0.00,inf,1
0.179,0.178,10.00,0.00,272548466973257927399309312.00,0.00,inf,1
0.199,0.198,10.00,0.00,0.00,12688696810247287935564769132544.00,inf,1
0.219,0.218,10.00,0.00,4543661859288391114461758357504.00,0.00,inf,1
0.239,0.238,10.00,0.00,18004328893060747798511616.00,1090025190865221709457260544.00,inf,1
0.259,0.259,10.00,0.00,4604218162518707504451965419520.00,1182110968346298316933300224.00,inf,1
0.280,0.279,10.00,0.00,2688181504.00,0.04,inf,1
0.300,0.299,10.00,0.00,0.00,2687260160.00,inf,1
0.320,0.319,10.00,0.00,0.04,0.00,inf,1
0.340,0.340,10.00,0.00,0.00,0.00,inf,1
0.361,0.360,10.00,0.00,0.00,0.00,inf,1
0.381,0.380,10.00,0.00,17431855570509553293479378944.00,0.00,inf,1
0.401,0.401,10.00,0.00,0.00,0.00,inf,1
0.422,0.421,10.00,0.00,0.00,0.00,inf,1
0.442,0.441,10.00,0.00,0.00,0.00,inf,1
0.462,0.461,10.00,0.00,0.00,0.00,inf,1
0.483,0.482,10.00,0.00,0.00,0.00,inf,1
0.502,0.502,10.00,0.00,0.00,0.00,inf,1
0.523,0.522,10.00,0.00,0.00,0.00,inf,1
0.543,0.542,10.00,0.00,0.00,0.00,inf,1
0.563,0.562,10.00,0.00,180560720.00,282962871029734572032.00,inf,1
0.584,0.583,10.00,0.00,0.00,0.00,inf,1
0.604,0.603,10.00,0.00,0.00,0.00,inf,1
0.624,0.624,10.00,0.00,0.00,0.00,inf,1
0.645,0.644,10.00,0.00,0.00,0.00,inf,1
0.665,0.664,10.00,0.00,0.00,0.00,inf,1
0.685,0.685,10.00,0.00,0.00,0.00,inf,1
0.706,0.705,10.00,0.00,0.00,0.00,inf,1
0.726,0.725,10.00,0.00,0.00,0.00,inf,1
0.746,0.745,10.00,0.00,0.00,17431855570509553293479378944.00,inf,1
0.766,0.766,10.00,0.00,0.00,0.00,inf,1
0.787,0.786,10.00,0.00,0.00,0.00,inf,1
0.807,0.806,10.00,0.00,0.00,0.00,inf,1
0.827,0.826,10.00,0.00,0.00,0.00,inf,1
0.847,0.847,10.00,0.00,0.00,0.00,inf,1
0.868,0.867,10.00,0.00,0.00,0.00,inf,1
0.888,0.887,10.00,0.00,0.00,0.00,inf,1
0.908,0.907,10.00,0.00,0.00,0.00,inf,1
0.928,0.927,10.00,0.00,0.00,180560720.00,inf,1
0.948,0.948,10.00,0.00,282962871029734572032.00,0.00,inf,1
0.969,0.968,10.00,0.00,0.00,0.00,inf,1
0.989,0.988,10.00,0.00,0.00,0.00,inf,1
1.009,1.008,10.00,0.00,0.00,0.00,inf,1
1.029,1.028,10.00,0.00,0.00,0.00,inf,1
1.049,1.049,10.00,0.00,0.00,0.00,inf,1
1.070,1.069,10.00,0.00,0.00,0.00,inf,1
1.090,1.089,10.00,0.00,0.00,0.00,inf,1
1.110,1.109,10.00,0.00,0.00,0.00,inf,1
1.130,1.129,10.00,0.00,17431855570509553293479378944.00,0.00,inf,1
1.150,1.150,10.00,0.00,0.00,0.00,inf,1
1.171,1.170,10.00,0.00,0.00,0.00,inf,1
1.191,1.190,10.00,0.00,0.00,0.00,inf,1
1.211,1.211,10.00,0.00,0.00,0.00,inf,1
1.231,1.231,10.00,0.00,0.00,0.00,inf,1
1.252,1.251,10.00,0.00,0.00,0.00,inf,1
1.272,1.271,10.00,0.00,0.00,0.00,inf,1
1.292,1.291,10.00,0.00,0.00,0.00,inf,1
1.312,1.311,10.00,0.00,180560720.00,282962871029734572032.00,inf,1
1.332,1.332,10.00,0.00,0.00,0.00,inf,1
1.353,1.352,10.00,0.00,0.00,0.00,inf,1
1.373,1.372,10.00,0.00,0.00,0.00,inf,1
1.393,1.392,10.00,0.00,0.00,0.00,inf,1
1.413,1.412,10.00,0.00,0.00,0.00,inf,1
1.433,1.433,10.00,0.00,0.00,0.00,inf,1
1.454,1.453,10.00,0.00,0.00,0.00,inf,1
1.474,1.473,10.00,0.00,0.00,0.00,inf,1
1.494,1.493,10.00,0.00,0.00,17431855570509553293479378944.00,inf,1
1.514,1.514,10.00,0.00,0.00,0.00,inf,1
1.534,1.534,10.00,1.23,0.00,0.00,inf,1
1.555,1.554,10.00,1.23,0.00,0.00,inf,1
1.575,1.575,10.00,1.23,0.00,0.00,inf,1
1.596,1.595,10.00,1.23,0.00,0.00,inf,1
1.616,1.615,10.00,1.23,0.00,0.00,inf,1
1.636,1.635,10.00,1.23,0.00,0.00,inf,1
1.656,1.655,10.00,1.23,0.00,0.00,inf,1
1.676,1.676,10.00,1.23,0.00,0.00,inf,1
1.697,1.696,10.00,1.23,302182652986171090326019461087232.00,0.00,inf,1
1.717,1.716,10.00,1.31,0.00,0.00,inf,1
1.737,1.736,10.00,1.31,0.00,0.00,inf,1
1.757,1.756,10.00,1.31,0.00,0.00,inf,1
1.777,1.777,10.00,1.31,0.00,0.00,inf,1
1.798,1.797,10.00,1.31,0.00,0.00,inf,1
1.818,1.817,10.00,1.31,0.00,0.00,inf,1
1.838,1.838,10.00,1.37,0.00,0.00,inf,1
1.858,1.858,10.00,1.37,0.00,0.00,inf,1
